A.J. Terrell,ATL,CB,6-1,195,9/23/1998 (25),(25),5
Andrew Stueber,ATL,OT,6-7,318,7/1/1999 (25),(25),2
Anthony Johnson,ATL,CB,6-2,205,6/12/1999 (25),(25),1
Antonio Hamilton,ATL,CB,6-0,188,1/24/1993 (31),(31),9
Arnold Ebiketie,ATL,LB,6-3,256,1/23/1999 (25),(25),3
Arnold Tarpley,ATL,SAF,6-1,203,6/18/1996 (28),(28),1
Austin Mack,ATL,WR,6-2,215,8/31/1997 (26),(26),2
Austin Stogner,ATL,TE,6-6,258,1/12/2000 (24),(24),R
Avery Williams,ATL,RB,5-9,195,7/15/1998 (25),(25),4
Barry Wesley,ATL,OL,6-7,310,7/14/1999 (24),(24),1
Bijan Robinson,ATL,RB,5-11,215,1/30/2002 (22),(22),2
Bradlee Anae,ATL,OL,6-3,260,1/17/1998 (26),(26),4
Bradley Pinion,ATL,P,6-5,229,6/1/1994 (30),(30),10
Bralen Trice,ATL,LB,6-3,245,2/26/2001 (23),(23),R
Brandon Dorlus,ATL,DE,6-3,290,3/22/2001 (23),(23),R
Carlos Washington Jr.,ATL,RB,5-11,220,12/26/1998 (25),(25),1
Casey Washington,ATL,WR,6-0,200,3/6/2001 (23),(23),R
Charlie Woerner,ATL,TE,6-5,241,10/16/1997 (26),(26),5
Chris Blair,ATL,WR,6-2,198,10/6/1997 (26),(26),1
Chris Lindstrom,ATL,OG,6-3,307,2/8/1997 (27),(27),6
Clark Phillips III,ATL,CB,5-10,183,12/19/2001 (22),(22),2
Dane Cruikshank,ATL,DB,6-1,209,4/27/1995 (29),(29),6
Darnell Mooney,ATL,WR,5-11,177,10/29/1997 (26),(26),5
David Onyemata,ATL,DT,6-3,300,11/8/1992 (31),(31),9
Daylen Baldwin,ATL,WR,6-2,212,11/24/1999 (24),(24),1
DeAngelo Malone,ATL,LB,6-4,240,7/12/1999 (24),(24),3
DeMarcco Hellams,ATL,SAF,6-1,213,6/5/2000 (24),(24),2
Dee Alford,ATL,DB,5-11,175,11/5/1997 (26),(26),3
Demone Harris,ATL,DE,6-4,272,12/30/1995 (28),(28),4
Donavan Mutin,ATL,LB,6-0,227,9/22/2000 (23),(23),1
Drake London,ATL,WR,6-4,213,7/24/2001 (22),(22),3
Drew Dalman,ATL,C,6-3,300,10/15/1998 (25),(25),4
Dylan Drummond,ATL,WR,6-0,186,1/17/2000 (24),(24),1
Eddie Goldman,ATL,NT,6-3,325,1/6/1994 (30),(30),7
Grady Jarrett,ATL,DT,6-0,305,4/28/1993 (31),(31),10
Harrison Hand,ATL,CB,5-11,185,11/12/1998 (25),(25),3
Isaiah Wooden,ATL,WR,5-9,170,—,,R
JD Bertrand,ATL,LB,6-1,235,5/5/2000 (24),(24),R
Jake Matthews,ATL,OT,6-5,309,2/11/1992 (32),(32),11
James Smith-Williams,ATL,DE,6-4,265,7/30/1997 (26),(26),5
Jaryd Jones-Smith,ATL,OT,6-7,320,9/3/1995 (28),(28),1
Jase McClellan,ATL,RB,5-11,212,6/25/2002 (22),(22),R
Jayden Price,ATL,CB,6-0,184,—,,R
Jessie Bates III,ATL,FS,6-1,200,2/26/1997 (27),(27),7
John FitzPatrick,ATL,TE,6-7,250,3/9/2000 (24),(24),3
John Leglue,ATL,OG,6-7,310,4/17/1996 (28),(28),2
John Paddock,ATL,QB,6-0,190,3/27/2000 (24),(24),R
Josh Ali,ATL,WR,6-0,200,3/3/1999 (25),(25),2
Jovaughn Gwyn,ATL,OG,6-2,301,3/18/1999 (25),(25),2
Kaden Elliss,ATL,LB,6-3,238,6/10/1995 (29),(29),6
Kaleb McGary,ATL,OT,6-6,306,2/22/1995 (29),(29),5
Kehinde Oginni,ATL,DL,6-6,232,3/3/1999 (25),(25),1
Kentavius Street,ATL,DE,6-2,287,5/8/1996 (28),(28),6
Kevin King,ATL,CB,6-3,200,5/5/1995 (29),(29),6
Khadarel Hodge,ATL,WR,6-2,208,1/3/1995 (29),(29),5
Kirk Cousins,ATL,QB,6-3,205,8/19/1988 (35),(35),13
Kyle Hinton,ATL,OG,6-2,295,2/27/1998 (26),(26),2
Kyle Pitts,ATL,TE,6-6,245,10/6/2000 (23),(23),4
LaCale London,ATL,DE,6-3,297,8/5/1997 (26),(26),2
Liam McCullough,ATL,LS,6-2,247,6/5/1997 (27),(27),3
Lorenzo Carter,ATL,LB,6-5,252,12/10/1995 (28),(28),7
Lukas Denis,ATL,DB,5-11,190,4/13/1997 (27),(27),1
Matthew Bergeron,ATL,OG,6-5,323,2/26/2000 (24),(24),2
Micah Abernathy,ATL,DB,6-0,196,2/10/1997 (27),(27),2
Michael Penix Jr.,ATL,QB,6-2,216,5/8/2000 (24),(24),R
Mike Hughes,ATL,CB,5-10,189,2/11/1997 (27),(27),7
