Lamar Jackson,QB,6-2,215,1/7/1997 (27),7
Josh Johnson,QB,6-3,214,5/15/1986 (38),10
Emory Jones,QB,6-2,210,4/29/2000 (24),R
Devin Leary,QB,6-1,215,9/10/1999 (24),R
Rasheen Ali,RB,5-11,197,2/16/2001 (23),R
Chris Collier,RB,5-11,203,3/24/2000 (24),R
Derrick Henry,RB,6-3,247,1/4/1994 (30),9
Justice Hill,RB,5-10,197,11/14/1997 (26),6
Keaton Mitchell,RB,5-8,191,1/17/2002 (22),2
Owen Wright,RB,5-9,217,2/28/1999 (25),1
Patrick Ricard,FB,6-3,305,5/27/1994 (30),8
Nelson Agholor,WR,6-0,200,5/24/1993 (31),10
Rashod Bateman,WR,6-1,197,11/29/1999 (24),4
Malik Cunningham,WR,6-1,198,10/6/1998 (25),2
Zay Flowers,WR,5-9,182,9/11/2000 (23),2
Deonte Harty,WR,5-6,170,12/4/1997 (26),6
Qadir Ismail,WR,6-6,215,2/17/2000 (24),R
Keith Kirkwood,WR,6-3,210,12/26/1994 (29),5
Sean Ryan,WR,6-3,200,1/21/1999 (25),1
Dayton Wade,WR,5-9,175,9/8/2000 (23),R
Devontez Walker,WR,6-1,191,6/19/2001 (23),R
Tylan Wallace,WR,5-11,198,5/13/1999 (25),4
Isaiah Washington,WR,6-2,206,5/4/2001 (23),R
Mark Andrews,TE,6-5,247,9/6/1995 (28),7
Charlie Kolar,TE,6-6,257,2/10/1999 (25),3
Isaiah Likely,TE,6-4,241,4/18/2000 (24),3
Mike Rigerman,TE,6-2,244,6/29/2001 (23),R
Riley Sharp,TE,6-5,237,11/7/1997 (26),R
Scotty Washington,TE,6-5,217,7/26/1997 (26),1
Tyler Linderbaum,C,6-2,305,4/7/2000 (24),3
Nick Samac,C,6-4,307,8/21/2001 (22),R
Malaesala Aumavae-Laulu,OT,6-5,325,5/25/1999 (25),2
Daniel Faalele,OT,6-8,380,11/9/1999 (24),3
Josh Jones,OT,6-5,319,6/22/1997 (27),5
Patrick Mekari,OT,6-4,305,8/13/1997 (26),6
Julian Pearl,OT,6-6,315,10/6/1999 (24),R
Darrell Simpson,OT,6-6,335,8/12/1999 (24),R
Ronnie Stanley,OT,6-6,315,3/18/1994 (30),9
Tashawn Manning,OL,6-3,340,5/23/1998 (26),1
Roger Rosengarten,OL,6-5,310,6/3/2002 (22),R
Corey Bullock,OG,6-3,307,12/9/2001 (22),R
Ben Cleveland,OG,6-6,370,8/25/1998 (25),4
Darrian Dalcourt,OG,6-3,309,9/17/2000 (23),R
Tykeem Doss,OG,6-5,380,9/25/1999 (24),1
Andrew Vorhees,OG,6-6,310,1/21/1999 (25),1
C.J. Ravenell,DE,6-5,280,—,R
Brent Urban,DE,6-7,309,5/5/1991 (33),11
Travis Jones,DT,6-4,338,10/15/1999 (24),3
Justin Madubuike,DT,6-3,305,11/17/1997 (26),5
Rayshad Nichols,DT,6-2,305,7/9/1999 (25),1
Michael Pierce,DT,6-0,355,11/6/1992 (31),8
Deadrin Senat,DT,6-0,314,7/22/1994 (29),6
Josh Tupou,DT,6-3,350,5/2/1994 (30),7
Broderick Washington,DT,6-2,314,12/4/1996 (27),5
Tramel Walthour,DL,6-3,273,7/26/2000 (23),R
Roquan Smith,ILB,6-1,236,4/8/1997 (27),7
Kyle Van Noy,MLB,6-3,244,3/26/1991 (33),11
Chris Board,LB,6-2,229,7/23/1995 (28),7
Joe Evans,LB,6-1,246,6/29/1999 (25),R
Malik Hamm,LB,6-3,250,8/26/2000 (23),2
Malik Harrison,LB,6-3,259,3/5/1998 (26),5
Adisa Isaac,LB,6-4,254,10/4/2001 (22),R
Deion Jennings,LB,6-0,225,6/19/2000 (24),R
David Ojabo,LB,6-4,265,5/17/2000 (24),3
Odafe Oweh,LB,6-5,257,12/15/1998 (25),4
Yvandy Rigby,LB,6-1,239,12/31/1999 (24),R
Tavius Robinson,LB,6-6,258,1/3/1999 (25),2
Josh Ross,LB,6-0,229,10/31/1999 (24),2
Trenton Simpson,LB,6-2,238,6/14/2001 (23),2
Jalyn Armour-Davis,CB,6-1,197,9/3/1999 (24),3
Ka'dar Hollman,CB,6-0,196,9/18/1994 (29),4
Marlon Humphrey,CB,6-0,201,7/8/1996 (28),8
Christian Matthew,CB,6-2,195,10/26/1996 (27),3
Arthur Maulet,CB,5-9,190,7/13/1993 (30),8
Trayvon Mullen,CB,6-2,190,9/20/1997 (26),5
Brandon Stephens,CB,6-1,215,12/29/1997 (26),4
Tre Swilling,CB,6-1,196,3/26/1999 (25),1
T.J. Tampa,CB,6-1,194,3/13/2002 (22),R
Nate Wiggins,CB,6-1,182,8/28/2003 (20),R
Damarion Williams,CB,5-10,180,7/15/1998 (25),3
Beau Brade,DB,6-0,203,1/29/2002 (22),R
Ryan Cooper Jr.,DB,5-11,186,—,R
Jordan Toles,DB,6-1,216,5/14/2001 (23),R
Kyle Hamilton,SAF,6-4,220,3/16/2001 (23),3
Sanoussi Kane,SAF,5-11,207,10/6/2001 (22),R
Ar'Darius Washington,SAF,5-8,176,11/2/1999 (24),3
Marcus Williams,FS,6-1,207,9/8/1996 (27),8
Justin Tucker,K,6-1,188,11/21/1989 (34),13
Jordan Stout,P,6-3,207,8/4/1998 (25),3
Nick Moore,LS,6-2,260,12/9/1992 (31),3
Randen Plattner,LS,6-2,244,12/8/1999 (24),R
