A.J. Epenesa,BUF,DE,6-6,260,9/15/1998,25,5
Alec Anderson,BUF,OT,6-5,305,10/3/1999,24,2
Andy Isabella,BUF,WR,5-9,188,11/18/1996,27,5
Austin Johnson,BUF,NT,6-4,314,5/8/1994,30,8
Baylon Spector,BUF,LB,6-0,233,10/20/1998,25,3
Branson Deen,BUF,DT,6-2,280,—,22,R
Bryan Thompson,BUF,WR,6-1,195,4/7/1999,25,1
Cam Lewis,BUF,CB,5-9,183,4/13/1997,27,5
Casey Toohill,BUF,DE,6-5,254,8/21/1996,27,5
Chase Claypool,BUF,WR,6-4,238,7/7/1998,26,5
Christian Benford,BUF,CB,6-1,205,9/21/2000,23,3
Cole Bishop,BUF,SAF,6-2,207,10/24/2002,21,R
Connor McGovern,BUF,OG,6-5,318,11/3/1997,26,6
Curtis Samuel,BUF,WR,5-11,195,8/11/1996,27,8
DaQuan Jones,BUF,DE,6-4,320,12/27/1991,32,11
Daequan Hardy,BUF,CB,5-9,178,6/13/2001,23,R
Dalton Kincaid,BUF,TE,6-4,240,10/18/1999,24,2
Damar Hamlin,BUF,SAF,6-0,200,3/24/1998,26,4
Darrynton Evans,BUF,RB,5-10,203,7/9/1998,26,5
David Edwards,BUF,OG,6-6,308,3/20/1997,27,6
David Ugwoegbu,BUF,DL,6-4,250,—,22,R
Dawson Knox,BUF,TE,6-4,254,11/14/1996,27,6
Dawuane Smoot,BUF,DE,6-3,264,3/2/1995,29,8
DeShawn Williams,BUF,DE,6-1,295,12/29/1992,31,5
DeWayne Carter,BUF,DT,6-3,305,12/10/2000,23,R
Dee Delaney,BUF,DB,5-11,200,2/20/1995,29,4
Deion Jones,BUF,LB,6-1,222,11/4/1994,29,9
Dion Dawkins,BUF,OT,6-5,320,4/26/1994,30,8
Dorian Williams,BUF,LB,6-2,230,6/28/2001,23,2
Ed Oliver,BUF,DT,6-1,287,12/12/1997,26,6
Edefuan Ulofoshio,BUF,LB,6-1,236,1/23/2000,24,R
Eli Ankou,BUF,DT,6-3,325,6/8/1994,30,6
Frank Gore Jr.,BUF,RB,5-8,195,3/13/2002,22,R
Gable Steveson,BUF,DT,6-1,265,5/31/2000,24,R
Greg Rousseau,BUF,DE,6-6,266,4/5/2000,24,4
Gunner Britton,BUF,OG,6-6,312,2/29/2000,24,R
Ja'Marcus Ingram,BUF,DB,6-2,190,9/2/1997,26,1
Jack Browning,BUF,P,5-11,190,11/14/2001,22,R
James Cook,BUF,RB,5-11,190,9/25/1999,24,3
Javon Solomon,BUF,DE,6-2,249,1/17/2001,23,R
Joe Andreessen,BUF,LB,6-1,232,2/7/2000,24,R
Josh Allen,BUF,QB,6-5,237,5/21/1996,28,7
Justin Shorter,BUF,WR,6-4,223,4/17/2000,24,2
K.J. Hamler,BUF,WR,5-9,178,7/8/1999,25,4
Kaiir Elam,BUF,CB,6-1,191,5/5/2001,23,3
Kameron Cline,BUF,DL,6-4,283,2/19/1998,26,1
Keaton Bills,BUF,OG,6-4,316,5/22/1998,26,R
Kendall Williamson,BUF,DB,6-0,203,8/24/2000,23,1
Keni-H Lovely,BUF,CB,5-10,176,5/12/2000,24,R
Keon Coleman,BUF,WR,6-4,215,5/17/2003,21,R
Kevin Jarvis,BUF,OG,6-6,325,12/22/1998,25,1
Khalil Shakir,BUF,WR,6-0,190,2/3/2000,24,3
Kingsley Jonathan,BUF,DE,6-4,260,4/28/1998,26,3
Kyron Brown,BUF,CB,6-1,195,5/26/1996,28,3
La'el Collins,BUF,OT,6-4,315,7/26/1993,30,9
Lawrence Keys III,BUF,WR,5-11,170,—,22,R
Mack Hollins,BUF,WR,6-4,221,9/16/1993,30,8
Marquez Valdes-Scantling,BUF,WR,6-4,206,10/10/1994,29,7
Matt Milano,BUF,OLB,6-0,223,7/28/1994,29,8
Mike Edwards,BUF,OL,6-5,363,11/10/1998,25,R
Mike Edwards,BUF,SAF,5-10,205,5/18/1996,28,6
Mitch Trubisky,BUF,QB,6-3,222,8/20/1994,29,8
Nicholas Morrow,BUF,LB,6-0,216,10/7/1995,28,7
O'Cyrus Torrence,BUF,OG,6-5,347,1/20/2000,24,2
Quintin Morris,BUF,TE,6-2,252,1/21/1999,25,3
Rasul Douglas,BUF,CB,6-2,209,8/29/1994,29,8
Ray Davis,BUF,RB,5-10,216,11/11/1999,24,R
Reggie Gilliam,BUF,FB,6-0,244,8/20/1997,26,5
Reid Ferguson,BUF,LS,6-2,235,3/24/1994,30,8
Richard Gouraige,BUF,OT,6-5,306,10/15/1998,25,1
Rondell Bothroyd,BUF,DE,6-3,273,—,22,R
Ryan Van Demark,BUF,OT,6-6,307,3/22/1998,26,2
Sam Martin,BUF,P,6-1,211,2/27/1990,34,12
Sedrick Van Pran-Granger,BUF,C,6-4,310,10/23/2001,22,R
Shane Buechele,BUF,QB,6-0,210,1/8/1998,26,3
Shayne Simon,BUF,LB,6-3,235,3/14/2000,24,R
Spencer Brown,BUF,OT,6-8,311,2/28/1998,26,4
Taron Johnson,BUF,CB,5-11,192,7/27/1996,27,7
Taylor Rapp,BUF,SAF,6-0,208,12/22/1997,26,6
Te'Cory Couch,BUF,DB,5-10,175,—,22,R
Terrel Bernard,BUF,LB,6-1,224,5/7/1999,25,3
Travis Clayton,BUF,OT,6-7,301,—,22,R
Tre' McKitty,BUF,TE,6-4,246,1/12/1999,25,4
Ty Johnson,BUF,RB,5-10,210,9/17/1997,26,6
Tylan Grable,BUF,OT,6-7,290,10/4/1999,24,R
Tyler Bass,BUF,K,5-10,183,2/14/1997,27,5
Tyrell Shavers,BUF,WR,6-4,211,8/18/1999,24,1
Von Miller,BUF,OLB,6-3,250,3/26/1989,35,14
Will Clapp,BUF,C,6-5,311,12/10/1995,28,7
Xavier Johnson,BUF,WR,6-1,210,—,22,R
Zach Davidson,BUF,TE,6-7,251,7/15/1998,25,2
