A'Shawn Robinson,CAR,DT,6-3,320,3/21/1995,29,9,ARobinsonCAR
Adam Thielen,CAR,WR,6-2,195,8/22/1990,33,11,AThielenCAR
Alex Cook,CAR,SAF,6-1,196,5/21/1999,25,2,ACookCAR
Amare Barno,CAR,LB,6-6,245,4/26/1999,25,3,ABarnoCAR
Andrew Raym,CAR,C,6-4,327,5/2/2001,23,R,ARaymCAR
Andy Dalton,CAR,QB,6-2,220,10/29/1987,36,14,ADaltonCAR
Austin Corbett,CAR,C,6-4,306,9/5/1995,28,7,ACorbettCAR
Badara Traore,CAR,OT,6-7,320,3/12/1997,27,1,BTraoreCAR
Brady Christensen,CAR,OG,6-6,300,9/27/1996,27,4,BChristensenCAR
Bryce Young,CAR,QB,5-10,204,7/25/2001,22,2,BYoungCAR
Cade Mays,CAR,OG,6-6,325,4/26/1999,25,3,CMaysCAR
Cam Gill,CAR,LB,6-3,240,12/14/1997,26,5,CGillCAR
Cam Sims,CAR,WR,6-5,214,1/6/1996,28,6,CSimsCAR
Chandler Wooten,CAR,LB,6-3,230,4/25/1999,25,3,CWootenCAR
Chandler Zavala,CAR,OG,6-3,322,4/2/1999,25,2,CZavalaCAR
Chau Smith-Wade,CAR,CB,5-11,176,9/17/2002,21,R,CSmith-WadeCAR
Christian Duffie,CAR,OT,6-5,300,3/17/2000,24,R,CDuffieCAR
Chuba Hubbard,CAR,RB,6-1,210,6/11/1999,25,4,CHubbardCAR
Claudin Cherelus,CAR,LB,6-2,230,2/9/1999,25,2,CCherelusCAR
Clayton Isbell,CAR,SAF,6-2,220,8/3/2000,23,R,CIsbellCAR
D'Shawn Jamison,CAR,DB,5-9,186,6/4/1999,25,2,DJamisonCAR
D.J. Wonnum,CAR,LB,6-5,258,10/31/1997,26,5,DWonnumCAR
DJ Johnson,CAR,LB,6-4,260,10/21/1998,25,2,DJohnsonCAR
Daewood Davis,CAR,WR,6-2,195,1/23/1999,25,1,DDavisCAR
Damien Lewis,CAR,OG,6-2,327,3/21/1997,27,5,DLewisCAR
Dane Jackson,CAR,CB,5-11,180,11/29/1996,27,5,DJacksonCAR
David Moore,CAR,WR,6-0,219,1/15/1995,29,6,DMooreCAR
Demani Richardson,CAR,SAF,6-1,215,10/7/2000,23,R,DRichardsonCAR
Derrick Brown,CAR,DT,6-5,320,4/15/1998,26,5,DBrownCAR
Derrick McLendon,CAR,DE,6-4,250,9/29/2000,23,R,DMcLendonCAR
Dicaprio Bootle,CAR,CB,5-10,180,9/17/1997,26,2,DBootleCAR
Diontae Johnson,CAR,WR,5-10,183,7/5/1996,28,6,DJohnsonCAR
Eddy Pineiro,CAR,K,5-11,190,9/13/1995,28,7,EPineiroCAR
Eku Leota,CAR,LB,6-3,252,5/11/1999,25,2,ELeotaCAR
Harrison Mevis,CAR,K,5-11,243,3/27/2002,22,R,HMevisCAR
Ian Thomas,CAR,TE,6-4,260,6/6/1996,28,7,IThomasCAR
Ihmir Smith-Marsette,CAR,WR,6-1,185,8/29/1999,24,4,ISmith-MarsetteCAR
Ikem Ekwonu,CAR,OT,6-4,320,10/31/2000,23,3,IEkwonuCAR
J.D. DiRenzo,CAR,OT,6-6,315,7/27/1998,25,1,JDiRenzoCAR
J.J. Jansen,CAR,LS,6-2,235,1/20/1986,38,17,JJansenCAR
Ja'Tavion Sanders,CAR,TE,6-4,243,3/27/2003,21,R,JSandersCAR
Jack Plummer,CAR,QB,6-5,215,10/21/1999,24,R,JPlummerCAR
Jackson Mitchell,CAR,LB,6-2,235,1/23/2001,23,R,JMitchellCAR
Jaden Crumedy,CAR,DT,6-4,309,7/30/2000,23,R,JCrumedyCAR
Jaden Shirden,CAR,RB,5-9,195,5/2/2002,22,R,JShirdenCAR
Jadeveon Clowney,CAR,OLB,6-5,266,2/14/1993,31,11,JClowneyCAR
Jalen Coker,CAR,WR,6-3,213,10/30/2001,22,R,JCokerCAR
Jammie Robinson,CAR,SAF,5-11,190,1/24/2001,23,2,JRobinsonCAR
Jaycee Horn,CAR,CB,6-1,200,11/26/1999,24,4,JHornCAR
Jeremiah Crawford,CAR,OT,6-5,315,9/4/1999,24,R,JCrawfordCAR
Johnny Hekker,CAR,P,6-5,225,2/8/1990,34,13,JHekkerCAR
Jonathan Mingo,CAR,WR,6-2,220,4/20/2001,23,2,JMingoCAR
Jonathon Brooks,CAR,RB,6-0,207,7/21/2003,20,R,JBrooksCAR
Jordan Fuller,CAR,SAF,6-2,203,3/4/1998,26,5,JFullerCAR
Jordan Matthews,CAR,TE,6-3,212,7/16/1992,32,8,JMatthewsCAR
Josey Jewell,CAR,ILB,6-2,236,12/25/1994,29,7,JJewellCAR
Junior Aho,CAR,DT,6-4,272,2/2/1999,25,1,JAhoCAR
K'Lavon Chaisson,CAR,LB,6-3,254,7/25/1999,24,5,KChaissonCAR
Kenny Dyson Jr.,CAR,DE,6-3,235,6/27/2001,23,R,KDysonCAR
LaBryan Ray,CAR,DE,6-4,290,12/5/1997,26,2,LRayCAR
