Adrian Colbert,CHI,FS,6-2,205,10/6/1993,30,6,AColbertCHI
Amen Ogbongbemiga,CHI,LB,6-0,231,9/4/1998,25,4,AOgbongbemigaCHI
Andrew Billings,CHI,DT,6-1,311,6/3/1995,29,8,ABillingsCHI
Austin Booker,CHI,DE,6-6,245,12/14/2002,21,R,ABookerCHI
Austin Reed,CHI,QB,6-1,220,2/22/2000,24,R,AReedCHI
Aviante Collins,CHI,OT,6-4,292,4/21/1993,31,4,ACollinsCHI
Bill Murray,CHI,OL,6-4,307,7/3/1997,27,1,BMurrayCHI
Braxton Jones,CHI,OT,6-5,310,3/27/1999,25,3,BJonesCHI
Brenden Bates,CHI,TE,6-5,255,—,22,R,BBatesCHI
Brett Rypien,CHI,QB,6-2,202,7/9/1996,28,5,BRypienCHI
Byron Cowart,CHI,DT,6-3,300,5/20/1996,28,4,BCowartCHI
Cairo Santos,CHI,K,5-8,175,11/12/1991,32,10,CSantosCHI
Caleb Williams,CHI,QB,6-1,215,11/18/2001,22,R,CWilliamsCHI
Cameron Lyons,CHI,LS,6-0,225,1/11/1999,25,R,CLyonsCHI
Carl Jones Jr.,CHI,LB,6-2,230,—,22,R,CJonesCHI
Cole Kmet,CHI,TE,6-6,260,3/10/1999,25,5,CKmetCHI
Coleman Shelton,CHI,C,6-5,285,7/28/1995,28,6,CSheltonCHI
Collin Johnson,CHI,WR,6-6,222,9/23/1997,26,4,CJohnsonCHI
Corliss Waitman,CHI,P,6-2,210,7/21/1995,28,2,CWaitmanCHI
D'Andre Swift,CHI,RB,5-9,215,1/14/1999,25,5,DSwiftCHI
DJ Moore,CHI,WR,5-11,210,4/14/1997,27,7,DMooreCHI
Daniel Hardy,CHI,DE,6-3,240,12/15/1998,25,2,DHardyCHI
Dante Pettis,CHI,WR,6-1,195,10/23/1995,28,5,DPettisCHI
Darnell Wright,CHI,OT,6-6,333,8/10/2001,22,2,DWrightCHI
Dashaun Mallory,CHI,DT,6-1,275,10/10/1999,24,R,DMalloryCHI
DeAndre Carter,CHI,WR,5-8,190,4/10/1993,31,7,DCarterCHI
DeMarcus Walker,CHI,DE,6-4,280,9/30/1994,29,8,DWalkerCHI
Dominique Robinson,CHI,DE,6-5,253,7/2/1998,26,3,DRobinsonCHI
Doug Kramer,CHI,C,6-2,300,6/4/1998,26,3,DKramerCHI
Douglas Coleman III,CHI,DB,6-1,200,6/28/1998,26,R,DColemanCHI
Elijah Hicks,CHI,SAF,5-11,200,10/16/1999,24,3,EHicksCHI
Freddie Swain,CHI,WR,6-0,199,8/4/1998,25,4,FSwainCHI
Gerald Everett,CHI,TE,6-3,245,6/25/1994,30,8,GEverettCHI
Gervon Dexter Sr.,CHI,DT,6-6,312,10/5/2001,22,2,GDexterCHI
Greg Stroman,CHI,CB,5-11,180,3/8/1996,28,5,GStromanCHI
Ian Wheeler,CHI,RB,5-11,205,—,22,R,IWheelerCHI
Ja'Tyre Carter,CHI,OG,6-3,311,1/15/1999,25,3,JCarterCHI
Jack Sanborn,CHI,LB,6-2,234,7/29/2000,23,3,JSanbornCHI
Jake Curhan,CHI,OT,6-6,316,2/9/1998,26,4,JCurhanCHI
Jake Martin,CHI,DE,6-2,242,12/11/1995,28,7,JMartinCHI
Jamree Kromah,CHI,DL,6-4,275,6/14/2000,24,R,JKromahCHI
Jaquan Brisker,CHI,SAF,6-1,200,4/20/1999,25,3,JBriskerCHI
Jaylon Johnson,CHI,CB,6-0,195,4/19/1999,25,5,JJohnsonCHI
Jaylon Jones,CHI,DB,5-11,190,10/14/1997,26,3,JJonesCHI
Jerome Carvin,CHI,OL,6-3,308,9/20/2000,23,1,JCarvinCHI
John Jackson III,CHI,WR,6-1,215,—,22,R,JJacksonCHI
Jonathan Owens,CHI,DB,5-11,210,7/22/1995,28,6,JOwensCHI
Josh Blackwell,CHI,CB,5-11,180,4/5/1999,25,3,JBlackwellCHI
Keenan Allen,CHI,WR,6-2,211,4/27/1992,32,12,KAllenCHI
Keith Randolph Jr.,CHI,DT,6-5,300,9/1/2001,22,R,KRandolphCHI
Kevin Byard,CHI,FS,5-11,212,8/17/1993,30,9,KByardCHI
Khalid Kareem,CHI,DE,6-4,268,4/28/1998,26,5,KKareemCHI
Khalil Herbert,CHI,RB,5-9,212,4/21/1998,26,4,KHerbertCHI
Khari Blasingame,CHI,FB,6-0,233,7/1/1996,28,6,KBlasingameCHI
Kiran Amegadjie,CHI,OT,6-5,326,2/1/2002,22,R,KAmegadjieCHI
Kyler Gordon,CHI,CB,6-0,200,12/17/1999,24,3,KGordonCHI
Larry Borom,CHI,OG,6-5,333,3/30/1999,25,4,LBoromCHI
Leon Jones,CHI,DB,6-1,195,—,22,R,LJonesCHI
Marcedes Lewis,CHI,TE,6-6,265,5/19/1984,40,19,MLewisCHI
Matt Pryor,CHI,OT,6-7,332,12/16/1994,29,7,MPryorCHI
Micah Baskerville,CHI,LB,6-0,224,10/19/1999,24,1,MBaskervilleCHI
Michael Dwumfour,CHI,DT,6-1,296,1/1/1998,26,2,MDwumfourCHI
Montez Sweat,CHI,DE,6-6,262,9/4/1996,27,6,MSweatCHI
Nate Davis,CHI,OG,6-3,316,9/23/1996,27,6,NDavisCHI
Noah Sewell,CHI,LB,6-2,253,4/26/2002,22,2,NSewellCHI
Nsimba Webster,CHI,WR,5-10,180,1/27/1996,28,4,NWebsterCHI
Patrick Scales,CHI,LS,6-3,226,2/11/1988,36,9,PScalesCHI
Paul Moala,CHI,LB,6-0,229,1/31/2000,24,R,PMoalaCHI
Peter LeBlanc,CHI,WR,6-2,189,4/12/2001,23,R,PLeBlancCHI
Quindell Johnson,CHI,DB,6-2,208,11/5/1999,24,2,QJohnsonCHI
Reddy Steward,CHI,DB,5-11,178,5/4/2001,23,R,RStewardCHI
Rome Odunze,CHI,WR,6-3,215,6/3/2002,22,R,ROdunzeCHI
Roschon Johnson,CHI,RB,6-0,225,1/31/2001,23,2,RJohnsonCHI
Ryan Bates,CHI,OT,6-4,302,2/14/1997,27,6,RBatesCHI
Stephen Carlson,CHI,TE,6-4,240,12/12/1996,27,4,SCarlsonCHI
T.J. Edwards,CHI,LB,6-1,242,8/12/1996,27,6,TEdwardsCHI
Tarvarius Moore,CHI,DB,6-2,200,8/16/1996,27,5,TMooreCHI
Terell Smith,CHI,CB,6-0,207,9/27/1999,24,2,TSmithCHI
Teven Jenkins,CHI,OT,6-6,320,3/3/1998,26,4,TJenkinsCHI
Theo Benedet,CHI,OT,6-7,305,10/12/2001,22,R,TBenedetCHI
Tommy Sweeney,CHI,TE,6-5,255,7/1/1995,29,5,TSweeneyCHI
Tory Taylor,CHI,P,6-4,223,7/10/1997,27,R,TTaylorCHI
Travis Homer,CHI,RB,5-10,202,8/7/1998,25,6,THomerCHI
Tremaine Edmunds,CHI,MLB,6-5,250,5/2/1998,26,7,TEdmundsCHI
Tyler Scott,CHI,WR,5-11,185,10/12/2001,22,2,TScottCHI
Tyrique Stevenson,CHI,CB,6-0,204,5/26/2000,24,2,TStevensonCHI
Tyson Bagent,CHI,QB,6-3,213,6/8/2000,24,2,TBagentCHI
Velus Jones Jr.,CHI,WR,6-0,200,5/11/1997,27,3,VJonesCHI
Zacch Pickens,CHI,DT,6-4,300,3/6/2000,24,2,ZPickensCHI
