A'Shawn Robinson,CAR,DT,6-3,320,3/21/1995 (29),(29),9
Adam Thielen,CAR,WR,6-2,195,8/22/1990 (33),(33),11
Alex Cook,CAR,SAF,6-1,196,5/21/1999 (25),(25),2
Amare Barno,CAR,LB,6-6,245,4/26/1999 (25),(25),3
Andrew Raym,CAR,C,6-4,327,5/2/2001 (23),(23),R
Andy Dalton,CAR,QB,6-2,220,10/29/1987 (36),(36),14
Austin Corbett,CAR,C,6-4,306,9/5/1995 (28),(28),7
Badara Traore,CAR,OT,6-7,320,3/12/1997 (27),(27),1
Brady Christensen,CAR,OG,6-6,300,9/27/1996 (27),(27),4
Bryce Young,CAR,QB,5-10,204,7/25/2001 (22),(22),2
Cade Mays,CAR,OG,6-6,325,4/26/1999 (25),(25),3
Cam Gill,CAR,LB,6-3,240,12/14/1997 (26),(26),5
Cam Sims,CAR,WR,6-5,214,1/6/1996 (28),(28),6
Chandler Wooten,CAR,LB,6-3,230,4/25/1999 (25),(25),3
Chandler Zavala,CAR,OG,6-3,322,4/2/1999 (25),(25),2
Chau Smith-Wade,CAR,CB,5-11,176,9/17/2002 (21),(21),R
Christian Duffie,CAR,OT,6-5,300,3/17/2000 (24),(24),R
Chuba Hubbard,CAR,RB,6-1,210,6/11/1999 (25),(25),4
Claudin Cherelus,CAR,LB,6-2,230,2/9/1999 (25),(25),2
Clayton Isbell,CAR,SAF,6-2,220,8/3/2000 (23),(23),R
D'Shawn Jamison,CAR,DB,5-9,186,6/4/1999 (25),(25),2
D.J. Wonnum,CAR,LB,6-5,258,10/31/1997 (26),(26),5
DJ Johnson,CAR,LB,6-4,260,10/21/1998 (25),(25),2
Daewood Davis,CAR,WR,6-2,195,1/23/1999 (25),(25),1
Damien Lewis,CAR,OG,6-2,327,3/21/1997 (27),(27),5
Dane Jackson,CAR,CB,5-11,180,11/29/1996 (27),(27),5
David Moore,CAR,WR,6-0,219,1/15/1995 (29),(29),6
Demani Richardson,CAR,SAF,6-1,215,10/7/2000 (23),(23),R
Derrick Brown,CAR,DT,6-5,320,4/15/1998 (26),(26),5
Derrick McLendon,CAR,DE,6-4,250,9/29/2000 (23),(23),R
Dicaprio Bootle,CAR,CB,5-10,180,9/17/1997 (26),(26),2
Diontae Johnson,CAR,WR,5-10,183,7/5/1996 (28),(28),6
Eddy Pineiro,CAR,K,5-11,190,9/13/1995 (28),(28),7
Eku Leota,CAR,LB,6-3,252,5/11/1999 (25),(25),2
Harrison Mevis,CAR,K,5-11,243,3/27/2002 (22),(22),R
Ian Thomas,CAR,TE,6-4,260,6/6/1996 (28),(28),7
Ihmir Smith-Marsette,CAR,WR,6-1,185,8/29/1999 (24),(24),4
Ikem Ekwonu,CAR,OT,6-4,320,10/31/2000 (23),(23),3
J.D. DiRenzo,CAR,OT,6-6,315,7/27/1998 (25),(25),1
J.J. Jansen,CAR,LS,6-2,235,1/20/1986 (38),(38),17
Ja'Tavion Sanders,CAR,TE,6-4,243,3/27/2003 (21),(21),R
