Adrian Colbert,CHI,FS,6-2,205,10/6/1993,30,6
Amen Ogbongbemiga,CHI,LB,6-0,231,9/4/1998,25,4
Andrew Billings,CHI,DT,6-1,311,6/3/1995,29,8
Austin Booker,CHI,DE,6-6,245,12/14/2002,21,R
Austin Reed,CHI,QB,6-1,220,2/22/2000,24,R
Aviante Collins,CHI,OT,6-4,292,4/21/1993,31,4
Bill Murray,CHI,OL,6-4,307,7/3/1997,27,1
Braxton Jones,CHI,OT,6-5,310,3/27/1999,25,3
Brenden Bates,CHI,TE,6-5,255,—,22,R
Brett Rypien,CHI,QB,6-2,202,7/9/1996,28,5
Byron Cowart,CHI,DT,6-3,300,5/20/1996,28,4
Cairo Santos,CHI,K,5-8,175,11/12/1991,32,10
Caleb Williams,CHI,QB,6-1,215,11/18/2001,22,R
Cameron Lyons,CHI,LS,6-0,225,1/11/1999,25,R
Carl Jones Jr.,CHI,LB,6-2,230,—,22,R
Cole Kmet,CHI,TE,6-6,260,3/10/1999,25,5
Coleman Shelton,CHI,C,6-5,285,7/28/1995,28,6
Collin Johnson,CHI,WR,6-6,222,9/23/1997,26,4
Corliss Waitman,CHI,P,6-2,210,7/21/1995,28,2
D'Andre Swift,CHI,RB,5-9,215,1/14/1999,25,5
DJ Moore,CHI,WR,5-11,210,4/14/1997,27,7
Daniel Hardy,CHI,DE,6-3,240,12/15/1998,25,2
Dante Pettis,CHI,WR,6-1,195,10/23/1995,28,5
Darnell Wright,CHI,OT,6-6,333,8/10/2001,22,2
Dashaun Mallory,CHI,DT,6-1,275,10/10/1999,24,R
DeAndre Carter,CHI,WR,5-8,190,4/10/1993,31,7
DeMarcus Walker,CHI,DE,6-4,280,9/30/1994,29,8
Dominique Robinson,CHI,DE,6-5,253,7/2/1998,26,3
Doug Kramer,CHI,C,6-2,300,6/4/1998,26,3
Douglas Coleman III,CHI,DB,6-1,200,6/28/1998,26,R
Elijah Hicks,CHI,SAF,5-11,200,10/16/1999,24,3
Freddie Swain,CHI,WR,6-0,199,8/4/1998,25,4
Gerald Everett,CHI,TE,6-3,245,6/25/1994,30,8
Gervon Dexter Sr.,CHI,DT,6-6,312,10/5/2001,22,2
Greg Stroman,CHI,CB,5-11,180,3/8/1996,28,5
Ian Wheeler,CHI,RB,5-11,205,—,22,R
Ja'Tyre Carter,CHI,OG,6-3,311,1/15/1999,25,3
Jack Sanborn,CHI,LB,6-2,234,7/29/2000,23,3
Jake Curhan,CHI,OT,6-6,316,2/9/1998,26,4
Jake Martin,CHI,DE,6-2,242,12/11/1995,28,7
Jamree Kromah,CHI,DL,6-4,275,6/14/2000,24,R
Jaquan Brisker,CHI,SAF,6-1,200,4/20/1999,25,3
Jaylon Johnson,CHI,CB,6-0,195,4/19/1999,25,5
Jaylon Jones,CHI,DB,5-11,190,10/14/1997,26,3
Jerome Carvin,CHI,OL,6-3,308,9/20/2000,23,1
John Jackson III,CHI,WR,6-1,215,—,22,R
Jonathan Owens,CHI,DB,5-11,210,7/22/1995,28,6
Josh Blackwell,CHI,CB,5-11,180,4/5/1999,25,3
Keenan Allen,CHI,WR,6-2,211,4/27/1992,32,12
Keith Randolph Jr.,CHI,DT,6-5,300,9/1/2001,22,R
Kevin Byard,CHI,FS,5-11,212,8/17/1993,30,9
Khalid Kareem,CHI,DE,6-4,268,4/28/1998,26,5
Khalil Herbert,CHI,RB,5-9,212,4/21/1998,26,4
Khari Blasingame,CHI,RB,6-0,233,7/1/1996,28,6
Kiran Amegadjie,CHI,OT,6-5,326,2/1/2002,22,R
Kyler Gordon,CHI,CB,6-0,200,12/17/1999,24,3
Larry Borom,CHI,OG,6-5,333,3/30/1999,25,4
Leon Jones,CHI,DB,6-1,195,—,22,R
Marcedes Lewis,CHI,TE,6-6,265,5/19/1984,40,19
Matt Pryor,CHI,OT,6-7,332,12/16/1994,29,7
Micah Baskerville,CHI,LB,6-0,224,10/19/1999,24,1
Michael Dwumfour,CHI,DT,6-1,296,1/1/1998,26,2
Montez Sweat,CHI,DE,6-6,262,9/4/1996,27,6
Nate Davis,CHI,OG,6-3,316,9/23/1996,27,6
Noah Sewell,CHI,LB,6-2,253,4/26/2002,22,2
Nsimba Webster,CHI,WR,5-10,180,1/27/1996,28,4
Patrick Scales,CHI,LS,6-3,226,2/11/1988,36,9
Paul Moala,CHI,LB,6-0,229,1/31/2000,24,R
Peter LeBlanc,CHI,WR,6-2,189,4/12/2001,23,R
Quindell Johnson,CHI,DB,6-2,208,11/5/1999,24,2
Reddy Steward,CHI,DB,5-11,178,5/4/2001,23,R
Rome Odunze,CHI,WR,6-3,215,6/3/2002,22,R
Roschon Johnson,CHI,RB,6-0,225,1/31/2001,23,2
Ryan Bates,CHI,OT,6-4,302,2/14/1997,27,6
Stephen Carlson,CHI,TE,6-4,240,12/12/1996,27,4
T.J. Edwards,CHI,LB,6-1,242,8/12/1996,27,6
Tarvarius Moore,CHI,DB,6-2,200,8/16/1996,27,5
Terell Smith,CHI,CB,6-0,207,9/27/1999,24,2
Teven Jenkins,CHI,OT,6-6,320,3/3/1998,26,4
Theo Benedet,CHI,OT,6-7,305,10/12/2001,22,R
Tommy Sweeney,CHI,TE,6-5,255,7/1/1995,29,5
Tory Taylor,CHI,P,6-4,223,7/10/1997,27,R
Travis Homer,CHI,RB,5-10,202,8/7/1998,25,6
Tremaine Edmunds,CHI,MLB,6-5,250,5/2/1998,26,7
Tyler Scott,CHI,WR,5-11,185,10/12/2001,22,2
Tyrique Stevenson,CHI,CB,6-0,204,5/26/2000,24,2
Tyson Bagent,CHI,QB,6-3,213,6/8/2000,24,2
Velus Jones Jr.,CHI,WR,6-0,200,5/11/1997,27,3
Zacch Pickens,CHI,DT,6-4,300,3/6/2000,24,2
