Ahmarean Brown,CLE,WR,5-8,170,12/19/2000,23,R
Aidan Robbins,CLE,RB,6-2,237,12/22/2000,23,R
Alex Wright,CLE,DE,6-5,267,9/5/2000,23,3
Amari Cooper,CLE,WR,6-1,210,6/17/1994,30,10
Brady Breeze,CLE,SAF,6-0,205,10/9/1997,26,2
Brian Allen,CLE,C,6-2,303,10/11/1995,28,6
Cade York,CLE,K,6-1,206,1/27/2001,23,2
Caleb Johnson,CLE,LB,6-1,235,7/14/1998,26,1
Cameron Mitchell,CLE,DB,5-11,191,9/8/2001,22,2
Cedric Tillman,CLE,WR,6-3,215,4/19/2000,24,2
Charley Hughlett,CLE,LS,6-4,248,5/16/1990,34,10
Charlie Thomas,CLE,LB,6-3,216,1/31/2000,24,1
Chris Edmonds,CLE,DB,6-2,210,—,22,R
Chris Williams,CLE,DL,6-3,302,6/16/1998,26,3
Corey Bojorquez,CLE,P,6-0,217,9/13/1996,27,7
D'Anthony Bell,CLE,DB,6-1,211,10/17/1996,27,3
D'Onta Foreman,CLE,RB,6-1,236,4/24/1996,28,6
Dalvin Tomlinson,CLE,DE,6-3,325,2/18/1994,30,8
David Bell,CLE,WR,6-1,212,12/14/2000,23,3
David Njoku,CLE,TE,6-4,246,7/10/1996,28,8
Dawand Jones,CLE,OT,6-8,375,8/6/2001,22,2
Denzel Ward,CLE,CB,5-11,190,4/28/1997,27,7
Deshaun Watson,CLE,QB,6-3,223,9/14/1995,28,8
Devin Bush,CLE,LB,5-11,234,7/18/1998,25,6
Dorian Thompson-Robinson,CLE,QB,6-2,203,11/14/1999,24,2
Dustin Hopkins,CLE,K,6-2,210,10/1/1990,33,11
DyShawn Gales,CLE,CB,5-10,188,—,22,R
Elijah Moore,CLE,WR,5-10,180,3/27/2000,24,4
Ethan Pocic,CLE,C,6-6,320,8/5/1995,28,8
Germain Ifedi,CLE,OT,6-5,325,6/2/1994,30,9
Giovanni Ricci,CLE,FB,6-3,240,10/16/1996,27,4
Grant Delpit,CLE,SAF,6-3,208,9/20/1998,25,5
Greg Newsome II,CLE,CB,6-0,192,5/18/2000,24,4
Hakeem Adeniji,CLE,OG,6-4,315,12/8/1997,26,5
Isaiah McGuire,CLE,DE,6-4,268,7/27/2001,22,2
Isaiah Thomas,CLE,DE,6-5,266,12/3/1998,25,2
Jack Conklin,CLE,OT,6-6,308,8/17/1994,29,9
Jaelon Darden,CLE,WR,5-8,175,1/14/1999,25,3
Jalen Camp,CLE,WR,6-2,220,7/10/1998,26,1
Jamari Thrash,CLE,WR,6-0,190,12/19/2000,23,R
Jameis Winston,CLE,QB,6-4,231,1/6/1994,30,10
James Hudson,CLE,OT,6-5,313,5/13/1999,25,4
James Proche,CLE,WR,5-11,193,9/20/1996,27,5
Javion Cohen,CLE,OG,6-4,322,8/8/2002,21,R
Jedrick Wills,CLE,OT,6-4,307,5/17/1999,25,5
Jeremiah Owusu-Koramoah,CLE,LB,6-2,221,11/4/1999,24,4
Jerome Ford,CLE,RB,5-10,210,9/12/1999,24,3
Jerry Jeudy,CLE,WR,6-1,195,4/24/1999,25,5
Joel Bitonio,CLE,OG,6-4,320,10/11/1991,32,11
John Kelly,CLE,RB,5-10,208,10/4/1996,27,2
Jordan Akins,CLE,TE,6-4,245,4/19/1992,32,7
Jordan Hicks,CLE,MLB,6-1,236,6/27/1992,32,10
Jowon Briggs,CLE,DE,6-1,313,9/1/2001,22,R
Juan Thornhill,CLE,DB,6-0,205,10/19/1995,28,6
