Alec Holler,DAL,TE,6-3,242,—,,R
Asim Richards,DAL,OT,6-4,307,10/2/2000 (23),(23),2
Brandin Cooks,DAL,WR,5-10,189,9/25/1993 (30),(30),11
Brandon Aubrey,DAL,K,6-3,208,3/14/1995 (29),(29),2
Brevyn Spann-Ford,DAL,TE,6-7,270,12/27/1999 (24),(24),R
Brock Hoffman,DAL,C,6-4,302,7/2/1999 (25),(25),2
Brock Mogensen,DAL,LB,6-2,235,—,,R
Bryan Anger,DAL,P,6-3,202,10/6/1988 (35),(35),13
Buddy Johnson,DAL,LB,6-2,240,2/27/1999 (25),(25),3
Byron Vaughns,DAL,LB,6-3,225,—,,R
C.J. Goodwin,DAL,DB,6-3,190,2/4/1990 (34),(34),9
Caelen Carson,DAL,DB,6-0,195,3/3/2002 (22),(22),R
Cam Johnson,DAL,WR,6-0,202,—,,R
Carl Davis,DAL,DT,6-5,335,3/2/1992 (32),(32),9
CeeDee Lamb,DAL,WR,6-2,200,4/8/1999 (25),(25),5
Chauncey Golston,DAL,DE,6-5,268,2/10/1998 (26),(26),4
Chuma Edoga,DAL,OG,6-3,308,5/25/1997 (27),(27),6
Cooper Beebe,DAL,OG,6-4,335,5/19/2001 (23),(23),R
Cooper Rush,DAL,QB,6-3,225,11/21/1993 (30),(30),7
Corey Crooms Jr.,DAL,WR,5-11,180,—,,R
DaRon Bland,DAL,CB,6-0,197,7/12/1999 (24),(24),3
Dak Prescott,DAL,QB,6-2,238,7/29/1993 (30),(30),9
Dakoda Shepley,DAL,C,6-5,290,12/27/1994 (29),(29),1
Damien Wilson,DAL,OLB,6-1,245,5/28/1993 (31),(31),9
Damone Clark,DAL,LB,6-3,240,6/28/2000 (24),(24),3
David Durden,DAL,WR,6-2,200,12/26/1998 (25),(25),2
DeMarcus Lawrence,DAL,DE,6-3,265,4/28/1992 (32),(32),11
DeMarvion Overshown,DAL,LB,6-2,220,8/13/2000 (23),(23),2
Denzel Daxon,DAL,DE,6-2,304,—,,R
Deuce Vaughn,DAL,RB,5-6,176,11/2/2001 (22),(22),2
Donovan Wilson,DAL,DB,6-0,204,2/21/1995 (29),(29),6
Durrell Johnson,DAL,DE,6-3,240,6/26/1998 (26),(26),1
Earl Bostick Jr.,DAL,OT,6-6,310,12/31/1998 (25),(25),1
Emany Johnson,DAL,SAF,6-2,218,—,,R
Eric Kendricks,DAL,MLB,6-0,232,2/29/1992 (32),(32),10
"Eric Scott, Jr.",DAL,CB,6-0,197,8/7/1998 (25),(25),2
Ezekiel Elliott,DAL,RB,6-0,226,7/22/1995 (28),(28),9
Gareon Conley,DAL,CB,6-0,190,6/29/1995 (29),(29),5
Hunter Luepke,DAL,RB,6-1,238,2/28/2000 (24),(24),2
Israel Mukuamu,DAL,SAF,6-4,205,11/28/1999 (24),(24),4
Jake Ferguson,DAL,TE,6-5,244,1/18/1999 (25),(25),3
Jalen Brooks,DAL,WR,6-2,205,5/7/2000 (24),(24),2
Jalen Moreno-Cropper,DAL,WR,6-0,172,5/3/2001 (23),(23),1
Jalen Tolbert,DAL,WR,6-1,195,2/27/1999 (25),(25),3
Jason Johnson,DAL,LB,6-1,228,6/1/2001 (23),(23),R
"John Stephens, Jr",DAL,TE,6-5,221,9/23/1999 (24),(24),2
Josh Ball,DAL,OT,6-8,304,5/15/1998 (26),(26),4
Josh Butler,DAL,DB,6-0,182,11/25/1996 (27),(27),1
Josh DeBerry,DAL,CB,5-11,184,8/10/2001 (22),(22),R
Jourdan Lewis,DAL,CB,5-10,195,8/31/1995 (28),(28),8
Juanyeh Thomas,DAL,DB,6-3,217,6/24/2000 (24),(24),2
Julius Wood,DAL,SAF,6-1,194,—,,R
Justin Rogers,DAL,DT,6-2,338,9/12/2001 (22),(22),R
KaVontae Turpin,DAL,WR,5-9,153,8/2/1996 (27),(27),3
Luke Schoonmaker,DAL,TE,6-5,250,9/28/1998 (25),(25),2
Malik Davis,DAL,RB,5-11,202,11/26/1998 (25),(25),2
Malik Hooker,DAL,FS,6-2,212,4/2/1996 (28),(28),8
Marist Liufau,DAL,LB,6-2,239,2/9/2001 (23),(23),R
Markquese Bell,DAL,DB,6-3,205,1/6/1999 (25),(25),3
Marshawn Kneeland,DAL,DE,6-3,268,7/8/2001 (23),(23),R
Matt Waletzko,DAL,OT,6-8,305,12/15/1999 (24),(24),3
Mazi Smith,DAL,DT,6-3,337,6/16/2001 (23),(23),2
Micah Parsons,DAL,LB,6-3,245,5/26/1999 (25),(25),4
Nahshon Wright,DAL,CB,6-4,185,9/23/1998 (25),(25),4
Nathan Thomas,DAL,OT,6-4,331,8/22/2001 (22),(22),R
Nathaniel Peat,DAL,RB,5-8,197,—,,R
Osa Odighizuwa,DAL,DT,6-2,280,8/13/1998 (25),(25),4
Peyton Hendershot,DAL,TE,6-4,254,4/23/1999 (25),(25),3
Princeton Fant,DAL,TE,6-2,235,3/11/1999 (25),(25),1
Racey McMath,DAL,WR,6-3,217,6/14/1999 (25),(25),3
Rico Dowdle,DAL,RB,6-0,215,6/14/1998 (26),(26),5
Royce Freeman,DAL,RB,6-0,238,2/24/1996 (28),(28),6
Ryan Flournoy,DAL,WR,6-1,200,10/27/1999 (24),(24),R
Samuel Williams,DAL,DE,6-4,261,3/31/1999 (25),(25),3
Sheldrick Redwine,DAL,DB,6-0,196,11/6/1996 (27),(27),4
Snoop Conner,DAL,RB,5-10,222,8/1/2000 (23),(23),2
T.J. Bass,DAL,OT,6-4,325,3/31/1999 (25),(25),2
Terence Steele,DAL,OT,6-6,310,6/4/1997 (27),(27),5
Trent Sieg,DAL,LS,6-3,240,5/19/1995 (29),(29),7
Trevon Diggs,DAL,CB,6-2,195,9/20/1998 (25),(25),5
Trey Lance,DAL,QB,6-4,226,5/9/2000 (24),(24),4
Tyler Guyton,DAL,OT,6-7,328,6/11/2001 (23),(23),R
Tyler Smith,DAL,OT,6-6,332,4/3/2001 (23),(23),3
Tyron Johnson,DAL,WR,6-1,193,1/8/1996 (28),(28),5
Tyrus Wheat,DAL,DE,6-2,260,12/8/1999 (24),(24),2
Viliami Fehoko,DAL,DE,6-4,267,12/16/1999 (24),(24),2
Willie Harvey,DAL,LB,5-11,230,1/9/1996 (28),(28),2
Zack Martin,DAL,OG,6-4,315,11/20/1990 (33),(33),11
