Bo Nix,QB,6-2,217,2/25/2000 (24),R
Jarrett Stidham,QB,6-3,215,8/8/1996 (27),5
Zach Wilson,QB,6-2,214,8/3/1999 (24),3
Tyler Badie,RB,5-8,197,2/7/1999 (25),1
Audric Estime,RB,5-11,227,9/6/2003 (20),R
Jaleel McLaughlin,RB,5-7,187,9/13/2000 (23),2
Samaje Perine,RB,5-10,236,9/16/1995 (28),8
Blake Watson,RB,5-9,195,10/14/1999 (24),R
Javonte Williams,RB,5-10,220,4/25/2000 (24),4
Michael Burton,FB,6-0,247,2/1/1992 (32),10
Michael Bandy,WR,5-10,190,12/5/1997 (26),2
Phillip Dorsett,WR,5-10,185,1/5/1993 (31),9
Troy Franklin,WR,6-3,187,2/6/2003 (21),R
Lil'Jordan Humphrey,WR,6-4,225,4/19/1998 (26),5
Brandon Johnson,WR,6-2,195,7/26/1998 (25),3
Marvin Mims,WR,5-11,182,3/19/2002 (22),2
Tim Patrick,WR,6-4,212,11/23/1993 (30),7
Josh Reynolds,WR,6-3,192,2/16/1995 (29),7
David Sills,WR,6-3,211,5/29/1996 (28),3
Courtland Sutton,WR,6-4,216,10/10/1995 (28),7
Devaughn Vele,WR,6-5,210,12/12/1997 (26),R
Jalen Virgil,WR,6-1,210,7/13/1998 (25),3
Nate Adkins,TE,6-3,252,7/9/1999 (25),2
Greg Dulcich,TE,6-4,245,3/26/2000 (24),3
Lucas Krull,TE,6-6,260,7/11/1998 (26),2
Adam Trautman,TE,6-5,253,2/5/1997 (27),5
Thomas Yassmin,TE,6-5,251,—,R
Alex Forsyth,C,6-4,312,2/13/1999 (25),2
Sam Mustipher,C,6-2,332,8/13/1996 (27),5
Luke Wattenberg,C,6-5,300,9/10/1997 (26),3
Quinn Bailey,OT,6-6,323,10/18/1995 (28),3
Garett Bolles,OT,6-5,300,5/27/1992 (32),8
Frank Crum,OT,6-7,315,—,R
Demontrey Jacobs,OT,6-6,315,11/22/1998 (25),1
Mike McGlinchey,OT,6-8,315,1/12/1995 (29),7
Alex Palczewski,OT,6-6,315,8/3/1999 (24),2
Matt Peart,OT,6-7,318,6/11/1997 (27),5
William Sherman,OT,6-4,300,5/27/1999 (25),1
Calvin Throckmorton,OT,6-5,311,8/16/1996 (27),4
Nick Gargiulo,OL,6-5,310,7/19/2000 (23),R
Quinn Meinerz,OG,6-3,320,11/15/1998 (25),4
Ben Powers,OG,6-4,310,10/29/1996 (27),6
Zach Allen,DE,6-5,285,8/20/1997 (26),6
Angelo Blackson,DE,6-4,318,11/14/1992 (31),10
John Franklin-Myers,DE,6-4,288,9/26/1996 (27),7
Elijah Garcia,DE,6-5,302,3/11/1998 (26),2
Matt Henningsen,DT,6-3,291,7/9/1999 (25),3
Jordan Jackson,DT,6-4,294,1/30/1998 (26),1
D.J. Jones,DT,6-0,305,1/19/1995 (29),8
Jordan Miller,DT,6-3,307,—,R
Malcolm Roach,DT,6-3,290,6/9/1998 (26),5
Dondrea Tillman,DT,6-4,270,4/30/1998 (26),1
Brandon Matterson,DL,6-2,295,11/29/1999 (24),R
Jaylon Allen,LB,6-3,240,—,R
Levelle Bailey,LB,6-2,225,12/4/2000 (23),R
Cody Barton,LB,6-2,237,11/13/1996 (27),6
Nik Bonitto,LB,6-3,240,9/26/1999 (24),3
Baron Browning,LB,6-3,240,2/19/1999 (25),4
Jonathon Cooper,LB,6-4,257,1/8/1998 (26),4
Jonah Elliss,LB,6-2,246,4/3/2003 (21),R
Jonas Griffith,LB,6-4,250,1/27/1997 (27),4
Thomas Incoom,LB,6-2,265,2/19/1999 (25),2
Durell Nchami,LB,6-4,258,2/11/2000 (24),1
Ronnie Perkins,LB,6-3,253,9/29/1999 (24),4
Drew Sanders,LB,6-5,234,12/31/2000 (23),2
Alex Singleton,LB,6-2,240,12/7/1993 (30),6
Andre Smith,LB,6-0,240,4/20/1997 (27),5
Justin Strnad,LB,6-3,235,8/21/1996 (27),5
Kris Abrams-Draine,CB,5-11,178,10/4/2001 (22),R
Art Green,CB,6-1,201,4/29/2000 (24),1
Ja'Quan McMillian,CB,5-10,183,6/4/2000 (24),2
Riley Moss,CB,6-0,193,3/3/2000 (24),2
Quinton Newsome,CB,6-1,185,7/11/2001 (23),R
Patrick Surtain II,CB,6-2,202,4/14/2000 (24),4
Omar Brown,DB,6-1,200,10/12/2000 (23),R
P.J. Locke,DB,5-10,202,2/12/1997 (27),5
Damarri Mathis,DB,5-11,195,4/12/1999 (25),3
Keidron Smith,DB,6-2,210,11/6/1999 (24),1
Tremon Smith,DB,6-0,190,7/20/1996 (27),7
Reese Taylor,DB,5-9,188,8/27/1999 (24),1
Levi Wallace,DB,6-0,179,6/12/1995 (29),7
Brandon Jones,SAF,6-1,191,4/2/1998 (26),5
Devon Key,SAF,6-0,208,10/28/1997 (26),1
Tanner McCalister,SAF,5-11,191,1/27/2000 (24),1
JL Skinner,SAF,6-4,220,4/16/2001 (23),2
Caden Sterns,SAF,6-1,207,11/2/1999 (24),4
Delarrin Turner-Yell,SAF,5-11,200,12/16/1999 (24),3
Wil Lutz,K,5-11,184,7/7/1994 (30),9
Riley Dixon,P,6-4,221,8/24/1993 (30),9
Trenton Gill,P,6-4,219,1/1/1999 (25),3
Mitchell Fraboni,LS,6-2,223,10/28/1996 (27),3
