Aidan Hutchinson,DE,6-7,268,8/9/2000 (23),3
Alex Anzalone,MLB,6-3,238,9/22/1994 (29),8
Alim McNeill,DT,6-2,315,5/11/2000 (24),4
Amik Robertson,CB,5-9,183,7/6/1998 (26),5
Amon-Ra St. Brown,WR,6-0,202,10/24/1999 (24),4
Antoine Green,WR,6-2,200,11/15/1999 (24),2
Ben Niemann,LB,6-2,235,7/27/1995 (28),7
Brandon Joseph,SAF,6-0,200,1/5/2001 (23),1
Brian Branch,CB,6-0,203,10/22/2001 (22),2
Brock Wright,TE,6-5,250,11/27/1998 (25),4
Brodric Martin,DT,6-5,330,5/24/1999 (25),2
Bryan Hudson,C,6-5,301,1/11/2001 (23),R
C.J. Moore,DB,5-11,199,12/15/1995 (28),5
Carlton Davis,CB,6-1,206,12/31/1996 (27),7
Chelen Garnes,SAF,5-11,207,9/25/2000 (23),R
Chris Smith,DT,6-1,305,12/15/1999 (24),1
Christian Mahogany,OG,6-3,319,10/11/2000 (23),R
Colby Sorsdal,OG,6-6,315,3/1/2000 (24),2
Connor Galvin,OT,6-7,300,3/11/1999 (25),1
Craig Reynolds,RB,5-11,216,6/15/1996 (28),3
DJ Reader,DE,6-3,335,7/1/1994 (30),9
DaRon Gilbert,LB,6-1,218,5/26/2001 (23),R
Dan Skipper,OT,6-9,330,9/20/1994 (29),5
Daurice Fountain,WR,6-1,210,12/22/1995 (28),4
David Montgomery,RB,5-11,224,6/7/1997 (27),6
Derrick Barnes,LB,6-0,240,5/29/1999 (25),4
Donovan Peoples-Jones,WR,6-2,204,2/19/1999 (25),5
Duke Clemens,C,6-4,305,12/24/2000 (23),R
Emmanuel Moseley,DB,5-11,195,3/25/1996 (28),7
Ennis Rakestraw Jr.,CB,5-11,191,6/5/2002 (22),R
Frank Ragnow,C,6-5,311,5/17/1996 (28),7
Giovanni Manu,OL,6-7,354,1/26/2001 (23),R
Graham Glasgow,OG,6-6,315,8/19/1992 (31),9
Hendon Hooker,QB,6-3,221,1/13/1998 (26),2
Hogan Hatten,LS,6-2,239,8/6/2000 (23),R
Ifeatu Melifonwu,SAF,6-3,210,5/2/1999 (25),4
Isaac Ukwu,LB,6-3,258,1/14/1999 (25),R
Isaiah Williams,WR,5-10,185,1/29/2001 (23),R
Jack Campbell,LB,6-5,243,8/22/2000 (23),2
Jack Fox,P,6-2,218,9/1/1996 (27),5
Jahmyr Gibbs,RB,5-9,200,3/20/2002 (22),2
Jake Bates,K,5-10,202,3/3/1999 (25),1
Jake Funk,RB,5-10,205,1/11/1998 (26),4
Jalen Reeves-Maybin,LB,6-1,226,1/31/1995 (29),8
Jalon Calhoun,WR,5-11,194,12/16/2000 (23),R
James Houston,LB,6-1,245,11/16/1998 (25),3
James Mitchell,TE,6-4,246,8/11/1999 (24),3
Jameson Williams,WR,6-1,180,3/26/2001 (23),3
Jared Goff,QB,6-4,217,10/14/1994 (29),9
Jermar Jefferson,RB,5-10,215,4/15/2000 (24),2
John Cominsky,DE,6-5,285,11/22/1995 (28),6
Josh Paschal,DE,6-3,274,12/17/1999 (24),3
Kaden Davis,WR,6-1,193,9/25/1998 (25),1
Kalif Raymond,WR,5-8,180,8/8/1994 (29),8
Kayode Awosika,OG,6-3,315,10/27/1998 (25),3
Kerby Joseph,DB,6-1,203,11/14/2000 (23),3
Kevin Zeitler,OG,6-4,339,3/8/1990 (34),13
Khalil Dorsey,DB,5-8,185,3/31/1998 (26),4
Kindle Vildor,CB,5-11,190,12/11/1997 (26),5
Kingsley Eguakun,OL,6-3,307,3/23/2001 (23),R
Kyle Peko,NT,6-1,305,7/23/1993 (30),6
Levi Onwuzurike,DT,6-3,290,3/2/1998 (26),4
Loren Strickland,SAF,5-10,202,5/31/2000 (24),R
Malcolm Rodriguez,LB,5-11,234,3/29/1999 (25),3
Marcus Davenport,LB,6-6,265,9/4/1996 (27),7
Matt Betts,DE,6-2,259,3/22/1995 (29),R
Matt Farniok,OG,6-5,316,9/26/1997 (26),3
Maurice Alexander,WR,5-11,174,1/10/1997 (27),1
Mekhi Wingo,DT,6-0,291,4/17/2003 (21),R
Mike Badgley,K,5-10,188,7/28/1995 (28),6
Mitchell Agude,LB,6-4,245,3/10/1999 (25),1
Morice Norris Jr.,DB,5-11,192,9/27/2000 (23),R
Nate Lynn,LB,6-3,256,7/6/2002 (22),R
Nate Sudfeld,QB,6-6,230,10/7/1993 (30),8
Netane Muti,OG,6-3,315,3/27/1999 (25),4
Parker Hesse,TE,6-3,251,5/26/1995 (29),3
Penei Sewell,OT,6-5,335,10/9/2000 (23),4
Sam LaPorta,TE,6-3,245,1/12/2001 (23),2
Scott Daly,LS,6-1,245,2/7/1994 (30),4
Sean McKeon,TE,6-5,255,12/28/1997 (26),5
Shane Zylstra,TE,6-4,240,11/16/1996 (27),3
Sione Vaki,RB,5-11,213,7/30/2001 (22),R
Steven Gilmore,DB,6-0,174,9/17/1999 (24),2
Taylor Decker,OT,6-7,318,8/23/1993 (30),9
Terrion Arnold,CB,6-0,199,3/22/2003 (21),R
Tom Kennedy,WR,5-10,195,7/29/1996 (27),3
Tre'Quan Smith,WR,6-2,210,1/7/1996 (28),6
Zonovan Knight,RB,5-11,209,4/11/2001 (23),3
