Ali Gaye,HOU,DE,6-6,265,11/29/1997,26,1,AGayeHOU
Andrew Beck,HOU,FB,6-3,255,5/15/1996,28,6,ABeckHOU
Azeez Al-Shaair,HOU,LB,6-2,228,8/4/1997,26,6,AAl-ShaairHOU
Ben Skowronek,HOU,WR,6-3,224,6/27/1997,27,4,BSkowronekHOU
Blake Fisher,HOU,OT,6-6,310,3/25/2003,21,R,BFisherHOU
Brandon Hill,HOU,SAF,5-11,195,9/6/2000,23,1,BHillHOU
Brevin Jordan,HOU,TE,6-3,245,7/16/2000,24,4,BJordanHOU
British Brooks,HOU,RB,5-11,225,—,22,R,BBrooksHOU
C.J. Henderson,HOU,CB,6-1,204,9/30/1998,25,5,CHendersonHOU
C.J. Stroud,HOU,QB,6-3,218,10/3/2001,22,2,CStroudHOU
Cade Stover,HOU,TE,6-4,255,6/12/2000,24,R,CStoverHOU
Calen Bullock,HOU,SAF,6-3,190,4/30/2003,21,R,CBullockHOU
Case Keenum,HOU,QB,6-1,206,2/17/1988,36,12,CKeenumHOU
Charlie Heck,HOU,OT,6-8,311,11/20/1996,27,5,CHeckHOU
Christian Harris,HOU,LB,6-1,226,1/16/2001,23,3,CHarrisHOU
D'Angelo Ross,HOU,CB,5-9,190,10/29/1996,27,3,DRossHOU
Dalton Keene,HOU,TE,6-4,251,4/14/1999,25,2,DKeeneHOU
Dalton Schultz,HOU,TE,6-5,244,7/11/1996,28,7,DSchultzHOU
Dameon Pierce,HOU,RB,5-10,218,2/19/2000,24,3,DPierceHOU
Danielle Hunter,HOU,DE,6-5,263,10/29/1994,29,10,DHunterHOU
Dare Ogunbowale,HOU,RB,5-11,205,5/4/1994,30,6,DOgunbowaleHOU
David Sharpe,HOU,OT,6-6,343,10/21/1995,28,6,DSharpeHOU
Davis Mills,HOU,QB,6-4,225,10/21/1998,25,4,DMillsHOU
Del'Shawn Phillips,HOU,LB,6-2,230,10/9/1996,27,5,DPhillipsHOU
Denico Autry,HOU,DT,6-5,273,7/15/1990,34,11,DAutryHOU
Derek Barnett,HOU,DE,6-3,259,6/25/1996,28,8,DBarnettHOU
Derek Stingley Jr.,HOU,CB,6-0,190,6/20/2001,23,3,DStingleyHOU
Desmond King,HOU,DB,5-10,200,12/14/1994,29,8,DKingHOU
Dieter Eiselen,HOU,OG,6-4,320,6/10/1996,28,3,DEiselenHOU
Dylan Horton,HOU,DE,6-4,275,8/21/2000,23,2,DHortonHOU
Eric Murray,HOU,SS,5-11,199,1/7/1994,30,9,EMurrayHOU
Foley Fatukasi,HOU,DT,6-4,318,3/4/1995,29,7,FFatukasiHOU
Henry To'oTo'o,HOU,LB,6-2,228,1/5/2001,23,2,HTo'oTo'oHOU
J.J. Taylor,HOU,RB,5-6,185,1/4/1998,26,3,JTaylorHOU
Jacob Phillips,HOU,LB,6-3,229,4/1/1999,25,5,JPhillipsHOU
Jadon Janke,HOU,WR,6-3,210,—,22,R,JJankeHOU
Jake Hansen,HOU,LB,6-1,235,6/19/1998,26,3,JHansenHOU
Jalen Pitre,HOU,SAF,5-11,198,6/3/1999,25,3,JPitreHOU
Jamal Hill,HOU,LB,6-0,226,—,22,R,JHillHOU
Jared Wayne,HOU,WR,6-3,210,10/7/2000,23,1,JWayneHOU
Jarrett Patterson,HOU,C,6-4,310,9/1/1999,24,2,JPattersonHOU
Jawhar Jordan,HOU,RB,5-10,186,8/18/1999,24,R,JJordanHOU
Jaxon Janke,HOU,WR,6-3,210,—,22,R,JJankeHOU
Jaylon Thomas,HOU,OG,6-5,311,3/31/2000,24,1,JThomasHOU
Jeff Okudah,HOU,CB,6-1,202,2/2/1999,25,5,JOkudahHOU
Jerry Hughes,HOU,DE,6-2,254,8/13/1988,35,15,JHughesHOU
Jimmie Ward,HOU,SAF,5-11,195,7/18/1991,32,11,JWardHOU
Joe Mixon,HOU,RB,6-1,228,7/24/1996,27,8,JMixonHOU
John Metchie III,HOU,WR,5-11,187,7/18/2000,23,2,JMetchieHOU
Johnny Johnson III,HOU,WR,6-1,199,5/14/1999,25,1,JJohnsonHOU
Jon Weeks,HOU,LS,5-10,242,2/17/1986,38,15,JWeeksHOU
Juice Scruggs,HOU,C,6-3,308,1/19/2000,24,2,JScruggsHOU
Ka'imi Fairbairn,HOU,K,6-0,183,1/29/1994,30,9,KFairbairnHOU
Kamari Lassiter,HOU,CB,6-0,180,1/23/2003,21,R,KLassiterHOU
Kendrick Green,HOU,OG,6-4,315,12/22/1998,25,4,KGreenHOU
Kenyon Green,HOU,OT,6-4,323,3/15/2001,23,3,KGreenHOU
Khalil Davis,HOU,DT,6-1,308,8/22/1996,27,4,KDavisHOU
Kilian Zierer,HOU,OT,6-7,312,2/24/1998,26,2,KZiererHOU
Kris Boyd,HOU,DB,5-11,200,9/12/1996,27,6,KBoydHOU
Kurt Hinish,HOU,DT,6-2,300,4/27/1999,25,3,KHinishHOU
LaDarius Henderson,HOU,OG,6-4,309,12/11/2001,22,R,LHendersonHOU
Laremy Tunsil,HOU,OT,6-5,313,8/2/1994,29,9,LTunsilHOU
Lonnie Johnson,HOU,CB,6-2,213,11/4/1995,28,6,LJohnsonHOU
M.J. Stewart,HOU,SAF,5-11,200,9/16/1995,28,7,MStewartHOU
Marcus Harris,HOU,DT,6-2,284,9/27/2000,23,R,MHarrisHOU
Mario Edwards,HOU,DE,6-3,280,1/25/1994,30,10,MEdwardsHOU
