Adetomiwa Adebawore,IND,DT,6-2,282,3/4/2001,23,2,AAdebaworeIND
Adonai Mitchell,IND,WR,6-4,196,10/8/2002,21,R,AMitchellIND
Alec Pierce,IND,WR,6-3,211,5/2/2000,24,3,APierceIND
Ameer Speed,IND,DB,6-3,215,10/13/1999,24,2,ASpeedIND
Andrew Ogletree,IND,TE,6-5,260,7/28/1998,25,3,AOgletreeIND
Anthony Gould,IND,WR,5-8,174,4/6/2001,23,R,AGouldIND
Anthony Richardson,IND,QB,6-4,244,5/22/2002,22,2,ARichardsonIND
Arlington Hambright,IND,OG,6-5,300,1/30/1996,28,3,AHambrightIND
Ashton Dulin,IND,WR,6-2,215,5/15/1997,27,6,ADulinIND
Austin Ajiake,IND,LB,6-1,223,6/30/2000,24,1,AAjiakeIND
Bernhard Raimann,IND,OT,6-6,303,9/23/1997,26,3,BRaimannIND
Blake Freeland,IND,OT,6-7,302,5/3/2001,23,2,BFreelandIND
Braden Smith,IND,OT,6-6,312,3/25/1996,28,7,BSmithIND
Cameron McGrone,IND,LB,6-1,236,6/22/2000,24,3,CMcGroneIND
Chris Lammons,IND,DB,5-10,190,1/31/1996,28,4,CLammonsIND
Clay Fields III,IND,DB,5-10,211,2/15/2000,24,R,CFieldsIND
Craig Young,IND,LB,6-3,225,3/13/2001,23,R,CYoungIND
D.J. Montgomery,IND,WR,6-1,201,11/17/1996,27,4,DMontgomeryIND
Dallis Flowers,IND,CB,6-1,196,6/4/1997,27,3,DFlowersIND
Dalton Tucker,IND,OG,6-6,307,3/18/2000,24,R,DTuckerIND
Danny Pinter,IND,C,6-4,301,6/19/1996,28,5,DPinterIND
Darrell Baker Jr.,IND,CB,6-1,190,3/27/1998,26,2,DBakerIND
Dayo Odeyingbo,IND,DE,6-6,286,9/24/1999,24,4,DOdeyingboIND
DeForest Buckner,IND,DT,6-7,295,3/17/1994,30,9,DBucknerIND
Derek Slywka,IND,DB,6-3,215,—,22,R,DSlywkaIND
E.J. Speed,IND,LB,6-4,227,6/1/1995,29,6,ESpeedIND
Eric Johnson,IND,DT,6-4,299,7/16/1998,26,3,EJohnsonIND
Eric Tomlinson,IND,TE,6-6,265,4/22/1992,32,8,ETomlinsonIND
Ethan Fernea,IND,WR,6-0,195,3/2/1998,26,1,EFerneaIND
Evan Hull,IND,RB,5-10,209,10/26/2000,23,2,EHullIND
Genard Avery,IND,DE,6-0,250,4/26/1995,29,7,GAveryIND
Grant Stuard,IND,LB,5-11,230,10/15/1998,25,4,GStuardIND
Grover Stewart,IND,DT,6-4,315,10/20/1993,30,8,GStewartIND
Isaiah Land,IND,DE,6-4,225,2/5/2000,24,2,ILandIND
Jake Witt,IND,OT,6-7,302,2/7/2000,24,2,JWittIND
Jason Bean,IND,QB,6-2,196,6/9/1999,25,R,JBeanIND
Jaylin Simpson,IND,CB,5-11,179,3/17/2000,24,R,JSimpsonIND
Jaylon Carlies,IND,LB,6-3,227,9/13/2001,22,R,JCarliesIND
Jaylon Jones,IND,DB,6-2,203,4/3/2002,22,2,JJonesIND
Jelani Woods,IND,TE,6-7,253,10/9/1998,25,3,JWoodsIND
Joe Flacco,IND,QB,6-6,230,1/16/1985,39,18,JFlaccoIND
Jonah Laulu,IND,DT,6-5,292,6/30/2000,24,R,JLauluIND
Jonathan Taylor,IND,RB,5-10,226,1/19/1999,25,5,JTaylorIND
Jordan Murray,IND,TE,6-5,240,4/20/2000,24,1,JMurrayIND
Josh Downs,IND,WR,5-9,171,8/12/2001,22,2,JDownsIND
Josh Sills,IND,OG,6-6,325,1/26/1998,26,3,JSillsIND
Julian Blackmon,IND,SAF,6-0,202,8/24/1998,25,5,JBlackmonIND
Julius Brents,IND,CB,6-3,198,1/18/2000,24,2,JBrentsIND
Juwann Winfree,IND,WR,6-1,210,9/4/1996,27,4,JWinfreeIND
Kedon Slovis,IND,QB,6-2,223,4/11/2001,23,R,KSlovisIND
Kendell Brooks,IND,SAF,6-0,206,3/3/2000,24,R,KBrooksIND
Kenny Moore,IND,CB,5-9,190,8/23/1995,28,8,KMooreIND
Kwity Paye,IND,DE,6-3,265,11/19/1998,25,4,KPayeIND
Kylen Granson,IND,TE,6-3,242,3/27/1998,26,4,KGransonIND
