Adam Gotsis,JAC,DE,6-4,290,9/23/1992,31,9,AGotsisJAC
Amani Oruwariye,JAC,CB,6-2,205,2/9/1996,28,5,AOruwariyeJAC
Andre Carter,JAC,DL,6-5,270,—,22,R,ACarterJAC
Andre Cisco,JAC,FS,6-0,210,3/23/2000,24,4,ACiscoJAC
Andrew Parker Jr.,JAC,LB,6-2,235,—,22,R,AParkerJAC
Andrew Wingard,JAC,DB,6-0,200,12/5/1996,27,6,AWingardJAC
Anton Harrison,JAC,OT,6-5,315,2/2/2002,22,2,AHarrisonJAC
Antonio Johnson,JAC,DB,6-3,195,10/29/2001,22,2,AJohnsonJAC
Arik Armstead,JAC,DE,6-7,290,11/15/1993,30,10,AArmsteadJAC
Austin Trammell,JAC,WR,5-10,185,7/4/1998,26,3,ATrammellJAC
Blake Hance,JAC,OL,6-5,310,1/11/1996,28,4,BHanceJAC
Brandon Scherff,JAC,OG,6-5,315,12/26/1991,32,10,BScherffJAC
Brenton Strange,JAC,TE,6-3,247,12/27/2000,23,2,BStrangeJAC
Brevin Easton,JAC,WR,5-11,197,—,22,R,BEastonJAC
Brian Thomas Jr.,JAC,WR,6-4,205,10/8/2002,21,R,BThomasJAC
C.J. Beathard,JAC,QB,6-2,215,11/16/1993,30,8,CBeathardJAC
Caleb Johnson,JAC,LB,6-2,220,7/28/1998,25,4,CJohnsonJAC
Cam Little,JAC,K,6-2,179,8/17/2003,20,R,CLittleJAC
Cam Robinson,JAC,OT,6-6,335,10/9/1995,28,8,CRobinsonJAC
Chad Muma,JAC,LB,6-3,239,8/18/1999,24,3,CMumaJAC
Christian Braswell,JAC,CB,5-10,181,9/27/1999,24,2,CBraswellJAC
Christian Kirk,JAC,WR,5-11,200,11/18/1996,27,7,CKirkJAC
Cole Van Lanen,JAC,OG,6-4,312,4/23/1998,26,4,CVanJAC
Cooper Hodges,JAC,OT,6-3,311,7/13/2000,24,2,CHodgesJAC
D'Ernest Johnson,JAC,RB,5-10,208,2/27/1996,28,6,DJohnsonJAC
DJ Coleman,JAC,LB,6-5,283,9/22/1998,25,1,DColemanJAC
DaVon Hamilton,JAC,DT,6-4,335,2/1/1997,27,5,DHamiltonJAC
Daniel Thomas,JAC,SAF,5-10,215,7/1/1998,26,5,DThomasJAC
Darnell Savage,JAC,DB,5-11,198,7/30/1997,26,6,DSavageJAC
Darryl Williams,JAC,C,6-2,304,6/10/1997,27,1,DWilliamsJAC
De'Shaan Dixon,JAC,DE,6-5,247,12/16/1998,25,2,DDixonJAC
Deantre Prince,JAC,CB,6-0,185,10/12/2000,23,R,DPrinceJAC
Denzel Mims,JAC,WR,6-3,207,10/10/1997,26,4,DMimsJAC
Dequan Jackson,JAC,LB,6-1,255,10/7/1999,24,1,DJacksonJAC
Devin Duvernay,JAC,WR,5-11,200,9/12/1997,26,5,DDuvernayJAC
Devin Lloyd,JAC,LB,6-3,235,9/30/1998,25,3,DLloydJAC
Elijah Cooks,JAC,WR,6-4,215,10/13/1998,25,2,ECooksJAC
Erick Hallett II,JAC,DB,5-11,190,4/24/2000,24,1,EHallettJAC
Esezi Otomewo,JAC,DE,6-5,282,3/9/1999,25,2,EOtomewoJAC
Evan Engram,JAC,TE,6-3,240,9/2/1994,29,8,EEngramJAC
Ezra Cleveland,JAC,OG,6-6,311,5/8/1998,26,5,EClevelandJAC
Foye Oluokun,JAC,LB,6-2,229,8/2/1995,28,7,FOluokunJAC
