Adam Gotsis,DE,6-4,290,9/23/1992 (31),9
Amani Oruwariye,CB,6-2,205,2/9/1996 (28),5
Andre Carter,DL,6-5,270,—,R
Andre Cisco,FS,6-0,210,3/23/2000 (24),4
Andrew Parker Jr.,LB,6-2,235,—,R
Andrew Wingard,DB,6-0,200,12/5/1996 (27),6
Anton Harrison,OT,6-5,315,2/2/2002 (22),2
Antonio Johnson,DB,6-3,195,10/29/2001 (22),2
Arik Armstead,DE,6-7,290,11/15/1993 (30),10
Austin Trammell,WR,5-10,185,7/4/1998 (26),3
Blake Hance,OL,6-5,310,1/11/1996 (28),4
Brandon Scherff,OG,6-5,315,12/26/1991 (32),10
Brenton Strange,TE,6-3,247,12/27/2000 (23),2
Brevin Easton,WR,5-11,197,—,R
Brian Thomas Jr.,WR,6-4,205,10/8/2002 (21),R
C.J. Beathard,QB,6-2,215,11/16/1993 (30),8
Caleb Johnson,LB,6-2,220,7/28/1998 (25),4
Cam Little,K,6-2,179,8/17/2003 (20),R
Cam Robinson,OT,6-6,335,10/9/1995 (28),8
Chad Muma,LB,6-3,239,8/18/1999 (24),3
Christian Braswell,CB,5-10,181,9/27/1999 (24),2
Christian Kirk,WR,5-11,200,11/18/1996 (27),7
Cole Van Lanen,OG,6-4,312,4/23/1998 (26),4
Cooper Hodges,OT,6-3,311,7/13/2000 (23),2
D'Ernest Johnson,RB,5-10,208,2/27/1996 (28),6
DJ Coleman,LB,6-5,283,9/22/1998 (25),1
DaVon Hamilton,DT,6-4,335,2/1/1997 (27),5
Daniel Thomas,SAF,5-10,215,7/1/1998 (26),5
Darnell Savage,DB,5-11,198,7/30/1997 (26),6
Darryl Williams,C,6-2,304,6/10/1997 (27),1
De'Shaan Dixon,DE,6-5,247,12/16/1998 (25),2
Deantre Prince,CB,6-0,185,10/12/2000 (23),R
Denzel Mims,WR,6-3,207,10/10/1997 (26),4
Dequan Jackson,LB,6-1,255,10/7/1999 (24),1
Devin Duvernay,WR,5-11,200,9/12/1997 (26),5
Devin Lloyd,LB,6-3,235,9/30/1998 (25),3
Elijah Cooks,WR,6-4,215,10/13/1998 (25),2
Erick Hallett II,DB,5-11,190,4/24/2000 (24),1
Esezi Otomewo,DE,6-5,282,3/9/1999 (25),2
Evan Engram,TE,6-3,240,9/2/1994 (29),8
Ezra Cleveland,OG,6-6,311,5/8/1998 (26),5
Foye Oluokun,LB,6-2,229,8/2/1995 (28),7
Gabe Davis,WR,6-2,210,3/1/1999 (25),5
Gregory Junior,CB,6-0,190,6/21/1999 (25),2
Jalen Jackson,RB,5-9,220,6/26/2000 (24),R
Jarrian Jones,CB,6-0,191,5/8/2001 (23),R
Javon Foster,OT,6-5,319,3/31/2000 (24),R
Jeremiah Ledbetter,DE,6-3,299,5/29/1994 (30),3
Jordan Jefferson,DT,6-4,317,—,R
Joseph Scates,WR,6-2,210,2/19/2000 (24),R
Josh Pederson,TE,6-5,235,9/22/1997 (26),1
Josh Proctor,SAF,6-2,205,3/27/1999 (25),R
Joshua Cephus,WR,6-3,185,2/5/2001 (23),R
Joshua Hines-Allen,LB,6-5,255,7/13/1997 (26),6
Josiah Deguara,TE,6-2,238,2/14/1997 (27),4
Keaton Sutherland,OG,6-5,316,2/12/1997 (27),3
Keilan Robinson,RB,5-9,188,2/16/2000 (24),R
Logan Cooke,P,6-5,230,7/28/1995 (28),7
Lorenzo Lingard,RB,6-0,205,—,R
Luke Farrell,TE,6-5,250,10/14/1997 (26),4
Luke Fortner,C,6-6,307,5/15/1998 (26),3
Maason Smith,DT,6-6,315,10/13/2002 (21),R
Mac Jones,QB,6-3,214,9/5/1998 (25),4
Mitch Morse,C,6-6,305,4/21/1992 (32),10
Montaric Brown,CB,6-0,190,8/24/1999 (24),3
Myles Cole,DE,6-6,280,4/29/2000 (24),R
Parker Washington,WR,5-10,212,3/21/2002 (22),2
Patrick Murtagh,TE,6-6,220,2/11/2000 (24),R
Riley Patterson,K,6-0,190,9/7/1999 (24),4
Ronald Darby,CB,5-11,193,1/2/1994 (30),10
Ross Matiscik,LS,6-0,240,9/13/1996 (27),5
Roy Robertson-Harris,DE,6-5,290,7/23/1993 (30),8
Seth Williams,WR,6-3,211,4/10/2000 (24),1
Shawn Bowman,TE,6-5,265,—,R
Steven Jones,OG,6-5,340,—,R
Tank Bigsby,RB,6-0,213,8/30/2001 (22),2
Terrell Edmunds,SS,6-1,217,1/20/1997 (27),7
Tevaughn Campbell,DB,6-0,200,6/14/1993 (31),5
Tim Jones,WR,6-1,200,5/15/1998 (26),3
Travis Etienne,RB,5-10,215,1/26/1999 (25),4
Travon Walker,LB,6-5,272,12/18/2000 (23),3
Tre Flowers,CB,6-3,203,6/2/1995 (29),7
Trevis Gipson,LB,6-4,255,6/13/1997 (27),5
Trevor Lawrence,QB,6-6,220,10/6/1999 (24),4
Trey Kiser,LB,6-0,224,11/22/2000 (23),R
Ty Summers,LB,6-1,241,12/31/1995 (28),6
Tyler Lacy,DE,6-4,285,11/10/1999 (24),2
Tyler Shatley,OG,6-3,305,5/5/1991 (33),11
Tyson Campbell,CB,6-1,195,3/17/2000 (24),4
Ventrell Miller,LB,6-0,221,1/15/1999 (25),2
Walker Little,OT,6-7,325,4/1/1999 (25),4
Yasir Abdullah,LB,6-1,234,4/12/2000 (24),2
