Alex Gubner,KC,DT,6-3,284,—,22,R,AGubnerKC
BJ Thompson,KC,DE,6-6,243,3/23/1999,25,2,BThompsonKC
Baylor Cupp,KC,TE,6-6,243,—,22,R,BCuppKC
Bryan Cook,KC,FS,6-1,206,9/7/1999,24,3,BCookKC
C.J. Hanson,KC,OG,6-5,300,3/3/2001,23,R,CHansonKC
Cam Jones,KC,LB,6-2,227,10/21/1999,24,2,CJonesKC
Carson Steele,KC,RB,6-0,228,10/21/2002,21,R,CSteeleKC
Carson Wentz,KC,QB,6-5,237,12/30/1992,31,9,CWentzKC
Chamarri Conner,KC,DB,6-0,202,7/11/2000,24,2,CConnerKC
Charles Omenihu,KC,DE,6-5,280,8/20/1997,26,6,COmenihuKC
Chris Jones,KC,DE,6-6,310,7/3/1994,30,9,CJonesKC
Chris Oladokun,KC,QB,6-1,213,9/3/1997,26,1,COladokunKC
Christian Roland-Wallace,KC,CB,5-11,202,11/23/2001,22,R,CRoland-WallaceKC
Chukwuebuka Godrick,KC,OT,6-5,293,10/11/2000,23,1,CGodrickKC
Clyde Edwards-Helaire,KC,RB,5-7,207,4/11/1999,25,5,CEdwards-HelaireKC
Cole Christiansen,KC,LB,6-1,230,7/30/1997,26,1,CChristiansenKC
Cornell Powell,KC,WR,6-0,204,10/30/1997,26,1,CPowellKC
Creed Humphrey,KC,C,6-4,302,6/28/1999,25,4,CHumphreyKC
Curtis Jacobs,KC,LB,6-1,241,2/18/2002,22,R,CJacobsKC
D.J. Miller Jr.,KC,CB,5-10,185,—,22,R,DMillerKC
Darius Harris,KC,LB,6-2,238,1/17/1996,28,4,DHarrisKC
Deneric Prince,KC,RB,6-0,216,4/11/2000,24,1,DPrinceKC
Deon Bush,KC,DB,6-0,200,8/14/1993,30,9,DBushKC
Derrick Nnadi,KC,NT,6-1,317,5/9/1996,28,7,DNnadiKC
Drue Tranquill,KC,LB,6-2,234,8/15/1995,28,6,DTranquillKC
Ekow Boye-Doe,KC,CB,6-0,177,11/4/1999,24,2,EBoye-DoeKC
Emani Bailey,KC,RB,5-7,202,11/28/2001,22,R,EBaileyKC
Ethan Driskell,KC,OL,6-8,313,—,22,R,EDriskellKC
Fabien Lovett Sr.,KC,DT,6-3,316,12/5/1999,24,R,FLovettKC
Felix Anudike-Uzomah,KC,DE,6-4,255,1/24/2002,22,2,FAnudike-UzomahKC
George Karlaftis,KC,DE,6-4,263,4/3/2001,23,3,GKarlaftisKC
Gerrit Prince,KC,TE,6-4,241,8/25/1997,26,1,GPrinceKC
Griffin McDowell,KC,OT,6-4,301,12/28/1999,24,R,GMcDowellKC
Harrison Butker,KC,K,6-4,205,7/14/1995,29,8,HButkerKC
Hunter Nourzad,KC,C,6-3,317,11/26/2000,23,R,HNourzadKC
Ian Book,KC,QB,6-0,212,3/30/1998,26,3,IBookKC
Irv Smith,KC,TE,6-2,240,8/9/1998,25,6,ISmithKC
Isiah Pacheco,KC,RB,5-10,216,3/2/1999,25,3,IPachecoKC
Jaaron Hayek,KC,WR,6-0,199,6/6/2001,23,R,JHayekKC
Jack Cochrane,KC,LB,6-3,236,2/9/1999,25,3,JCochraneKC
Jaden Hicks,KC,SAF,6-1,215,8/16/2002,21,R,JHicksKC
James Winchester,KC,LS,6-3,209,8/6/1989,34,10,JWinchesterKC
Jared Wiley,KC,TE,6-6,249,11/2/2000,23,R,JWileyKC
Jawaan Taylor,KC,OT,6-5,330,11/25/1997,26,6,JTaylorKC
Jaylen Watson,KC,CB,6-2,197,9/17/1998,25,3,JWatsonKC
Joe Thuney,KC,OG,6-5,304,11/18/1992,31,9,JThuneyKC
Joshua Williams,KC,CB,6-3,193,10/17/1999,24,3,JWilliamsKC
Justin Reid,KC,SS,6-1,207,2/15/1997,27,7,JReidKC
Justin Watson,KC,WR,6-2,215,4/4/1996,28,7,JWatsonKC
Justyn Ross,KC,WR,6-4,210,12/15/1999,24,3,JRossKC
Kadarius Toney,KC,WR,6-0,193,1/27/1999,25,4,KToneyKC
