Alex Gubner,KC,DT,6-3,284,—,22,R
BJ Thompson,KC,DE,6-6,243,3/23/1999,25,2
Baylor Cupp,KC,TE,6-6,243,—,22,R
Bryan Cook,KC,FS,6-1,206,9/7/1999,24,3
C.J. Hanson,KC,OG,6-5,300,3/3/2001,23,R
Cam Jones,KC,LB,6-2,227,10/21/1999,24,2
Carson Steele,KC,RB,6-0,228,10/21/2002,21,R
Carson Wentz,KC,QB,6-5,237,12/30/1992,31,9
Chamarri Conner,KC,DB,6-0,202,7/11/2000,24,2
Charles Omenihu,KC,DE,6-5,280,8/20/1997,26,6
Chris Jones,KC,DE,6-6,310,7/3/1994,30,9
Chris Oladokun,KC,QB,6-1,213,9/3/1997,26,1
Christian Roland-Wallace,KC,CB,5-11,202,11/23/2001,22,R
Chukwuebuka Godrick,KC,OT,6-5,293,10/11/2000,23,1
Clyde Edwards-Helaire,KC,RB,5-7,207,4/11/1999,25,5
Cole Christiansen,KC,LB,6-1,230,7/30/1997,26,1
Cornell Powell,KC,WR,6-0,204,10/30/1997,26,1
Creed Humphrey,KC,C,6-4,302,6/28/1999,25,4
Curtis Jacobs,KC,LB,6-1,241,2/18/2002,22,R
D.J. Miller Jr.,KC,CB,5-10,185,—,22,R
Darius Harris,KC,LB,6-2,238,1/17/1996,28,4
Deneric Prince,KC,RB,6-0,216,4/11/2000,24,1
Deon Bush,KC,DB,6-0,200,8/14/1993,30,9
Derrick Nnadi,KC,NT,6-1,317,5/9/1996,28,7
Drue Tranquill,KC,LB,6-2,234,8/15/1995,28,6
Ekow Boye-Doe,KC,CB,6-0,177,11/4/1999,24,2
Emani Bailey,KC,RB,5-7,202,11/28/2001,22,R
Ethan Driskell,KC,OL,6-8,313,—,22,R
Fabien Lovett Sr.,KC,DT,6-3,316,12/5/1999,24,R
Felix Anudike-Uzomah,KC,DE,6-4,255,1/24/2002,22,2
George Karlaftis,KC,DE,6-4,263,4/3/2001,23,3
Gerrit Prince,KC,TE,6-4,241,8/25/1997,26,1
Griffin McDowell,KC,OT,6-4,301,12/28/1999,24,R
Harrison Butker,KC,K,6-4,205,7/14/1995,29,8
Hunter Nourzad,KC,C,6-3,317,11/26/2000,23,R
Ian Book,KC,QB,6-0,212,3/30/1998,26,3
Irv Smith,KC,TE,6-2,240,8/9/1998,25,6
Isiah Pacheco,KC,RB,5-10,216,3/2/1999,25,3
Jaaron Hayek,KC,WR,6-0,199,6/6/2001,23,R
Jack Cochrane,KC,LB,6-3,236,2/9/1999,25,3
Jaden Hicks,KC,SAF,6-1,215,8/16/2002,21,R
James Winchester,KC,LS,6-3,209,8/6/1989,34,10
Jared Wiley,KC,TE,6-6,249,11/2/2000,23,R
Jawaan Taylor,KC,OT,6-5,330,11/25/1997,26,6
Jaylen Watson,KC,CB,6-2,197,9/17/1998,25,3
Joe Thuney,KC,OG,6-5,304,11/18/1992,31,9
Joshua Williams,KC,CB,6-3,193,10/17/1999,24,3
Justin Reid,KC,SS,6-1,207,2/15/1997,27,7
Justin Watson,KC,WR,6-2,215,4/4/1996,28,7
Justyn Ross,KC,WR,6-4,210,12/15/1999,24,3
Kadarius Toney,KC,WR,6-0,193,1/27/1999,25,4
Kamal Hadden,KC,DB,6-1,192,1/17/2001,23,R
Keaontay Ingram,KC,RB,6-0,221,10/26/1999,24,3
Keith Taylor,KC,CB,6-3,195,5/3/1999,25,3
Kelvin Joseph,KC,CB,6-1,192,11/11/1999,24,4
Kendall Blanton,KC,TE,6-6,262,11/10/1995,28,2
Kingsley Suamataia,KC,OT,6-4,326,1/18/2003,21,R
Leo Chenal,KC,LB,6-3,250,10/26/2000,23,3
Louis Rees-Zammit,KC,RB,6-2,209,2/2/2001,23,R
Lucas Niang,KC,OT,6-6,315,8/19/1998,25,4
Luquay Washington,KC,LB,6-0,232,—,22,R
Malik Herring,KC,DE,6-3,275,11/9/1997,26,4
Marquise Brown,KC,WR,5-9,180,6/4/1997,27,6
Matt Araiza,KC,P,6-2,200,5/16/2000,24,1
Matt Dickerson,KC,DE,6-5,298,11/9/1995,28,4
McKade Mettauer,KC,OG,6-3,307,—,22,R
Mecole Hardman,KC,WR,5-10,187,3/12/1998,26,6
Michael Danna,KC,DE,6-2,257,12/1/1997,26,5
Mike Caliendo,KC,OG,6-4,300,10/21/1997,26,2
Mike Pennel,KC,DT,6-4,330,5/9/1991,33,10
Miles Battle,KC,CB,6-3,196,1/4/2000,24,R
Montrell Washington,KC,WR,5-10,170,3/14/1999,25,3
Nazeeh Johnson,KC,SAF,5-10,199,7/17/1998,25,3
Neil Farrell Jr.,KC,DE,6-4,325,9/9/1998,25,3
Nic Jones,KC,CB,6-0,189,10/15/2001,22,2
Nick Bolton,KC,LB,5-11,237,3/10/2000,24,4
Nick Torres,KC,OG,6-6,306,12/7/1998,25,R
Nikko Remigio,KC,WR,5-9,187,11/4/1999,24,1
Noah Gray,KC,TE,6-3,240,4/30/1999,25,4
Patrick Mahomes,KC,QB,6-2,225,9/17/1995,28,8
Phillip Brooks,KC,WR,5-7,175,9/19/1999,24,R
Rashee Rice,KC,WR,6-1,203,4/22/2000,24,2
Skyy Moore,KC,WR,5-10,195,9/10/2000,23,3
Swayze Bozeman,KC,LB,6-1,224,—,22,R
Tershawn Wharton,KC,DE,6-1,280,6/25/1998,26,5
Travis Kelce,KC,TE,6-5,250,10/5/1989,34,12
Trent McDuffie,KC,CB,5-11,193,9/13/2000,23,3
Trey Dean III,KC,SAF,6-2,200,2/29/2000,24,1
Trey Smith,KC,OG,6-6,321,6/16/1999,25,4
Truman Jones,KC,DE,6-3,250,5/13/2000,24,1
Wanya Morris,KC,OT,6-6,307,10/10/2000,23,2
Xavier Worthy,KC,WR,5-11,165,4/27/2003,21,R
