AJ Finley,LAC,SAF,6-0,188,9/14/2001,22,2,AFinleyLAC
Akeem Dent,LAC,DB,6-1,191,9/24/1987,36,R,ADentLAC
Alex Leatherwood,LAC,OT,6-5,312,1/5/1999,25,3,ALeatherwoodLAC
Alohi Gilman,LAC,SAF,5-10,201,9/17/1997,26,5,AGilmanLAC
Andrew Farmer,LAC,LB,6-4,250,4/19/2000,24,2,AFarmerLAC
Asante Samuel Jr.,LAC,CB,5-10,180,10/3/1999,24,4,ASamuelLAC
Basil Okoye,LAC,DT,6-6,315,10/20/2001,22,1,BOkoyeLAC
Ben Mason,LAC,TE,6-3,254,5/25/1999,25,1,BMasonLAC
Bradley Bozeman,LAC,OG,6-3,317,11/24/1994,29,7,BBozemanLAC
Brenden Jaimes,LAC,OT,6-5,300,5/28/1999,25,4,BJaimesLAC
Brenden Rice,LAC,WR,6-3,210,3/18/2002,22,R,BRiceLAC
Brent Laing,LAC,OL,6-3,304,6/3/1999,25,1,BLaingLAC
Bucky Williams,LAC,C,6-3,300,—,22,R,BWilliamsLAC
Bud Dupree,LAC,OLB,6-4,269,2/12/1993,31,10,BDupreeLAC
Cam Hart,LAC,CB,6-2,207,12/5/2000,23,R,CHartLAC
Cameron Dicker,LAC,K,6-1,216,5/6/2000,24,3,CDickerLAC
Casey Bauman,LAC,QB,6-6,238,5/18/2000,24,R,CBaumanLAC
Chris Collins,LAC,LB,6-5,255,—,22,R,CCollinsLAC
Chris Rumph II,LAC,LB,6-2,244,10/19/1998,25,4,CRumphLAC
Chris Wilcox,LAC,CB,6-2,195,10/30/1997,26,1,CWilcoxLAC
Christopher Hinton,LAC,DT,6-4,310,9/14/2000,23,2,CHintonLAC
Cornelius Johnson,LAC,WR,6-3,208,11/29/2000,23,R,CJohnsonLAC
DJ Chark,LAC,WR,6-3,200,9/23/1996,27,7,DCharkLAC
Daiyan Henley,LAC,LB,6-1,225,11/18/1999,24,2,DHenleyLAC
Deane Leonard,LAC,CB,6-0,195,11/20/1999,24,3,DLeonardLAC
Denzel Perryman,LAC,MLB,5-11,240,12/5/1992,31,10,DPerrymanLAC
Derius Davis,LAC,WR,5-8,165,9/11/2000,23,2,DDavisLAC
Derwin James,LAC,FS,6-2,215,8/3/1996,27,7,DJamesLAC
Donald Parham Jr.,LAC,TE,6-8,237,8/16/1997,26,5,DParhamLAC
Easton Stick,LAC,QB,6-1,224,9/15/1995,28,6,EStickLAC
Elijah Dotson,LAC,RB,5-9,202,1/19/1999,25,2,EDotsonLAC
Foster Sarell,LAC,OT,6-6,322,8/28/1998,25,3,FSarellLAC
Gus Edwards,LAC,RB,6-1,238,4/13/1995,29,7,GEdwardsLAC
Hayden Hurst,LAC,TE,6-4,245,8/24/1993,30,7,HHurstLAC
Isaiah Spiller,LAC,RB,6-1,215,8/9/2001,22,3,ISpillerLAC
J.K. Dobbins,LAC,RB,5-10,215,12/17/1998,25,5,JDobbinsLAC
J.K. Scott,LAC,P,6-5,208,10/30/1995,28,6,JScottLAC
JT Woods,LAC,SAF,6-2,193,6/10/2000,24,3,JWoodsLAC
Ja'Sir Taylor,LAC,CB,5-10,185,1/8/1999,25,3,JTaylorLAC
Jaelen Gill,LAC,WR,6-0,185,—,22,R,JGillLAC
Jalyn Phillips,LAC,SAF,6-1,205,8/20/2001,22,R,JPhillipsLAC
Jamaree Salyer,LAC,OG,6-4,325,7/13/2000,24,3,JSalyerLAC
Jaret Patterson,LAC,RB,5-8,195,12/23/1999,24,2,JPattersonLAC
Jaylen Johnson,LAC,WR,6-2,194,—,22,R,JJohnsonLAC
Jeremiah Jean-Baptiste,LAC,LB,6-2,230,5/31/2001,23,R,JJean-BaptisteLAC
Jerrod Clark,LAC,NT,6-3,334,11/16/1999,24,1,JClarkLAC
Joe Alt,LAC,OT,6-8,322,2/28/2003,21,R,JAltLAC
Joey Bosa,LAC,LB,6-5,280,7/11/1995,29,9,JBosaLAC
Jordan McFadden,LAC,OG,6-2,303,11/16/1999,24,2,JMcFaddenLAC
Josh Harris,LAC,LS,6-1,224,4/27/1989,35,13,JHarrisLAC
Joshua Palmer,LAC,WR,6-1,210,9/22/1999,24,4,JPalmerLAC
Junior Colson,LAC,LB,6-3,247,12/6/2002,21,R,JColsonLAC
Justin Eboigbe,LAC,DT,6-5,292,4/9/2001,23,R,JEboigbeLAC
Justin Herbert,LAC,QB,6-6,236,3/10/1998,26,5,JHerbertLAC
Karsen Barnhart,LAC,OT,6-5,316,3/2/2001,23,R,KBarnhartLAC
Khalil Mack,LAC,OLB,6-3,269,2/22/1991,33,11,KMackLAC
Kimani Vidal,LAC,RB,5-8,215,8/28/2001,22,R,KVidalLAC
Kristian Fulton,LAC,CB,5-11,197,9/3/1998,25,4,KFultonLAC
Ladd McConkey,LAC,WR,6-0,185,11/11/2001,22,R,LMcConkeyLAC
Leon Johnson III,LAC,WR,6-5,215,6/12/2001,23,R,LJohnsonLAC
Luke Benson,LAC,TE,6-4,233,—,22,R,LBensonLAC
Matt Hankins,LAC,CB,5-11,185,2/22/1999,25,1,MHankinsLAC
Max Duggan,LAC,QB,6-1,207,3/12/2001,23,1,MDugganLAC
Micheal Mason,LAC,DE,6-3,280,—,22,R,MMasonLAC
Morgan Fox,LAC,DE,6-3,275,9/12/1994,29,8,MFoxLAC
Nick Niemann,LAC,LB,6-3,244,12/2/1997,26,4,NNiemannLAC
Otito Ogbonnia,LAC,DT,6-4,320,8/25/2000,23,3,OOgbonniaLAC
Poona Ford,LAC,DT,5-11,310,11/19/1995,28,7,PFordLAC
Praise Olatoke,LAC,WR,6-2,197,—,22,R,POlatokeLAC
Quentin Johnston,LAC,WR,6-4,215,9/6/2001,22,2,QJohnstonLAC
Rashawn Slater,LAC,OT,6-4,315,3/26/1999,25,4,RSlaterLAC
Robert Kennedy,LAC,DB,5-10,188,—,22,R,RKennedyLAC
Savion Jackson,LAC,LB,6-2,290,—,22,R,SJacksonLAC
Scott Matlock,LAC,DT,6-4,296,6/28/2000,24,2,SMatlockLAC
Shane Lee,LAC,LB,6-0,240,—,22,R,SLeeLAC
Simi Fehoko,LAC,WR,6-4,218,11/5/1997,26,4,SFehokoLAC
Stone Smartt,LAC,TE,6-4,226,10/4/1998,25,3,SSmarttLAC
Tarheeb Still,LAC,DB,6-1,196,6/9/2002,22,R,TStillLAC
Thomas Harper,LAC,SAF,5-10,195,11/5/2000,23,R,THarperLAC
Tony Jefferson,LAC,SS,5-11,211,1/27/1992,32,10,TJeffersonLAC
Tre'mon Morris-Brash,LAC,LB,6-2,245,—,22,R,TMorris-BrashLAC
Trey Pipkins,LAC,OT,6-6,307,9/5/1996,27,6,TPipkinsLAC
Troy Dye,LAC,LB,6-3,231,9/18/1996,27,5,TDyeLAC
Tuli Tuipulotu,LAC,LB,6-3,266,9/3/2002,21,2,TTuipulotuLAC
Ty Shelby,LAC,LB,6-3,249,10/14/1998,25,1,TShelbyLAC
Tyler McLellan,LAC,OT,6-8,355,7/21/1999,24,R,TMcLellanLAC
Will Dissly,LAC,TE,6-4,265,7/8/1996,28,7,WDisslyLAC
Willis Patrick,LAC,OL,6-4,338,—,22,R,WPatrickLAC
Zach Heins,LAC,TE,6-7,260,—,22,R,ZHeinsLAC
Zamari Walton,LAC,DB,6-3,185,5/31/1998,26,R,ZWaltonLAC
Zion Johnson,LAC,OG,6-3,316,11/18/1999,24,3,ZJohnsonLAC
