AJ Arcuri,LAR,OT,6-7,320,8/13/1997,26,2,AArcuriLAR
Alaric Jackson,LAR,OT,6-7,285,7/14/1998,26,4,AJacksonLAR
Alex Ward,LAR,LS,6-4,240,4/21/1999,25,2,AWardLAR
Anthony Goodlow,LAR,DE,6-5,283,7/25/2000,23,R,AGoodlowLAR
Beaux Limmer,LAR,OG,6-5,307,6/10/2001,23,R,BLimmerLAR
Blake Corum,LAR,RB,5-8,214,11/25/2000,23,R,BCorumLAR
Blake Larson,LAR,OL,6-7,300,3/26/2000,24,R,BLarsonLAR
Bobby Brown III,LAR,DT,6-4,324,8/7/2000,23,4,BBrownLAR
Boston Scott,LAR,RB,5-6,203,4/27/1995,29,6,BScottLAR
Braden Fiske,LAR,DT,6-4,295,1/18/2000,24,R,BFiskeLAR
Brennan Jackson,LAR,LB,6-4,266,10/14/2000,23,R,BJacksonLAR
Byron Young,LAR,LB,6-2,250,3/13/1998,26,2,BYoungLAR
Cam Lampkin,LAR,DB,6-11,173,—,22,R,CLampkinLAR
Cameron McCutcheon,LAR,CB,6-1,204,4/3/2000,24,1,CMcCutcheonLAR
Charles Woods,LAR,DB,5-11,191,—,22,R,CWoodsLAR
Christian Rozeboom,LAR,LB,6-2,230,1/30/1997,27,4,CRozeboomLAR
Colby Parkinson,LAR,TE,6-7,251,1/7/1999,25,5,CParkinsonLAR
Cooper Kupp,LAR,WR,6-2,208,6/15/1993,31,8,CKuppLAR
Cory Durden,LAR,DT,6-4,292,1/26/1999,25,1,CDurdenLAR
Darious Williams,LAR,DB,5-9,187,3/15/1993,31,7,DWilliamsLAR
David Olajiga,LAR,DT,6-3,276,—,22,R,DOlajigaLAR
Davis Allen,LAR,TE,6-6,245,2/3/2001,23,2,DAllenLAR
Decobie Durant,LAR,CB,5-11,180,2/9/1998,26,3,DDurantLAR
Demarcus Robinson,LAR,WR,6-1,203,9/21/1994,29,9,DRobinsonLAR
Derion Kendrick,LAR,CB,6-0,190,8/24/2000,23,3,DKendrickLAR
Desjuan Johnson,LAR,DE,6-3,252,9/2/1999,24,2,DJohnsonLAR
Drake Stoops,LAR,WR,5-10,189,6/16/1999,25,R,DStoopsLAR
Dresser Winn,LAR,QB,6-3,215,11/11/1998,25,1,DWinnLAR
