A.J. Cole,LV,P,6-4,220,11/27/1995,28,6,AColeLV
Adam Butler,LV,DT,6-5,300,4/12/1994,30,6,AButlerLV
Aidan O'Connell,LV,QB,6-3,210,9/1/1998,25,2,AO'ConnellLV
Alex Bachman,LV,WR,6-0,190,5/29/1996,28,1,ABachmanLV
Alexander Mattison,LV,RB,5-11,220,6/19/1998,26,6,AMattisonLV
Amari Burney,LV,LB,6-2,228,6/19/2000,24,2,ABurneyLV
Amari Gainer,LV,LB,6-3,235,—,22,R,AGainerLV
Ameer Abdullah,LV,RB,5-9,203,6/13/1993,31,10,AAbdullahLV
Andre James,LV,C,6-4,300,5/2/1997,27,6,AJamesLV
Andrew Coker,LV,OL,6-7,315,3/23/2001,23,R,ACokerLV
Andrus Peat,LV,OG,6-7,316,11/4/1993,30,10,APeatLV
Anthony Brown,LV,QB,6-1,223,7/27/1998,25,1,ABrownLV
Ben Brown,LV,C,6-5,312,5/19/1998,26,2,BBrownLV
Brandon Facyson,LV,DB,6-2,197,9/8/1994,29,7,BFacysonLV
Brittain Brown,LV,RB,6-1,205,10/10/1997,26,3,BBrownLV
Brock Bowers,LV,TE,6-4,230,12/13/2002,21,R,BBowersLV
Byron Young,LV,DT,6-3,292,11/10/2000,23,2,BYoungLV
Carter Bradley,LV,QB,6-3,216,3/9/2000,24,R,CBradleyLV
Charles Snowden,LV,DE,6-7,245,3/27/1998,26,1,CSnowdenLV
Christian Wilkins,LV,DT,6-4,310,12/20/1995,28,6,CWilkinsLV
Christopher Smith,LV,SS,5-11,195,5/1/2000,24,2,CSmithLV
Clark Barrington,LV,OL,6-5,306,—,22,R,CBarringtonLV
Cody Whitehair,LV,C,6-3,316,7/11/1992,32,9,CWhitehairLV
Cole Fotheringham,LV,TE,6-4,243,10/11/1997,26,1,CFotheringhamLV
Cornell Armstrong,LV,DB,6-0,185,9/22/1995,28,5,CArmstrongLV
DJ Turner,LV,WR,5-9,206,1/18/1997,27,3,DTurnerLV
Dalton Wagner,LV,OT,6-8,320,10/5/1998,25,2,DWagnerLV
Daniel Carlson,LV,K,6-5,215,1/23/1995,29,7,DCarlsonLV
Darien Butler,LV,LB,6-0,225,2/29/2000,24,3,DButlerLV
Davante Adams,LV,WR,6-1,215,12/24/1992,31,11,DAdamsLV
David Agoha,LV,DE,6-4,252,5/18/2001,23,1,DAgohaLV
Decamerion Richardson,LV,CB,6-2,195,3/16/2001,23,R,DRichardsonLV
Delmar Glaze,LV,OL,6-5,323,—,22,R,DGlazeLV
Demarcus Governor,LV,DB,5-10,190,—,22,R,DGovernorLV
Divine Deablo,LV,LB,6-3,223,8/17/1998,25,4,DDeabloLV
Dylan Laube,LV,RB,5-10,208,12/14/1999,24,R,DLaubeLV
Dylan Parham,LV,OG,6-3,285,8/24/1999,24,3,DParhamLV
E SmithElerson,LV,DE,6-7,245,7/17/1998,25,3,ESmithElersonLV
Gardner Minshew,LV,QB,6-1,225,5/16/1996,28,6,GMinshewLV
Harrison Bryant,LV,TE,6-5,230,4/23/1998,26,5,HBryantLV
Isaiah Pola-Mao,LV,SAF,6-4,205,6/30/1999,25,3,IPola-MaoLV
J ShenkerJohn,LV,TE,6-3,242,9/2/1998,25,1,JShenkerJohnLV
Ja'Quan Sheppard,LV,DB,6-2,202,—,22,R,JSheppardLV
Jack Jones,LV,CB,5-11,175,12/20/1997,26,3,JJonesLV
Jackson Powers-Johnson,LV,C,6-3,334,1/23/2003,21,R,JPowers-JohnsonLV
Jacob Bobenmoyer,LV,LS,6-2,235,5/28/1997,27,5,JBobenmoyerLV
Jacob Johanning,LV,OG,6-2,290,—,22,R,JJohanningLV
Jakobi Meyers,LV,WR,6-2,200,11/9/1996,27,6,JMeyersLV
Jakorian Bennett,LV,DB,5-11,195,8/23/2000,23,2,JBennettLV
Jalen Guyton,LV,WR,6-1,212,6/7/1997,27,5,JGuytonLV
Jalen McKenzie,LV,OT,6-5,315,7/10/1999,25,1,JMcKenzieLV
Janarius Robinson,LV,DE,6-5,260,5/4/1998,26,4,JRobinsonLV
Jaydon Grant,LV,SAF,6-0,190,6/15/1998,26,1,JGrantLV
Jeff Foreman,LV,WR,6-0,186,12/26/1999,24,R,JForemanLV
John Jenkins,LV,DT,6-3,327,7/11/1989,35,12,JJenkinsLV
Jordan Meredith,LV,OG,6-2,300,1/4/1998,26,2,JMeredithLV
Kana'i Mauga,LV,ILB,6-2,245,1/8/2000,24,2,KMaugaLV
Kolton Miller,LV,OT,6-8,325,10/9/1995,28,7,KMillerLV
Kristian Wilkerson,LV,WR,6-1,214,1/10/1997,27,3,KWilkersonLV
Lideatrick Griffin,LV,WR,5-10,180,1/23/2001,23,R,LGriffinLV
Luke Masterson,LV,LB,6-1,220,1/7/1998,26,3,LMastersonLV
M.J. Devonshire,LV,DB,5-11,179,9/12/2000,23,R,MDevonshireLV
Malcolm Koonce,LV,DE,6-2,250,6/6/1998,26,4,MKoonceLV
Marcus Epps,LV,SAF,6-0,191,1/27/1996,28,6,MEppsLV
Marquan McCall,LV,DT,6-3,345,3/26/1999,25,2,MMcCallLV
Matthew Butler,LV,DT,6-3,290,6/10/1999,25,2,MButlerLV
Maxx Crosby,LV,DE,6-5,255,8/22/1997,26,6,MCrosbyLV
Michael Gallup,LV,WR,6-1,205,3/4/1996,28,7,MGallupLV
Michael Mayer,LV,TE,6-4,265,7/6/2001,23,2,MMayerLV
N SilveraNesta,LV,DT,6-2,315,1/23/2000,24,2,NSilveraNestaLV
Nate Hobbs,LV,CB,6-1,195,6/24/1999,25,4,NHobbsLV
Noah Shannon,LV,DL,6-1,300,3/16/2000,24,R,NShannonLV
Phalen Sanford,LV,DB,5-11,195,12/9/1999,24,R,PSanfordLV
Ramel Keyton,LV,WR,6-3,197,9/14/2000,23,R,RKeytonLV
Rayshad Williams,LV,DB,6-2,209,—,22,R,RWilliamsLV
Robert Spillane,LV,LB,6-1,229,12/14/1995,28,6,RSpillaneLV
Ron Stone Jr.,LV,DE,6-3,246,—,22,R,RStoneLV
Sam Webb,LV,CB,6-2,195,5/19/1998,26,2,SWebbLV
Sincere McCormick,LV,RB,5-9,205,9/10/2000,23,2,SMcCormickLV
TJ Franklin,LV,DT,6-5,257,—,22,R,TFranklinLV
Thayer Munford,LV,OT,6-6,315,9/18/1999,24,3,TMunfordLV
Tomari Fox,LV,DL,6-2,288,—,22,R,TFoxLV
Tommy Eichenberg,LV,LB,6-2,239,1/11/2001,23,R,TEichenbergLV
Tre Tucker,LV,WR,5-9,185,3/8/2001,23,2,TTuckerLV
Trevon Moehrig,LV,SAF,6-2,202,6/16/1999,25,4,TMoehrigLV
Trey Taylor,LV,SAF,6-0,213,1/30/2001,23,R,TTaylorLV
Tyree Wilson,LV,DE,6-6,275,5/20/2000,24,2,TWilsonLV
Tyreik McAllister,LV,WR,5-11,180,4/7/1998,26,1,TMcAllisterLV
Will Putnam,LV,C,6-4,310,8/13/2000,23,R,WPutnamLV
Zach Gentry,LV,TE,6-8,265,9/10/1996,27,5,ZGentryLV
Zamir White,LV,RB,6-0,215,9/18/1999,24,3,ZWhiteLV
