AJ Finley,LAC,SAF,6-0,188,9/14/2001,22,2
Akeem Dent,LAC,DB,6-1,191,9/24/1987,36,R
Alex Leatherwood,LAC,OT,6-5,312,1/5/1999,25,3
Alohi Gilman,LAC,SAF,5-10,201,9/17/1997,26,5
Andrew Farmer,LAC,LB,6-4,250,4/19/2000,24,2
Asante Samuel Jr.,LAC,CB,5-10,180,10/3/1999,24,4
Basil Okoye,LAC,DT,6-6,315,10/20/2001,22,1
Ben Mason,LAC,TE,6-3,254,5/25/1999,25,1
Bradley Bozeman,LAC,OG,6-3,317,11/24/1994,29,7
Brenden Jaimes,LAC,OT,6-5,300,5/28/1999,25,4
Brenden Rice,LAC,WR,6-3,210,3/18/2002,22,R
Brent Laing,LAC,OL,6-3,304,6/3/1999,25,1
Bucky Williams,LAC,C,6-3,300,—,22,R
Bud Dupree,LAC,OLB,6-4,269,2/12/1993,31,10
Cam Hart,LAC,CB,6-2,207,12/5/2000,23,R
Cameron Dicker,LAC,K,6-1,216,5/6/2000,24,3
Casey Bauman,LAC,QB,6-6,238,5/18/2000,24,R
Chris Collins,LAC,LB,6-5,255,—,22,R
Chris Rumph II,LAC,LB,6-2,244,10/19/1998,25,4
Chris Wilcox,LAC,CB,6-2,195,10/30/1997,26,1
Christopher Hinton,LAC,DT,6-4,310,9/14/2000,23,2
Cornelius Johnson,LAC,WR,6-3,208,11/29/2000,23,R
DJ Chark,LAC,WR,6-3,200,9/23/1996,27,7
Daiyan Henley,LAC,LB,6-1,225,11/18/1999,24,2
Deane Leonard,LAC,CB,6-0,195,11/20/1999,24,3
Denzel Perryman,LAC,MLB,5-11,240,12/5/1992,31,10
Derius Davis,LAC,WR,5-8,165,9/11/2000,23,2
Derwin James,LAC,FS,6-2,215,8/3/1996,27,7
Donald Parham Jr.,LAC,TE,6-8,237,8/16/1997,26,5
Easton Stick,LAC,QB,6-1,224,9/15/1995,28,6
Elijah Dotson,LAC,RB,5-9,202,1/19/1999,25,2
Foster Sarell,LAC,OT,6-6,322,8/28/1998,25,3
Gus Edwards,LAC,RB,6-1,238,4/13/1995,29,7
Hayden Hurst,LAC,TE,6-4,245,8/24/1993,30,7
Isaiah Spiller,LAC,RB,6-1,215,8/9/2001,22,3
J.K. Dobbins,LAC,RB,5-10,215,12/17/1998,25,5
J.K. Scott,LAC,P,6-5,208,10/30/1995,28,6
JT Woods,LAC,SAF,6-2,193,6/10/2000,24,3
Ja'Sir Taylor,LAC,CB,5-10,185,1/8/1999,25,3
Jaelen Gill,LAC,WR,6-0,185,—,22,R
Jalyn Phillips,LAC,SAF,6-1,205,8/20/2001,22,R
Jamaree Salyer,LAC,OG,6-4,325,7/13/2000,23,3
Jaret Patterson,LAC,RB,5-8,195,12/23/1999,24,2
Jaylen Johnson,LAC,WR,6-2,194,—,22,R
Jeremiah Jean-Baptiste,LAC,LB,6-2,230,5/31/2001,23,R
Jerrod Clark,LAC,NT,6-3,334,11/16/1999,24,1
Joe Alt,LAC,OT,6-8,322,2/28/2003,21,R
Joey Bosa,LAC,LB,6-5,280,7/11/1995,29,9
Jordan McFadden,LAC,OG,6-2,303,11/16/1999,24,2
Josh Harris,LAC,LS,6-1,224,4/27/1989,35,13
Joshua Palmer,LAC,WR,6-1,210,9/22/1999,24,4
Junior Colson,LAC,LB,6-3,247,12/6/2002,21,R
Justin Eboigbe,LAC,DT,6-5,292,4/9/2001,23,R
Justin Herbert,LAC,QB,6-6,236,3/10/1998,26,5
Karsen Barnhart,LAC,OT,6-5,316,3/2/2001,23,R
Khalil Mack,LAC,OLB,6-3,269,2/22/1991,33,11
Kimani Vidal,LAC,RB,5-8,215,8/28/2001,22,R
Kristian Fulton,LAC,CB,5-11,197,9/3/1998,25,4
Ladd McConkey,LAC,WR,6-0,185,11/11/2001,22,R
Leon Johnson III,LAC,WR,6-5,215,6/12/2001,23,R
Luke Benson,LAC,TE,6-4,233,—,22,R
Matt Hankins,LAC,CB,5-11,185,2/22/1999,25,1
Max Duggan,LAC,QB,6-1,207,3/12/2001,23,1
Micheal Mason,LAC,DE,6-3,280,—,22,R
Morgan Fox,LAC,DE,6-3,275,9/12/1994,29,8
Nick Niemann,LAC,LB,6-3,244,12/2/1997,26,4
Otito Ogbonnia,LAC,DT,6-4,320,8/25/2000,23,3
Poona Ford,LAC,DT,5-11,310,11/19/1995,28,7
Praise Olatoke,LAC,WR,6-2,197,—,22,R
Quentin Johnston,LAC,WR,6-4,215,9/6/2001,22,2
Rashawn Slater,LAC,OT,6-4,315,3/26/1999,25,4
Robert Kennedy,LAC,DB,5-10,188,—,22,R
Savion Jackson,LAC,LB,6-2,290,—,22,R
Scott Matlock,LAC,DT,6-4,296,6/28/2000,24,2
Shane Lee,LAC,LB,6-0,240,—,22,R
Simi Fehoko,LAC,WR,6-4,218,11/5/1997,26,4
Stone Smartt,LAC,TE,6-4,226,10/4/1998,25,3
Tarheeb Still,LAC,DB,6-1,196,6/9/2002,22,R
