Aaron Brewer,MIA,C,6-1,295,10/28/1997,26,5,ABrewerMIA
Alec Ingold,MIA,FB,6-1,232,7/9/1996,28,6,AIngoldMIA
Andrew Meyer,MIA,C,6-3,295,1/14/2000,24,R,AMeyerMIA
Anthony Schwartz,MIA,WR,6-0,186,9/5/2000,23,3,ASchwartzMIA
Anthony Walker,MIA,MLB,6-1,235,8/8/1995,28,8,AWalkerMIA
Austin Jackson,MIA,OT,6-5,320,8/11/1999,24,5,AJacksonMIA
Bayron Matos,MIA,OT,6-7,313,12/8/2000,23,R,BMatosMIA
Benito Jones,MIA,DT,6-1,335,11/27/1997,26,4,BJonesMIA
Blake Ferguson,MIA,LS,6-3,240,4/21/1997,27,5,BFergusonMIA
Bradley Chubb,MIA,OLB,6-4,268,6/24/1996,28,7,BChubbMIA
Brandon Pili,MIA,DT,6-3,319,4/2/1999,25,2,BPiliMIA
Braxton Berrios,MIA,WR,5-9,185,10/6/1995,28,7,BBerriosMIA
Braylon Sanders,MIA,WR,6-1,190,1/21/1999,25,1,BSandersMIA
Calais Campbell,MIA,DE,6-8,282,9/1/1986,37,17,CCampbellMIA
Cam Brown,MIA,LB,6-5,235,4/1/1998,26,5,CBrownMIA
Cam Smith,MIA,CB,6-1,180,12/21/2000,23,2,CSmithMIA
Cameron Goode,MIA,LB,6-3,245,4/15/1998,26,2,CGoodeMIA
Channing Tindall,MIA,LB,6-2,236,3/28/2000,24,3,CTindallMIA
Chasen Hines,MIA,OG,6-3,320,4/3/2000,24,2,CHinesMIA
Chop Robinson,MIA,LB,6-3,254,1/2/2003,21,R,CRobinsonMIA
Christopher Brooks,MIA,RB,6-1,223,1/11/2000,24,2,CBrooksMIA
Da'Shawn Hand,MIA,DE,6-3,297,11/14/1995,28,7,DHandMIA
David Long,MIA,LB,5-11,227,10/12/1996,27,6,DLongMIA
De'Von Achane,MIA,RB,5-9,188,10/13/2001,22,2,DAchaneMIA
Duke Riley,MIA,MLB,6-1,227,8/9/1994,29,8,DRileyMIA
Durham Smythe,MIA,TE,6-6,246,8/9/1995,28,7,DSmytheMIA
Elijah Campbell,MIA,DB,5-11,200,8/24/1995,28,5,ECampbellMIA
Erik Ezukanma,MIA,WR,6-2,206,1/25/2000,24,2,EEzukanmaMIA
Ethan Bonner,MIA,CB,6-1,186,10/23/1999,24,1,EBonnerMIA
Gavin Hardison,MIA,QB,6-2,206,5/15/2000,24,R,GHardisonMIA
Grayson Murphy,MIA,LB,6-2,249,10/13/2000,23,R,GMurphyMIA
Hayden Rucci,MIA,TE,6-5,247,1/27/2001,23,R,HRucciMIA
Ireland Brown,MIA,C,6-3,300,6/13/2001,23,R,IBrownMIA
Isaiah Johnson,MIA,DB,6-3,205,3/29/2000,24,R,IJohnsonMIA
Isaiah Mack,MIA,DT,6-1,299,3/19/1996,28,3,IMackMIA
Isaiah Wynn,MIA,OG,6-2,310,12/9/1995,28,7,IWynnMIA
Jack Driscoll,MIA,OT,6-5,312,4/1/1997,27,5,JDriscollMIA
Jaelan Phillips,MIA,LB,6-5,263,5/28/1999,25,4,JPhillipsMIA
Jake Bailey,MIA,P,6-2,214,6/18/1997,27,6,JBaileyMIA
Jalen Ramsey,MIA,CB,6-1,208,10/24/1994,29,9,JRamseyMIA
Jason Maitre,MIA,DB,5-10,188,2/1/2000,24,R,JMaitreMIA
Jason Sanders,MIA,K,5-11,195,11/16/1995,28,7,JSandersMIA
Jaylen Waddle,MIA,WR,5-10,185,11/25/1998,25,4,JWaddleMIA
Jaylen Wright,MIA,RB,5-11,210,4/1/2003,21,R,JWrightMIA
Je'Quan Burton,MIA,WR,5-9,177,3/8/2000,24,R,JBurtonMIA
Jeff Wilson,MIA,RB,6-0,210,11/16/1995,28,7,JWilsonMIA
Jevon Holland,MIA,SAF,6-1,210,3/3/2000,24,4,JHollandMIA
Jody Fortson,MIA,TE,6-4,226,12/7/1995,28,4,JFortsonMIA
Jonathan Harris,MIA,DT,6-5,295,8/4/1996,27,4,JHarrisMIA
Jonnu Smith,MIA,TE,6-3,248,8/22/1995,28,8,JSmithMIA
Jordan Colbert,MIA,DB,6-2,214,3/18/2000,24,R,JColbertMIA
Jordan Poyer,MIA,FS,6-0,191,4/25/1991,33,12,JPoyerMIA
Jordyn Brooks,MIA,LB,6-0,240,10/21/1997,26,5,JBrooksMIA
Julian Hill,MIA,TE,6-4,251,7/9/2000,24,2,JHillMIA
Kader Kohou,MIA,CB,5-10,193,11/28/1998,25,3,KKohouMIA
Kendall Fuller,MIA,CB,5-11,198,2/13/1995,29,9,KFullerMIA
Kendall Lamm,MIA,OT,6-5,308,6/5/1992,32,9,KLammMIA
Kion Smith,MIA,OT,6-5,306,10/7/1998,25,2,KSmithMIA
Leonard Payne Jr.,MIA,DT,6-3,300,9/15/2000,23,R,LPayneMIA
Lester Cotton,MIA,OG,6-4,330,2/20/1996,28,5,LCottonMIA
Liam Eichenberg,MIA,OT,6-6,306,1/19/1998,26,4,LEichenbergMIA
Malik Washington,MIA,WR,5-9,194,10/20/2000,23,R,MWashingtonMIA
Marcus Maye,MIA,FS,6-0,207,3/9/1993,31,8,MMayeMIA
Mario Kendricks,MIA,DT,6-0,294,10/18/2000,23,R,MKendricksMIA
Mark Perry,MIA,SAF,6-0,213,5/30/2001,23,R,MPerryMIA
Matthew Jones,MIA,OL,6-3,316,6/13/1999,25,R,MJonesMIA
Mike White,MIA,QB,6-5,216,3/25/1995,29,6,MWhiteMIA
Mohamed Kamara,MIA,DE,6-1,250,6/9/2000,24,R,MKamaraMIA
Neville Gallimore,MIA,DT,6-2,302,1/17/1997,27,5,NGallimoreMIA
Nik Needham,MIA,DB,6-1,196,11/4/1996,27,6,NNeedhamMIA
Odell Beckham Jr.,MIA,WR,5-11,200,11/5/1992,31,10,OBeckhamMIA
Patrick McMorris,MIA,SAF,6-0,210,10/18/2001,22,R,PMcMorrisMIA
Patrick Paul,MIA,OT,6-7,315,11/1/2000,23,R,PPaulMIA
Quinton Bell,MIA,LB,6-4,251,5/9/1996,28,3,QBellMIA
Raheem Mostert,MIA,RB,5-10,205,4/9/1992,32,10,RMostertMIA
River Cracraft,MIA,WR,6-0,198,11/1/1994,29,6,RCracraftMIA
Ryan Hayes,MIA,OT,6-6,305,2/28/2000,24,1,RHayesMIA
Salvon Ahmed,MIA,RB,5-11,197,12/29/1998,25,5,SAhmedMIA
Shaquil Barrett,MIA,LB,6-2,250,11/17/1992,31,10,SBarrettMIA
Siran Neal,MIA,DB,6-0,206,8/4/1994,29,7,SNealMIA
Skylar Thompson,MIA,QB,6-2,219,6/4/1997,27,3,SThompsonMIA
Storm Duck,MIA,DB,6-0,195,12/15/2000,23,R,SDuckMIA
Tahj Washington,MIA,WR,5-10,175,5/16/2001,23,R,TWashingtonMIA
Tanner Conner,MIA,TE,6-3,232,3/20/1998,26,2,TConnerMIA
Teair Tart,MIA,DT,6-2,304,2/28/1997,27,5,TTartMIA
Terron Armstead,MIA,OT,6-5,304,7/23/1991,32,12,TArmsteadMIA
Tua Tagovailoa,MIA,QB,6-1,227,3/2/1998,26,5,TTagovailoaMIA
Tyreek Hill,MIA,WR,5-10,191,3/1/1994,30,9,THillMIA
Zach Sieler,MIA,DE,6-6,300,9/7/1995,28,7,ZSielerMIA
Zeke Vandenburgh,MIA,LB,6-4,232,1/18/1999,25,2,ZVandenburghMIA
