Aaron Brewer,MIA,C,6-1,295,10/28/1997 (26),(26),5
Alec Ingold,MIA,FB,6-1,232,7/9/1996 (28),(28),6
Andrew Meyer,MIA,C,6-3,295,1/14/2000 (24),(24),R
Anthony Schwartz,MIA,WR,6-0,186,9/5/2000 (23),(23),3
Anthony Walker,MIA,MLB,6-1,235,8/8/1995 (28),(28),8
Austin Jackson,MIA,OT,6-5,320,8/11/1999 (24),(24),5
Bayron Matos,MIA,OT,6-7,313,12/8/2000 (23),(23),R
Benito Jones,MIA,DT,6-1,335,11/27/1997 (26),(26),4
Blake Ferguson,MIA,LS,6-3,240,4/21/1997 (27),(27),5
Bradley Chubb,MIA,OLB,6-4,268,6/24/1996 (28),(28),7
Brandon Pili,MIA,DT,6-3,319,4/2/1999 (25),(25),2
Braxton Berrios,MIA,WR,5-9,185,10/6/1995 (28),(28),7
Braylon Sanders,MIA,WR,6-1,190,1/21/1999 (25),(25),1
Calais Campbell,MIA,DE,6-8,282,9/1/1986 (37),(37),17
Cam Brown,MIA,LB,6-5,235,4/1/1998 (26),(26),5
Cam Smith,MIA,CB,6-1,180,12/21/2000 (23),(23),2
Cameron Goode,MIA,LB,6-3,245,4/15/1998 (26),(26),2
Channing Tindall,MIA,LB,6-2,236,3/28/2000 (24),(24),3
Chasen Hines,MIA,OG,6-3,320,4/3/2000 (24),(24),2
Chop Robinson,MIA,LB,6-3,254,1/2/2003 (21),(21),R
Christopher Brooks,MIA,RB,6-1,223,1/11/2000 (24),(24),2
Da'Shawn Hand,MIA,DE,6-3,297,11/14/1995 (28),(28),7
David Long,MIA,LB,5-11,227,10/12/1996 (27),(27),6
De'Von Achane,MIA,RB,5-9,188,10/13/2001 (22),(22),2
Duke Riley,MIA,MLB,6-1,227,8/9/1994 (29),(29),8
Durham Smythe,MIA,TE,6-6,246,8/9/1995 (28),(28),7
Elijah Campbell,MIA,DB,5-11,200,8/24/1995 (28),(28),5
Erik Ezukanma,MIA,WR,6-2,206,1/25/2000 (24),(24),2
Ethan Bonner,MIA,CB,6-1,186,10/23/1999 (24),(24),1
Gavin Hardison,MIA,QB,6-2,206,5/15/2000 (24),(24),R
Grayson Murphy,MIA,LB,6-2,249,10/13/2000 (23),(23),R
Hayden Rucci,MIA,TE,6-5,247,1/27/2001 (23),(23),R
Ireland Brown,MIA,C,6-3,300,6/13/2001 (23),(23),R
Isaiah Johnson,MIA,DB,6-3,205,3/29/2000 (24),(24),R
Isaiah Mack,MIA,DT,6-1,299,3/19/1996 (28),(28),3
Isaiah Wynn,MIA,OG,6-2,310,12/9/1995 (28),(28),7
Jack Driscoll,MIA,OT,6-5,312,4/1/1997 (27),(27),5
Jaelan Phillips,MIA,LB,6-5,263,5/28/1999 (25),(25),4
Jake Bailey,MIA,P,6-2,214,6/18/1997 (27),(27),6
Jalen Ramsey,MIA,CB,6-1,208,10/24/1994 (29),(29),9
Jason Maitre,MIA,DB,5-10,188,2/1/2000 (24),(24),R
Jason Sanders,MIA,K,5-11,195,11/16/1995 (28),(28),7
Jaylen Waddle,MIA,WR,5-10,185,11/25/1998 (25),(25),4
Jaylen Wright,MIA,RB,5-11,210,4/1/2003 (21),(21),R
Je'Quan Burton,MIA,WR,5-9,177,3/8/2000 (24),(24),R
Jeff Wilson,MIA,RB,6-0,210,11/16/1995 (28),(28),7
Jevon Holland,MIA,SAF,6-1,210,3/3/2000 (24),(24),4
Jody Fortson,MIA,TE,6-4,226,12/7/1995 (28),(28),4
Jonathan Harris,MIA,DT,6-5,295,8/4/1996 (27),(27),4
Jonnu Smith,MIA,TE,6-3,248,8/22/1995 (28),(28),8
Jordan Colbert,MIA,DB,6-2,214,3/18/2000 (24),(24),R
Jordan Poyer,MIA,FS,6-0,191,4/25/1991 (33),(33),12
Jordyn Brooks,MIA,LB,6-0,240,10/21/1997 (26),(26),5
Julian Hill,MIA,TE,6-4,251,7/9/2000 (24),(24),2
Kader Kohou,MIA,CB,5-10,193,11/28/1998 (25),(25),3
Kendall Fuller,MIA,CB,5-11,198,2/13/1995 (29),(29),9
Kendall Lamm,MIA,OT,6-5,308,6/5/1992 (32),(32),9
Kion Smith,MIA,OT,6-5,306,10/7/1998 (25),(25),2
Leonard Payne Jr.,MIA,DT,6-3,300,9/15/2000 (23),(23),R
Lester Cotton,MIA,OG,6-4,330,2/20/1996 (28),(28),5
Liam Eichenberg,MIA,OT,6-6,306,1/19/1998 (26),(26),4
Malik Washington,MIA,WR,5-9,194,10/20/2000 (23),(23),R
Marcus Maye,MIA,FS,6-0,207,3/9/1993 (31),(31),8
Mario Kendricks,MIA,DT,6-0,294,10/18/2000 (23),(23),R
Mark Perry,MIA,SAF,6-0,213,5/30/2001 (23),(23),R
Matthew Jones,MIA,OL,6-3,316,6/13/1999 (25),(25),R
Mike White,MIA,QB,6-5,216,3/25/1995 (29),(29),6
Mohamed Kamara,MIA,DE,6-1,250,6/9/2000 (24),(24),R
Neville Gallimore,MIA,DT,6-2,302,1/17/1997 (27),(27),5
Nik Needham,MIA,DB,6-1,196,11/4/1996 (27),(27),6
