A.J. Green,MIN,CB,6-2,198,6/9/1998,26,3
Aaron Jones,MIN,RB,5-9,208,12/2/1994,29,8
Abraham Beauplan,MIN,LB,6-2,236,2/3/2000,24,1
Akayleb Evans,MIN,CB,6-2,198,6/22/1999,25,3
Andre Carter II,MIN,LB,6-6,256,3/28/2000,24,2
Andrew Booth Jr.,MIN,CB,6-0,194,9/28/2000,23,3
Andrew DePaola,MIN,LS,6-1,229,7/28/1987,36,10
Andrew Van,MIN,OLB,6-4,242,7/1/1995,29,6
Blake Brandel,MIN,OT,6-7,315,1/23/1997,27,4
Blake Cashman,MIN,LB,6-1,235,5/10/1996,28,6
Bo Richter,MIN,LB,6-1,248,8/13/2000,23,R
Brandon Powell,MIN,WR,5-8,181,9/12/1995,28,7
Brian Asamoah,MIN,LB,6-0,226,3/29/2000,24,3
Brian O'Neill,MIN,OT,6-7,310,9/15/1995,28,7
Byron Murphy,MIN,CB,5-11,190,1/18/1998,26,6
C.J. Ham,MIN,FB,5-11,250,7/22/1993,30,8
Camryn Bynum,MIN,SS,6-0,200,7/19/1998,25,4
Christian Darrisaw,MIN,OT,6-5,315,6/2/1999,25,4
Dallas Gant,MIN,LB,6-2,224,5/16/2000,24,R
Dallas Turner,MIN,LB,6-3,247,2/2/2003,21,R
Dalton Risner,MIN,OG,6-5,312,7/13/1995,28,6
Dan Feeney,MIN,OG,6-4,305,5/29/1994,30,8
David Quessenberry,MIN,OT,6-5,310,8/24/1990,33,7
DeWayne McBride,MIN,RB,5-11,209,7/8/2001,23,1
Doug Nester,MIN,OG,6-6,306,8/7/2000,23,R
Dwight McGlothern,MIN,CB,6-2,185,2/6/2002,22,R
Ed Ingram,MIN,OG,6-3,307,2/11/1999,25,3
Eric Rodriguez,MIN,DL,6-4,290,8/4/2000,23,R
Gabriel Murphy,MIN,LB,6-2,247,10/13/2000,23,R
Garrett Bradbury,MIN,C,6-3,300,6/20/1995,29,6
Harrison Phillips,MIN,DT,6-3,307,1/25/1996,28,7
Harrison Smith,MIN,FS,6-2,211,2/2/1989,35,13
Henry Byrd,MIN,OG,6-5,310,7/1/1999,25,1
Ivan Pace Jr.,MIN,LB,5-10,231,12/16/2000,23,2
J RomoJohn,MIN,K,5-11,175,8/24/1997,26,1
J.J. McCarthy,MIN,QB,6-3,219,1/20/2003,21,R
Jalen Nailor,MIN,WR,6-0,190,3/2/1999,25,3
Jalen Redmond,MIN,DL,6-3,292,3/12/1999,25,1
James Lynch,MIN,DT,6-4,295,1/20/1999,25,5
Jaquelin Roy,MIN,DT,6-3,305,10/22/2000,23,2
Jaren Hall,MIN,QB,6-0,207,3/24/1998,26,2
Jay Ward,MIN,SAF,6-1,188,7/13/2000,23,2
Jaylin Williams,MIN,DB,5-10,195,2/26/2000,24,1
Jeremy Flax,MIN,OT,6-5,343,8/25/1999,24,R
Jerry Tillery,MIN,DT,6-6,295,10/8/1996,27,6
Jeshaun Jones,MIN,WR,6-1,188,12/22/1999,24,R
Jihad Ward,MIN,LB,6-5,285,5/11/1994,30,9
Johnny Mundt,MIN,TE,6-4,233,11/23/1994,29,7
Jonah Williams,MIN,DE,6-5,275,8/17/1995,28,4
Jonathan Bullard,MIN,DE,6-3,290,10/22/1993,30,9
Jonathan Greenard,MIN,LB,6-3,259,5/25/1997,27,5
Jordan Addison,MIN,WR,5-11,175,1/27/2002,22,2
Josh Metellus,MIN,SAF,5-11,207,1/21/1998,26,5
Josh Oliver,MIN,TE,6-5,259,3/21/1997,27,6
Justin Jefferson,MIN,WR,6-1,195,6/16/1999,25,5
