Alex Austin,NE,DB,6-1,191,5/22/2001,23,2,AAustinNE
Anfernee Jennings,NE,LB,6-3,255,9/1/1997,26,5,AJenningsNE
Antonio Gibson,NE,RB,6-0,228,6/23/1998,26,5,AGibsonNE
Armon Watts,NE,DT,6-5,307,7/22/1996,27,6,AWattsNE
Atonio Mafi,NE,OG,6-3,329,10/20/2000,23,2,AMafiNE
Austin Hooper,NE,TE,6-4,254,10/29/1994,29,9,AHooperNE
Azizi Hearn,NE,DB,6-1,204,6/5/1999,25,1,AHearnNE
Bailey Zappe,NE,QB,6-1,215,4/26/1999,25,3,BZappeNE
Brenden Schooler,NE,DB,6-1,210,5/30/1997,27,3,BSchoolerNE
Bryce Baringer,NE,P,6-2,215,4/26/1999,25,2,BBaringerNE
Caedan Wallace,NE,OT,6-5,314,4/18/2000,24,R,CWallaceNE
Calvin Anderson,NE,OT,6-5,305,3/25/1996,28,6,CAndersonNE
Chad Ryland,NE,K,6-0,195,10/15/1999,24,2,CRylandNE
Charles Turner III,NE,OL,6-4,303,—,22,R,CTurnerNE
Christian Barmore,NE,DT,6-5,315,7/28/1999,24,4,CBarmoreNE
Christian Elliss,NE,LB,6-2,231,1/2/1999,25,3,CEllissNE
Christian Gonzalez,NE,CB,6-1,205,6/28/2002,22,2,CGonzalezNE
Chukwuma Okorafor,NE,OT,6-6,320,8/8/1997,26,7,COkoraforNE
Cole Strange,NE,OG,6-5,310,7/31/1998,25,3,CStrangeNE
Daniel Ekuale,NE,DT,6-3,310,1/13/1994,30,6,DEkualeNE
David Andrews,NE,C,6-3,300,7/10/1992,32,10,DAndrewsNE
David Wallis,NE,WR,5-11,183,—,22,R,DWallisNE
Davon Godchaux,NE,DT,6-3,330,11/11/1994,29,8,DGodchauxNE
DeMario Douglas,NE,WR,5-8,192,12/8/2000,23,2,DDouglasNE
Deatrich Wise Jr.,NE,DE,6-5,280,7/26/1994,29,8,DWiseNE
Dell Pettus,NE,SAF,5-11,200,6/2/2001,23,R,DPettusNE
Deshaun Fenwick,NE,RB,6-1,223,12/31/1999,24,R,DFenwickNE
Drake Maye,NE,QB,6-4,225,8/30/2002,21,R,DMayeNE
Hunter Henry,NE,TE,6-5,249,12/7/1994,29,9,HHenryNE
Isaiah Bolden,NE,CB,6-2,205,12/16/1999,24,2,IBoldenNE
Ja'Lynn Polk,NE,WR,6-1,203,4/11/2002,22,R,JPolkNE
Ja'Whaun Bentley,NE,LB,6-2,250,8/24/1996,27,7,JBentleyNE
JaMycal Hasty,NE,RB,5-8,205,9/12/1996,27,5,JHastyNE
JaQuae Jackson,NE,WR,6-2,190,1/30/2000,24,R,JJacksonNE
Jabrill Peppers,NE,FS,5-11,217,10/4/1995,28,8,JPeppersNE
Jacob Warren,NE,TE,6-6,251,4/13/2000,24,R,JWarrenNE
Jacoby Brissett,NE,QB,6-4,235,12/11/1992,31,9,JBrissettNE
Jaheim Bell,NE,TE,6-2,241,6/14/2001,23,R,JBellNE
Jahlani Tavai,NE,LB,6-2,255,9/28/1996,27,6,JTavaiNE
Jake Andrews,NE,C,6-3,308,11/11/1999,24,2,JAndrewsNE
Jalen Reagor,NE,WR,5-11,197,1/2/1999,25,5,JReagorNE
Javon Baker,NE,WR,6-1,202,2/18/2002,22,R,JBakerNE
Jaylinn Hawkins,NE,SAF,6-1,208,8/27/1997,26,5,JHawkinsNE
Jeremiah Pharms,NE,DE,6-3,300,10/16/1996,27,2,JPharmsNE
Joe Cardona,NE,LS,6-3,245,4/16/1992,32,10,JCardonaNE
Joe Giles-Harris,NE,LB,6-2,234,4/1/1997,27,2,JGiles-HarrisNE
Joe Milton III,NE,QB,6-5,246,3/6/2000,24,R,JMiltonNE
Joey Slye,NE,K,5-11,213,4/10/1996,28,6,JSlyeNE
John Morgan III,NE,DE,6-1,252,6/6/2000,24,R,JMorganNE
Jonathan Jones,NE,DB,5-10,185,9/20/1993,30,9,JJonesNE
Jontrey Hunter,NE,LB,6-2,234,6/1/2000,24,R,JHunterNE
Josh Uche,NE,LB,6-1,240,9/18/1998,25,5,JUcheNE
Joshuah Bledsoe,NE,SAF,5-11,207,12/30/1998,25,2,JBledsoeNE
Jotham Russell,NE,DE,6-4,239,—,22,R,JRussellNE
JuJu Smith-Schuster,NE,WR,6-1,215,11/22/1996,27,8,JSmith-SchusterNE
K.J. Osborn,NE,WR,6-0,200,6/10/1997,27,5,KOsbornNE
Kaleb Ford-Dement,NE,CB,5-11,178,—,22,R,KFord-DementNE
Kawaan Baker,NE,WR,6-1,210,8/24/1998,25,1,KBakerNE
Kayshon Boutte,NE,WR,5-11,197,5/7/2002,22,2,KBoutteNE
Keion White,NE,DE,6-5,285,1/20/1999,25,2,KWhiteNE
