A.T. Perry,NO,WR,6-5,205,10/26/1999,24,2,APerryNO
Adam Prentice,NO,RB,6-0,245,1/16/1997,27,4,APrenticeNO
Alontae Taylor,NO,CB,6-1,199,12/3/1998,25,3,ATaylorNO
Alvin Kamara,NO,RB,5-10,215,7/25/1995,28,8,AKamaraNO
Anfernee Orji,NO,LB,6-2,230,10/6/2000,23,1,AOrjiNO
Blake Grupe,NO,K,5-7,156,11/5/1998,25,2,BGrupeNO
Bryan Bresee,NO,DT,6-5,305,10/6/2001,22,2,BBreseeNO
Bub Means,NO,WR,6-2,215,1/10/2001,23,R,BMeansNO
Cameron Jordan,NO,DE,6-4,287,7/10/1989,35,14,CJordanNO
Carl Granderson,NO,DE,6-5,261,12/18/1996,27,6,CGrandersonNO
Cedrick Wilson Jr.,NO,WR,6-2,197,11/20/1995,28,7,CWilsonNO
Cesar Ruiz,NO,OG,6-4,316,6/14/1999,25,5,CRuizNO
Charlie Smyth,NO,K,6-4,210,6/26/2001,23,R,CSmythNO
Chase Young,NO,DE,6-5,264,4/14/1999,25,5,CYoungNO
Chris Olave,NO,WR,6-0,187,6/27/2000,24,3,COlaveNO
D'Marco Jackson,NO,LB,6-1,233,7/20/1998,25,3,DJacksonNO
Dallin Holker,NO,TE,6-3,241,4/7/2000,24,R,DHolkerNO
Demario Davis,NO,OLB,6-2,248,1/11/1989,35,13,DDavisNO
Derek Carr,NO,QB,6-3,215,3/28/1991,33,11,DCarrNO
Equanimeous St. Brown,NO,WR,6-5,214,9/30/1996,27,7,ESt.NO
Erik McCoy,NO,C,6-4,303,8/27/1997,26,6,EMcCoyNO
Foster Moreau,NO,TE,6-4,250,5/6/1997,27,6,FMoreauNO
Isaiah Foskey,NO,DE,6-5,270,10/30/2000,23,2,IFoskeyNO
Isaiah Stalbird,NO,LB,6-1,215,—,22,R,IStalbirdNO
J.T. Gray,NO,DB,6-0,202,1/18/1996,28,7,JGrayNO
Jack Heflin,NO,DT,6-3,304,3/8/1998,26,2,JHeflinNO
Jacob Kibodi,NO,RB,6-1,225,—,22,R,JKibodiNO
Jake Haener,NO,QB,6-1,200,3/10/1999,25,2,JHaenerNO
Jamaal Williams,NO,RB,6-0,224,4/3/1995,29,8,JWilliamsNO
James Robinson,NO,RB,5-9,219,8/9/1998,25,4,JRobinsonNO
Jaylan Ford,NO,LB,6-2,240,11/28/2001,22,R,JFordNO
Jermaine Jackson,NO,WR,5-7,170,—,22,R,JJacksonNO
Jesper Horsted,NO,TE,6-3,237,2/27/1997,27,5,JHorstedNO
Johnathan Abram,NO,DB,5-11,205,10/25/1996,27,6,JAbramNO
Jordan Howden,NO,SAF,6-0,210,5/14/2000,24,2,JHowdenNO
Jordan Mims,NO,RB,6-0,205,6/16/1999,25,1,JMimsNO
Josiah Ezirim,NO,OT,6-6,329,5/21/2001,23,R,JEzirimNO
Justin Herron,NO,OG,6-5,290,11/27/1995,28,5,JHerronNO
Juwan Johnson,NO,TE,6-4,231,9/13/1996,27,5,JJohnsonNO
Kendal Vickers,NO,DE,6-3,295,5/23/1995,29,4,KVickersNO
Kendre Miller,NO,RB,6-0,220,6/11/2002,22,2,KMillerNO
Khaleke Hudson,NO,LB,6-0,220,12/6/1997,26,5,KHudsonNO
Khalen Saunders,NO,DT,6-0,324,8/9/1996,27,6,KSaundersNO
Khristian Boyd,NO,DT,6-2,320,2/23/2000,24,R,KBoydNO
Kool-Aid McKinstry,NO,CB,6-1,195,9/30/2002,21,R,KMcKinstryNO
Kyle Hergel,NO,OG,6-2,315,—,22,R,KHergelNO
Kyler Baugh,NO,DL,6-2,305,—,22,R,KBaughNO
Landon Young,NO,OT,6-7,321,8/21/1997,26,4,LYoungNO
Lawrence Johnson,NO,DB,6-0,205,9/2/1999,24,R,LJohnsonNO
Lou Hedley,NO,P,6-4,220,6/26/1993,31,2,LHedleyNO
Lucas Patrick,NO,OG,6-3,313,7/30/1993,30,8,LPatrickNO
Mac McCain III,NO,CB,6-0,185,2/6/1998,26,2,MMcCainNO
Mark Evans II,NO,OL,6-4,295,10/11/1999,24,1,MEvansNO
Marshon Lattimore,NO,CB,6-0,192,5/20/1996,28,8,MLattimoreNO
Mason Tipton,NO,WR,5-11,187,—,22,R,MTiptonNO
Matthew Hayball,NO,P,6-0,189,—,22,R,MHayballNO
Michael Jacobson,NO,TE,6-7,244,4/4/1997,27,1,MJacobsonNO
Millard Bradford,NO,SAF,5-10,191,—,22,R,MBradfordNO
Monty Rice,NO,LB,6-0,233,1/8/1999,25,4,MRiceNO
Nathan Peterman,NO,QB,6-2,225,5/4/1994,30,8,NPetermanNO
Nathan Shepherd,NO,DE,6-4,315,10/9/1993,30,7,NShepherdNO
Nephi Sewell,NO,LB,6-0,228,12/19/1998,25,2,NSewellNO
Nick Saldiveri,NO,OG,6-6,316,8/14/2000,23,2,NSaldiveriNO
Niko Lalos,NO,DE,6-5,270,6/25/1997,27,2,NLalosNO
Nouredin Nouili,NO,OG,6-4,315,10/31/2000,23,R,NNouiliNO
Oli Udoh,NO,OT,6-6,320,2/14/1997,27,6,OUdohNO
Paulson Adebo,NO,CB,6-1,192,7/3/1999,25,4,PAdeboNO
Payton Turner,NO,DE,6-6,270,1/7/1999,25,4,PTurnerNO
Pete Werner,NO,LB,6-3,242,6/5/1999,25,4,PWernerNO
Rashid Shaheed,NO,WR,6-0,180,8/31/1998,25,3,RShaheedNO
Rejzohn Wright,NO,DB,6-2,193,9/4/2000,23,1,RWrightNO
Rico Payton,NO,CB,6-0,182,11/28/1999,24,R,RPaytonNO
Roderic Teamer,NO,SAF,6-0,205,5/12/1997,27,5,RTeamerNO
Ryan Ramczyk,NO,OT,6-6,314,4/22/1994,30,8,RRamczykNO
Shane Lemieux,NO,OG,6-4,310,5/12/1997,27,5,SLemieuxNO
Shemar Jean-Charles,NO,CB,5-10,184,6/20/1998,26,4,SJean-CharlesNO
Sincere Haynesworth,NO,C,6-1,310,4/13/2001,23,R,SHaynesworthNO
Spencer Rattler,NO,QB,6-0,211,9/28/2000,23,R,SRattlerNO
