Aaron Robinson,NYG,CB,6-1,195,11/10/1997,26,4,ARobinsonNYG
Aaron Stinnie,NYG,OG,6-3,312,2/18/1994,30,7,AStinnieNYG
Alex Johnson,NYG,DB,6-0,185,—,22,R,AJohnsonNYG
Allen Robinson,NYG,WR,6-2,210,8/24/1993,30,11,ARobinsonNYG
Andrew Thomas,NYG,OT,6-5,315,1/22/1999,25,5,AThomasNYG
Andru Phillips,NYG,DB,5-11,180,11/30/2001,22,R,APhillipsNYG
Austin Schlottmann,NYG,OG,6-6,300,9/18/1995,28,6,ASchlottmannNYG
Ayir Asante,NYG,WR,6-0,178,—,22,R,AAsanteNYG
Azeez Ojulari,NYG,LB,6-3,240,6/16/2000,24,4,AOjulariNYG
Benton Whitley,NYG,LB,6-4,260,2/12/1999,25,3,BWhitleyNYG
Bobby Okereke,NYG,ILB,6-1,235,7/29/1996,27,6,BOkerekeNYG
Boogie Basham Jr.,NYG,LB,6-3,274,12/16/1997,26,4,BBashamNYG
Brian Burns,NYG,LB,6-5,250,4/23/1998,26,6,BBurnsNYG
Bryce Ford-Wheaton,NYG,WR,6-3,220,3/9/2000,24,2,BFord-WheatonNYG
Carter Coughlin,NYG,LB,6-3,240,7/20/1997,26,5,CCoughlinNYG
Casey Kreiter,NYG,LS,6-1,250,8/13/1990,33,9,CKreiterNYG
Casey Rogers,NYG,DL,6-5,305,12/18/1998,25,R,CRogersNYG
Chris Manhertz,NYG,TE,6-6,235,4/10/1992,32,9,CManhertzNYG
Cordale Flott,NYG,CB,6-1,175,8/24/2001,22,3,CFlottNYG
D.J. Davidson,NYG,DT,6-5,320,9/19/1999,24,3,DDavidsonNYG
Dane Belton,NYG,SAF,6-1,190,12/7/2000,23,3,DBeltonNYG
Daniel Bellinger,NYG,TE,6-6,255,9/22/2000,23,3,DBellingerNYG
Daniel Jones,NYG,QB,6-5,230,5/27/1997,27,6,DJonesNYG
Dante Miller,NYG,RB,5-10,200,5/14/1999,25,R,DMillerNYG
Darius Muasau,NYG,LB,6-0,234,2/10/2001,23,R,DMuasauNYG
Darius Slayton,NYG,WR,6-1,198,1/12/1997,27,6,DSlaytonNYG
Darnay Holmes,NYG,CB,5-10,195,6/23/1998,26,5,DHolmesNYG
Darrian Beavers,NYG,LB,6-4,255,7/5/1999,25,2,DBeaversNYG
David Long,NYG,DB,5-11,196,2/6/1998,26,6,DLongNYG
Dennis Houston,NYG,WR,6-1,198,4/24/1999,25,1,DHoustonNYG
Deonte Banks,NYG,CB,6-2,200,4/3/2001,23,2,DBanksNYG
Devin Singletary,NYG,RB,5-7,203,9/3/1997,26,6,DSingletaryNYG
Dexter Lawrence,NYG,DT,6-4,340,11/12/1997,26,6,DLawrenceNYG
Drew Lock,NYG,QB,6-4,228,11/10/1996,27,6,DLockNYG
Dyontae Johnson,NYG,LB,6-2,230,9/28/2000,23,1,DJohnsonNYG
Elijah Chatman,NYG,DT,6-0,278,—,22,R,EChatmanNYG
Elijah Riley,NYG,DB,6-0,205,6/12/1998,26,4,ERileyNYG
Eric Gray,NYG,RB,5-10,210,11/4/1999,24,2,EGrayNYG
Evan Neal,NYG,OT,6-7,340,9/19/2000,23,3,ENealNYG
Gervarrius Owens,NYG,SAF,6-0,200,10/14/1999,24,2,GOwensNYG
Graham Gano,NYG,K,6-2,202,4/9/1987,37,15,GGanoNYG
Gunner Olszewski,NYG,WR,6-0,190,11/26/1996,27,6,GOlszewskiNYG
Isaiah Hodgins,NYG,WR,6-3,201,10/21/1998,25,4,IHodginsNYG
Isaiah McKenzie,NYG,WR,5-8,173,4/9/1995,29,8,IMcKenzieNYG
Isaiah Simmons,NYG,SAF,6-4,238,7/26/1998,25,5,ISimmonsNYG
J SchmitzJohn,NYG,C,6-4,320,4/19/1999,25,2,JSchmitzJohnNYG
Jack Stoll,NYG,TE,6-4,247,1/28/1998,26,4,JStollNYG
Jacob Saylors,NYG,RB,5-11,195,3/8/2000,24,1,JSaylorsNYG
Jake Kubas,NYG,OG,6-4,308,—,22,R,JKubasNYG
Jalen Mayfield,NYG,OT,6-5,320,5/23/2000,24,3,JMayfieldNYG
Jalen Mills,NYG,CB,6-0,191,4/6/1994,30,9,JMillsNYG
Jalin Hyatt,NYG,WR,6-0,185,9/25/2001,22,2,JHyattNYG
Jamie Gillan,NYG,P,6-1,207,7/4/1997,27,6,JGillanNYG
Jashaun Corbin,NYG,RB,6-0,221,8/20/2000,23,2,JCorbinNYG
Jason Pinnock,NYG,SS,6-0,200,6/30/1999,25,4,JPinnockNYG
Jermaine Eluemunor,NYG,OG,6-4,338,12/13/1994,29,8,JEluemunorNYG
Jimmy Morrissey,NYG,C,6-4,305,6/9/1998,26,3,JMorrisseyNYG
John Jiles,NYG,WR,6-3,205,7/8/2000,24,R,JJilesNYG
Jon Runyan,NYG,OG,6-4,307,8/8/1997,26,5,JRunyanNYG
Jordan Phillips,NYG,DT,6-6,330,9/21/1992,31,10,JPhillipsNYG
Jordon Riley,NYG,DT,6-5,315,5/19/1998,26,2,JRileyNYG
Joshua Ezeudu,NYG,OT,6-4,310,9/19/1999,24,3,JEzeuduNYG
Joshua Miles,NYG,OT,6-5,325,1/4/1996,28,4,JMilesNYG
Jude McAtamney,NYG,K,6-2,205,5/9/2000,24,R,JMcAtamneyNYG
Kaleb Hayes,NYG,DB,6-0,195,3/19/1999,25,1,KHayesNYG
Kayvon Thibodeaux,NYG,LB,6-5,258,12/15/2000,23,3,KThibodeauxNYG
Lawrence Cager,NYG,TE,6-5,220,8/20/1997,26,4,LCagerNYG
Malik Nabers,NYG,WR,6-0,200,7/28/2003,20,R,MNabersNYG
Marcellus Johnson,NYG,OT,6-4,307,—,22,R,MJohnsonNYG
Marcus McKethan,NYG,OG,6-7,335,5/19/2000,24,3,MMcKethanNYG
Matt Nelson,NYG,OT,6-8,295,12/19/1995,28,5,MNelsonNYG
Matthew Adams,NYG,OLB,6-0,229,12/12/1995,28,7,MAdamsNYG
Micah McFadden,NYG,LB,6-2,232,1/3/2000,24,3,MMcFaddenNYG
Miles Boykin,NYG,WR,6-4,220,10/12/1996,27,6,MBoykinNYG
Nathan Rourke,NYG,QB,6-1,210,5/24/1998,26,1,NRourkeNYG
Nick McCloud,NYG,CB,6-1,193,7/9/1998,26,4,NMcCloudNYG
Ovie Oghoufo,NYG,LB,6-4,250,3/27/2000,24,R,OOghoufoNYG
Rakeem Nunez-Roches,NYG,DT,6-2,305,7/3/1993,31,10,RNunez-RochesNYG
Ryder Anderson,NYG,DL,6-6,280,10/15/1998,25,2,RAndersonNYG
Stantley Thomas-Oliver,NYG,CB,6-0,190,6/4/1998,26,4,SThomas-OliverNYG
Theo Johnson,NYG,TE,6-6,264,2/26/2001,23,R,TJohnsonNYG
Timmy Horne,NYG,DT,6-4,323,10/25/1997,26,3,THorneNYG
Tommy DeVito,NYG,QB,6-2,210,8/7/1998,25,2,TDeVitoNYG
Tomon Fox,NYG,LB,6-2,245,3/16/1998,26,2,TFoxNYG
Tre Hawkins III,NYG,CB,6-3,195,8/1/2000,23,2,THawkinsNYG
Tre Herndon,NYG,CB,5-11,190,3/5/1996,28,7,THerndonNYG
Tyler Nubin,NYG,SAF,6-2,210,6/14/2001,23,R,TNubinNYG
Tyree Jackson,NYG,TE,6-7,249,11/7/1997,26,3,TJacksonNYG
Tyrone Tracy Jr.,NYG,RB,5-11,210,11/23/1999,24,R,TTracyNYG
Wan'Dale Robinson,NYG,WR,5-8,185,1/5/2001,23,3,WRobinsonNYG
Yodny Cajuste,NYG,OT,6-5,310,2/21/1996,28,4,YCajusteNYG
