Aaron Rodgers,NYJ,QB,6-2,223,12/2/1983,40,20,ARodgersNYJ
Al Blades Jr.,NYJ,SAF,6-1,195,10/24/1999,24,R,ABladesNYJ
Allen Lazard,NYJ,WR,6-5,227,12/11/1995,28,6,ALazardNYJ
Andrew Peasley,NYJ,QB,6-2,218,1/6/2000,24,R,APeasleyNYJ
Ashtyn Davis,NYJ,SAF,6-1,202,10/10/1996,27,5,ADavisNYJ
Austin Deculus,NYJ,OT,6-5,321,3/12/1999,25,3,ADeculusNYJ
Austin Seibert,NYJ,K,5-9,200,11/15/1996,27,4,ASeibertNYJ
Brady Latham,NYJ,OG,6-5,312,9/30/2000,23,R,BLathamNYJ
Braelon Allen,NYJ,RB,6-1,235,1/20/2004,20,R,BAllenNYJ
Braiden McGregor,NYJ,DE,6-6,267,7/12/2001,23,R,BMcGregorNYJ
Brandin Echols,NYJ,CB,5-10,179,10/16/1997,26,4,BEcholsNYJ
Brandon Codrington,NYJ,DB,5-9,185,—,22,R,BCodringtonNYJ
Breece Hall,NYJ,RB,5-11,217,5/31/2001,23,3,BHallNYJ
Bruce Hector,NYJ,DT,6-2,296,10/7/1994,29,3,BHectorNYJ
C.J. Mosley,NYJ,ILB,6-2,231,6/19/1992,32,10,CMosleyNYJ
Carter Warren,NYJ,OT,6-5,311,1/19/1999,25,2,CWarrenNYJ
Chazz Surratt,NYJ,LB,6-2,233,2/16/1997,27,3,CSurrattNYJ
Chris Glaser,NYJ,OG,6-4,306,10/1/1999,24,2,CGlaserNYJ
Chuck Clark,NYJ,DB,6-0,209,4/19/1995,29,8,CClarkNYJ
D.J. Reed,NYJ,CB,5-9,188,11/11/1996,27,7,DReedNYJ
Eric Watts,NYJ,DE,6-5,277,10/1/2000,23,R,EWattsNYJ
Garrett Wilson,NYJ,WR,6-0,183,7/22/2000,23,3,GWilsonNYJ
Greg Zuerlein,NYJ,K,6-0,195,12/27/1987,36,13,GZuerleinNYJ
Haason Reddick,NYJ,OLB,6-1,240,9/22/1994,29,8,HReddickNYJ
Hamze El-Zayat,NYJ,WR,5-8,162,—,22,R,HEl-ZayatNYJ
Irvin Charles,NYJ,WR,6-4,219,4/13/1997,27,2,ICharlesNYJ
Isaiah Davis,NYJ,RB,6-1,220,2/21/2002,22,R,IDavisNYJ
Isaiah Oliver,NYJ,CB,6-0,202,9/30/1996,27,7,IOliverNYJ
Israel Abanikanda,NYJ,RB,5-10,216,10/5/2002,21,2,IAbanikandaNYJ
Jackson Sirmon,NYJ,LB,6-2,240,4/15/2000,24,R,JSirmonNYJ
Jake Hanson,NYJ,C,6-4,303,4/29/1997,27,4,JHansonNYJ
Jalyn Holmes,NYJ,DT,6-5,283,1/25/1996,28,5,JHolmesNYJ
Jamien Sherwood,NYJ,LB,6-2,216,1/12/2000,24,4,JSherwoodNYJ
Jarius Monroe,NYJ,DB,6-2,205,10/6/2000,23,R,JMonroeNYJ
Jarrick Bernard-Converse,NYJ,SAF,6-1,205,4/29/2000,24,2,JBernard-ConverseNYJ
Jason Brownlee,NYJ,WR,6-3,202,1/30/1999,25,2,JBrownleeNYJ
Javon Kinlaw,NYJ,DT,6-5,319,10/3/1997,26,5,JKinlawNYJ
Jaylen Key,NYJ,SAF,6-2,210,2/29/2000,24,R,JKeyNYJ
Jeremy Ruckert,NYJ,TE,6-5,250,8/11/2000,23,3,JRuckertNYJ
Jermaine Johnson II,NYJ,LB,6-5,254,1/8/1999,25,3,JJohnsonNYJ
Jimmy Ciarlo,NYJ,LB,6-2,225,—,22,R,JCiarloNYJ
Joe Tippmann,NYJ,C,6-6,313,3/24/2001,23,2,JTippmannNYJ
John Simpson,NYJ,OG,6-4,330,8/19/1997,26,5,JSimpsonNYJ
