Jacoby Brissett,QB,6-4,235,12/11/1992 (31),9
Drake Maye,QB,6-4,225,8/30/2002 (21),R
Joe Milton III,QB,6-5,246,3/6/2000 (24),R
Bailey Zappe,QB,6-1,215,4/26/1999 (25),3
Deshaun Fenwick,RB,6-1,223,12/31/1999 (24),R
Antonio Gibson,RB,6-0,228,6/23/1998 (26),5
Kevin Harris,RB,5-10,225,11/17/2000 (23),2
JaMycal Hasty,RB,5-8,205,9/12/1996 (27),5
Terrell Jennings,RB,6-0,217,—,R
Rhamondre Stevenson,RB,6-0,227,2/23/1998 (26),4
Javon Baker,WR,6-1,202,2/18/2002 (22),R
Kawaan Baker,WR,6-1,210,8/24/1998 (25),1
Kendrick Bourne,WR,6-1,205,8/4/1995 (28),8
Kayshon Boutte,WR,5-11,197,5/7/2002 (22),2
DeMario Douglas,WR,5-8,192,12/8/2000 (23),2
JaQuae Jackson,WR,6-2,190,1/30/2000 (24),R
K.J. Osborn,WR,6-0,200,6/10/1997 (27),5
Ja'Lynn Polk,WR,6-1,203,4/11/2002 (22),R
Jalen Reagor,WR,5-11,197,1/2/1999 (25),5
JuJu Smith-Schuster,WR,6-1,215,11/22/1996 (27),8
Tyquan Thornton,WR,6-2,185,8/7/2000 (23),3
David Wallis,WR,5-11,183,—,R
Jaheim Bell,TE,6-2,241,6/14/2001 (23),R
Hunter Henry,TE,6-5,249,12/7/1994 (29),9
Austin Hooper,TE,6-4,254,10/29/1994 (29),9
La'Michael Pettway,TE,6-3,250,3/20/1997 (27),1
Jacob Warren,TE,6-6,251,4/13/2000 (24),R
Mitchell Wilcox,TE,6-4,250,11/7/1996 (27),5
David Andrews,C,6-3,300,7/10/1992 (32),10
Jake Andrews,C,6-3,308,11/11/1999 (24),2
Calvin Anderson,OT,6-5,305,3/25/1996 (28),6
Zuri Henry,OT,6-6,310,—,R
Vederian Lowe,OT,6-5,315,4/17/1999 (25),3
Chukwuma Okorafor,OT,6-6,320,8/8/1997 (26),7
Caedan Wallace,OT,6-5,314,4/18/2000 (24),R
Tyrone Wheatley Jr.,OT,6-6,320,2/4/1997 (27),2
Liam Fornadel,OL,6-5,311,—,1
Charles Turner III,OL,6-4,303,—,R
Mike Jordan,OG,6-6,315,1/25/1998 (26),5
Nick Leverett,OG,6-4,310,1/11/1997 (27),4
Atonio Mafi,OG,6-3,329,10/20/2000 (23),2
Mike Onwenu,OG,6-3,350,12/10/1997 (26),5
Layden Robinson,OG,6-3,311,5/3/2001 (23),R
Sidy Sow,OG,6-5,318,6/10/1998 (26),2
Cole Strange,OG,6-5,310,7/31/1998 (25),3
William Bradley-King,DE,6-4,265,12/22/1997 (26),1
John Morgan III,DE,6-1,252,6/6/2000 (24),R
Jeremiah Pharms,DE,6-3,300,10/16/1996 (27),2
Jotham Russell,DE,6-4,239,—,R
Keion White,DE,6-5,285,1/20/1999 (25),2
Deatrich Wise Jr.,DE,6-5,280,7/26/1994 (29),8
Christian Barmore,DT,6-5,315,7/28/1999 (24),4
Daniel Ekuale,DT,6-3,310,1/13/1994 (30),6
Davon Godchaux,DT,6-3,330,11/11/1994 (29),8
Trysten Hill,DT,6-3,310,3/25/1998 (26),5
Sam Roberts,DT,6-5,300,4/14/1998 (26),3
Armon Watts,DT,6-5,307,7/22/1996 (27),6
Matthew Judon,OLB,6-3,270,8/15/1992 (31),9
Raekwon McMillan,MLB,6-2,250,11/17/1995 (28),7
Ja'Whaun Bentley,LB,6-2,250,8/24/1996 (27),7
Steele Chambers,LB,6-1,232,7/24/2000 (23),R
Christian Elliss,LB,6-2,231,1/2/1999 (25),3
Joe Giles-Harris,LB,6-2,234,4/1/1997 (27),2
Jontrey Hunter,LB,6-2,234,6/1/2000 (24),R
Anfernee Jennings,LB,6-3,255,9/1/1997 (26),5
Sione Takitaki,LB,6-1,245,6/8/1995 (29),6
Jahlani Tavai,LB,6-2,255,9/28/1996 (27),6
Josh Uche,LB,6-1,240,9/18/1998 (25),5
Oshane Ximines,LB,6-4,254,12/7/1996 (27),5
Isaiah Bolden,CB,6-2,205,12/16/1999 (24),2
Kaleb Ford-Dement,CB,5-11,178,—,R
Christian Gonzalez,CB,6-1,205,6/28/2002 (22),2
Marcus Jones,CB,5-8,188,10/22/1998 (25),3
Mikey Victor,CB,6-2,205,—,R
Shaun Wade,CB,6-1,195,9/16/1998 (25),4
Marco Wilson,CB,6-0,191,3/3/1999 (25),4
Alex Austin,DB,6-1,191,5/22/2001 (23),2
Marcellas Dial,DB,6-0,190,12/6/2000 (23),R
Azizi Hearn,DB,6-1,204,6/5/1999 (25),1
Jonathan Jones,DB,5-10,185,9/20/1993 (30),9
Brenden Schooler,DB,6-1,210,5/30/1997 (27),3
Joshuah Bledsoe,SAF,5-11,207,12/30/1998 (25),2
Kyle Dugger,SAF,6-1,216,3/22/1996 (28),5
Jaylinn Hawkins,SAF,6-1,208,8/27/1997 (26),5
Marte Mapu,SAF,6-3,230,11/8/1999 (24),2
Dell Pettus,SAF,5-11,200,6/2/2001 (23),R
Jabrill Peppers,FS,5-11,217,10/4/1995 (28),8
Chad Ryland,K,6-0,195,10/15/1999 (24),2
Joey Slye,K,5-11,213,4/10/1996 (28),6
Bryce Baringer,P,6-2,215,4/26/1999 (25),2
Joe Cardona,LS,6-3,245,4/16/1992 (32),10
