A.T. Perry,WR,6-5,205,10/26/1999 (24),2
Adam Prentice,RB,6-0,245,1/16/1997 (27),4
Alontae Taylor,CB,6-1,199,12/3/1998 (25),3
Alvin Kamara,RB,5-10,215,7/25/1995 (28),8
Anfernee Orji,LB,6-2,230,10/6/2000 (23),1
Blake Grupe,K,5-7,156,11/5/1998 (25),2
Bryan Bresee,DT,6-5,305,10/6/2001 (22),2
Bub Means,WR,6-2,215,1/10/2001 (23),R
Cameron Jordan,DE,6-4,287,7/10/1989 (35),14
Carl Granderson,DE,6-5,261,12/18/1996 (27),6
Cedrick Wilson Jr.,WR,6-2,197,11/20/1995 (28),7
Cesar Ruiz,OG,6-4,316,6/14/1999 (25),5
Charlie Smyth,K,6-4,210,6/26/2001 (23),R
Chase Young,DE,6-5,264,4/14/1999 (25),5
Chris Olave,WR,6-0,187,6/27/2000 (24),3
D'Marco Jackson,LB,6-1,233,7/20/1998 (25),3
Dallin Holker,TE,6-3,241,4/7/2000 (24),R
Demario Davis,OLB,6-2,248,1/11/1989 (35),13
Derek Carr,QB,6-3,215,3/28/1991 (33),11
Equanimeous St. Brown,WR,6-5,214,9/30/1996 (27),7
Erik McCoy,C,6-4,303,8/27/1997 (26),6
Foster Moreau,TE,6-4,250,5/6/1997 (27),6
Isaiah Foskey,DE,6-5,270,10/30/2000 (23),2
Isaiah Stalbird,LB,6-1,215,—,R
J.T. Gray,DB,6-0,202,1/18/1996 (28),7
Jack Heflin,DT,6-3,304,3/8/1998 (26),2
Jacob Kibodi,RB,6-1,225,—,R
Jake Haener,QB,6-1,200,3/10/1999 (25),2
Jamaal Williams,RB,6-0,224,4/3/1995 (29),8
James Robinson,RB,5-9,219,8/9/1998 (25),4
Jaylan Ford,LB,6-2,240,11/28/2001 (22),R
Jermaine Jackson,WR,5-7,170,—,R
Jesper Horsted,TE,6-3,237,2/27/1997 (27),5
Johnathan Abram,DB,5-11,205,10/25/1996 (27),6
Jordan Howden,SAF,6-0,210,5/14/2000 (24),2
Jordan Mims,RB,6-0,205,6/16/1999 (25),1
Josiah Ezirim,OT,6-6,329,5/21/2001 (23),R
Justin Herron,OG,6-5,290,11/27/1995 (28),5
Juwan Johnson,TE,6-4,231,9/13/1996 (27),5
Kendal Vickers,DE,6-3,295,5/23/1995 (29),4
Kendre Miller,RB,6-0,220,6/11/2002 (22),2
Khaleke Hudson,LB,6-0,220,12/6/1997 (26),5
Khalen Saunders,DT,6-0,324,8/9/1996 (27),6
Khristian Boyd,DT,6-2,320,2/23/2000 (24),R
Kool-Aid McKinstry,CB,6-1,195,9/30/2002 (21),R
Kyle Hergel,OG,6-2,315,—,R
Kyler Baugh,DL,6-2,305,—,R
Landon Young,OT,6-7,321,8/21/1997 (26),4
Lawrence Johnson,DB,6-0,205,9/2/1999 (24),R
Lou Hedley,P,6-4,220,6/26/1993 (31),2
Lucas Patrick,OG,6-3,313,7/30/1993 (30),8
Mac McCain III,CB,6-0,185,2/6/1998 (26),2
Mark Evans II,OL,6-4,295,10/11/1999 (24),1
Marshon Lattimore,CB,6-0,192,5/20/1996 (28),8
Mason Tipton,WR,5-11,187,—,R
Matthew Hayball,P,6-0,189,—,R
Michael Jacobson,TE,6-7,244,4/4/1997 (27),1
Millard Bradford,SAF,5-10,191,—,R
Monty Rice,LB,6-0,233,1/8/1999 (25),4
Nathan Peterman,QB,6-2,225,5/4/1994 (30),8
Nathan Shepherd,DE,6-4,315,10/9/1993 (30),7
Nephi Sewell,LB,6-0,228,12/19/1998 (25),2
Nick Saldiveri,OG,6-6,316,8/14/2000 (23),2
Niko Lalos,DE,6-5,270,6/25/1997 (27),2
Nouredin Nouili,OG,6-4,315,10/31/2000 (23),R
Oli Udoh,OT,6-6,320,2/14/1997 (27),6
Paulson Adebo,CB,6-1,192,7/3/1999 (25),4
Payton Turner,DE,6-6,270,1/7/1999 (25),4
Pete Werner,LB,6-3,242,6/5/1999 (25),4
Rashid Shaheed,WR,6-0,180,8/31/1998 (25),3
Rejzohn Wright,DB,6-2,193,9/4/2000 (23),1
Rico Payton,CB,6-0,182,11/28/1999 (24),R
Roderic Teamer,SAF,6-0,205,5/12/1997 (27),5
Ryan Ramczyk,OT,6-6,314,4/22/1994 (30),8
Shane Lemieux,OG,6-4,310,5/12/1997 (27),5
Shemar Jean-Charles,CB,5-10,184,6/20/1998 (26),4
Sincere Haynesworth,C,6-1,310,4/13/2001 (23),R
Spencer Rattler,QB,6-0,211,9/28/2000 (23),R
Stanley Morgan,WR,6-0,205,9/7/1996 (27),5
Taliese Fuaga,OT,6-6,324,4/5/2002 (22),R
Tanoh Kpassagnon,DE,6-7,289,6/14/1994 (30),8
Taysom Hill,QB,6-2,221,8/23/1990 (33),8
Tommy Hudson,TE,6-5,255,2/22/1997 (27),2
Trajan Jeffcoat,DE,6-4,266,10/7/1999 (24),R
Trevor Penning,OT,6-7,325,5/15/1999 (25),3
Tyrann Mathieu,FS,5-9,190,5/13/1992 (32),12
Ugo Amadi,SAF,5-9,201,5/16/1997 (27),6
Will Harris,DB,6-1,207,12/19/1995 (28),6
Willie Gay Jr.,LB,6-1,243,2/15/1998 (26),5
Zach Wood,LS,6-3,255,1/10/1993 (31),8
Zander Horvath,RB,6-3,230,12/10/1998 (25),2
