Aaron Robinson,NYG,CB,6-1,195,11/10/1997 (26),(26),4
Aaron Stinnie,NYG,OG,6-3,312,2/18/1994 (30),(30),7
Alex Johnson,NYG,DB,6-0,185,—,,R
Allen Robinson,NYG,WR,6-2,210,8/24/1993 (30),(30),11
Andrew Thomas,NYG,OT,6-5,315,1/22/1999 (25),(25),5
Andru Phillips,NYG,DB,5-11,180,11/30/2001 (22),(22),R
Austin Schlottmann,NYG,OG,6-6,300,9/18/1995 (28),(28),6
Ayir Asante,NYG,WR,6-0,178,—,,R
Azeez Ojulari,NYG,LB,6-3,240,6/16/2000 (24),(24),4
Benton Whitley,NYG,LB,6-4,260,2/12/1999 (25),(25),3
Bobby Okereke,NYG,ILB,6-1,235,7/29/1996 (27),(27),6
Boogie Basham Jr.,NYG,LB,6-3,274,12/16/1997 (26),(26),4
Brian Burns,NYG,LB,6-5,250,4/23/1998 (26),(26),6
Bryce Ford-Wheaton,NYG,WR,6-3,220,3/9/2000 (24),(24),2
Carter Coughlin,NYG,LB,6-3,240,7/20/1997 (26),(26),5
Casey Kreiter,NYG,LS,6-1,250,8/13/1990 (33),(33),9
Casey Rogers,NYG,DL,6-5,305,12/18/1998 (25),(25),R
Chris Manhertz,NYG,TE,6-6,235,4/10/1992 (32),(32),9
Cordale Flott,NYG,CB,6-1,175,8/24/2001 (22),(22),3
D.J. Davidson,NYG,DT,6-5,320,9/19/1999 (24),(24),3
Dane Belton,NYG,SAF,6-1,190,12/7/2000 (23),(23),3
Daniel Bellinger,NYG,TE,6-6,255,9/22/2000 (23),(23),3
Daniel Jones,NYG,QB,6-5,230,5/27/1997 (27),(27),6
Dante Miller,NYG,RB,5-10,200,5/14/1999 (25),(25),R
Darius Muasau,NYG,LB,6-0,234,2/10/2001 (23),(23),R
Darius Slayton,NYG,WR,6-1,198,1/12/1997 (27),(27),6
Darnay Holmes,NYG,CB,5-10,195,6/23/1998 (26),(26),5
Darrian Beavers,NYG,LB,6-4,255,7/5/1999 (25),(25),2
David Long,NYG,DB,5-11,196,2/6/1998 (26),(26),6
Dennis Houston,NYG,WR,6-1,198,4/24/1999 (25),(25),1
Deonte Banks,NYG,CB,6-2,200,4/3/2001 (23),(23),2
Devin Singletary,NYG,RB,5-7,203,9/3/1997 (26),(26),6
Dexter Lawrence,NYG,DT,6-4,340,11/12/1997 (26),(26),6
Drew Lock,NYG,QB,6-4,228,11/10/1996 (27),(27),6
Dyontae Johnson,NYG,LB,6-2,230,9/28/2000 (23),(23),1
Elijah Chatman,NYG,DT,6-0,278,—,,R
Elijah Riley,NYG,DB,6-0,205,6/12/1998 (26),(26),4
Eric Gray,NYG,RB,5-10,210,11/4/1999 (24),(24),2
Evan Neal,NYG,OT,6-7,340,9/19/2000 (23),(23),3
Gervarrius Owens,NYG,SAF,6-0,200,10/14/1999 (24),(24),2
Graham Gano,NYG,K,6-2,202,4/9/1987 (37),(37),15
Gunner Olszewski,NYG,WR,6-0,190,11/26/1996 (27),(27),6
Isaiah Hodgins,NYG,WR,6-3,201,10/21/1998 (25),(25),4
Isaiah McKenzie,NYG,WR,5-8,173,4/9/1995 (29),(29),8
Isaiah Simmons,NYG,SAF,6-4,238,7/26/1998 (25),(25),5
J SchmitzJohn,NYG,C,6-4,320,4/19/1999 (25),(25),2
Jack Stoll,NYG,TE,6-4,247,1/28/1998 (26),(26),4
Jacob Saylors,NYG,RB,5-11,195,3/8/2000 (24),(24),1
Jake Kubas,NYG,OG,6-4,308,—,,R
Jalen Mayfield,NYG,OT,6-5,320,5/23/2000 (24),(24),3
Jalen Mills,NYG,CB,6-0,191,4/6/1994 (30),(30),9
Jalin Hyatt,NYG,WR,6-0,185,9/25/2001 (22),(22),2
Jamie Gillan,NYG,P,6-1,207,7/4/1997 (27),(27),6
Jashaun Corbin,NYG,RB,6-0,221,8/20/2000 (23),(23),2
Jason Pinnock,NYG,SS,6-0,200,6/30/1999 (25),(25),4
Jermaine Eluemunor,NYG,OG,6-4,338,12/13/1994 (29),(29),8
Jimmy Morrissey,NYG,C,6-4,305,6/9/1998 (26),(26),3
John Jiles,NYG,WR,6-3,205,7/8/2000 (24),(24),R
Jon Runyan,NYG,OG,6-4,307,8/8/1997 (26),(26),5
Jordan Phillips,NYG,DT,6-6,330,9/21/1992 (31),(31),10
Jordon Riley,NYG,DT,6-5,315,5/19/1998 (26),(26),2
Joshua Ezeudu,NYG,OT,6-4,310,9/19/1999 (24),(24),3
Joshua Miles,NYG,OT,6-5,325,1/4/1996 (28),(28),4
Jude McAtamney,NYG,K,6-2,205,5/9/2000 (24),(24),R
Kaleb Hayes,NYG,DB,6-0,195,3/19/1999 (25),(25),1
Kayvon Thibodeaux,NYG,LB,6-5,258,12/15/2000 (23),(23),3
Lawrence Cager,NYG,TE,6-5,220,8/20/1997 (26),(26),4
Malik Nabers,NYG,WR,6-0,200,7/28/2003 (20),(20),R
Marcellus Johnson,NYG,OT,6-4,307,—,,R
Marcus McKethan,NYG,OG,6-7,335,5/19/2000 (24),(24),3
Matt Nelson,NYG,OT,6-8,295,12/19/1995 (28),(28),5
Matthew Adams,NYG,OLB,6-0,229,12/12/1995 (28),(28),7
Micah McFadden,NYG,LB,6-2,232,1/3/2000 (24),(24),3
Miles Boykin,NYG,WR,6-4,220,10/12/1996 (27),(27),6
Nathan Rourke,NYG,QB,6-1,210,5/24/1998 (26),(26),1
Nick McCloud,NYG,CB,6-1,193,7/9/1998 (26),(26),4
Ovie Oghoufo,NYG,LB,6-4,250,3/27/2000 (24),(24),R
Rakeem Nunez-Roches,NYG,DT,6-2,305,7/3/1993 (31),(31),10
Ryder Anderson,NYG,DL,6-6,280,10/15/1998 (25),(25),2
Stantley Thomas-Oliver,NYG,CB,6-0,190,6/4/1998 (26),(26),4
Theo Johnson,NYG,TE,6-6,264,2/26/2001 (23),(23),R
Timmy Horne,NYG,DT,6-4,323,10/25/1997 (26),(26),3
Tommy DeVito,NYG,QB,6-2,210,8/7/1998 (25),(25),2
Tomon Fox,NYG,LB,6-2,245,3/16/1998 (26),(26),2
Tre Hawkins III,NYG,CB,6-3,195,8/1/2000 (23),(23),2
Tre Herndon,NYG,CB,5-11,190,3/5/1996 (28),(28),7
Tyler Nubin,NYG,SAF,6-2,210,6/14/2001 (23),(23),R
Tyree Jackson,NYG,TE,6-7,249,11/7/1997 (26),(26),3
Tyrone Tracy Jr.,NYG,RB,5-11,210,11/23/1999 (24),(24),R
Wan'Dale Robinson,NYG,WR,5-8,185,1/5/2001 (23),(23),3
Yodny Cajuste,NYG,OT,6-5,310,2/21/1996 (28),(28),4
