A.J. Brown,PHI,WR,6-1,226,6/30/1997,27,6
Ainias Smith,PHI,WR,5-9,176,5/31/2001,23,R
Albert Okwuegbunam,PHI,TE,6-5,258,4/25/1998,26,5
Andre' Sam,PHI,SAF,5-10,194,—,22,R
Anim Dankwah,PHI,OL,6-7,330,—,22,R
Austin Watkins Jr.,PHI,WR,6-3,210,2/16/1998,26,1
Avonte Maddox,PHI,CB,5-9,184,3/31/1996,28,7
Ben VanSumeren,PHI,LB,6-2,231,5/5/2000,24,2
Braden Mann,PHI,P,5-11,198,11/24/1997,26,5
Brandon Graham,PHI,DE,6-2,265,4/3/1988,36,15
Brandon Smith,PHI,LB,6-3,241,4/12/2001,23,2
Brett Toth,PHI,OL,6-6,304,9/1/1996,27,6
Britain Covey,PHI,WR,5-8,173,3/18/1997,27,3
Bryce Huff,PHI,DE,6-3,255,4/17/1998,26,5
C.J. Uzomah,PHI,TE,6-6,271,1/14/1993,31,10
Cam Jurgens,PHI,OG,6-3,303,8/21/1999,24,3
Chauncey Gardner-Johnson,PHI,SAF,5-11,210,12/20/1997,26,5
Cooper DeJean,PHI,CB,6-0,198,2/9/2003,21,R
Dallas Goedert,PHI,TE,6-5,256,1/3/1995,29,7
Darian Kinnard,PHI,OG,6-5,322,12/29/1999,24,2
Darius Slay,PHI,CB,6-0,190,1/1/1991,33,12
DeVonta Smith,PHI,WR,6-0,170,11/14/1998,25,4
Devin White,PHI,LB,6-0,237,2/17/1998,26,6
Dylan McMahon,PHI,C,6-3,298,1/22/2001,23,R
E.J. Jenkins,PHI,TE,6-6,245,11/3/1998,25,1
Eli Ricks,PHI,CB,6-2,188,9/26/2001,22,2
Fred Johnson,PHI,OT,6-7,326,6/5/1997,27,6
Gabe Hall,PHI,DT,6-6,295,1/12/2001,23,R
Gottlieb Ayedze,PHI,OG,6-5,309,—,22,R
Grant Calcaterra,PHI,TE,6-4,240,12/4/1998,25,3
Isaiah Rodgers,PHI,CB,5-10,170,1/7/1998,26,4
Jacob Harris,PHI,WR,6-5,211,4/16/1997,27,3
Jake Elliott,PHI,K,5-9,167,1/21/1995,29,8
Jalen Carter,PHI,DT,6-3,314,4/4/2001,23,2
Jalen Hurts,PHI,QB,6-1,223,8/7/1998,25,5
Jalyx Hunt,PHI,LB,6-3,252,3/13/2001,23,R
James Bradberry,PHI,CB,6-1,210,8/4/1993,30,9
Jason Poe,PHI,OG,6-1,300,7/27/1998,25,1
Jeremiah Trotter Jr.,PHI,LB,6-0,225,12/24/2002,21,R
John Ross,PHI,WR,5-11,190,11/27/1995,28,6
Johnny Wilson,PHI,WR,6-6,228,4/3/2001,23,R
Jordan Davis,PHI,DT,6-6,336,1/12/2000,24,3
Jordan Mailata,PHI,OT,6-8,365,3/31/1997,27,7
Joseph Ngata,PHI,WR,6-3,217,1/9/2001,23,1
Josh Jobe,PHI,CB,5-11,190,4/9/1998,26,3
