Aaron Shampklin,RB,5-10,195,10/18/1999 (24),1
Alex Highsmith,LB,6-4,242,8/7/1997 (26),5
Anderson Hardy,C,6-6,301,2/3/2000 (24),1
Anthony Averett,CB,5-11,184,11/30/1994 (29),6
Beanie Bishop Jr.,CB,5-9,182,12/17/1999 (24),R
Breiden Fehoko,DT,6-3,300,10/15/1996 (27),4
Broderick Jones,OT,6-5,311,5/16/2001 (23),2
Calvin Austin III,WR,5-9,162,3/24/1999 (25),3
Cameron Heyward,DT,6-5,295,5/6/1989 (35),14
Cameron Johnston,P,5-11,194,2/24/1992 (32),7
Chris Boswell,K,6-2,185,3/16/1991 (33),10
Christian Kuntz,LS,6-1,227,4/13/1994 (30),4
Cole Holcomb,LB,6-1,240,7/30/1996 (27),6
Connor Heyward,TE,6-0,230,1/22/1999 (25),3
Cordarrelle Patterson,RB,6-2,220,3/17/1991 (33),12
Cory Trice,CB,6-3,206,5/30/2000 (24),2
Daijun Edwards,RB,5-10,201,4/11/2001 (23),R
Damontae Kazee,SS,5-11,174,6/5/1993 (31),8
Dan Moore Jr.,OT,6-5,315,9/28/1998 (25),4
Darius Rush,CB,6-2,198,2/22/2000 (24),2
Darnell Washington,TE,6-7,265,8/17/2001 (22),2
David Perales,LB,6-3,255,4/9/1999 (25),1
DeMarvin Leal,DE,6-4,290,7/1/2000 (24),3
DeShon Elliott,DB,6-1,210,4/21/1997 (27),7
Dean Lowry,DE,6-6,296,6/9/1994 (30),9
Devery Hamilton,OT,6-6,311,4/19/1998 (26),1
Dez Fitzpatrick,WR,6-2,208,12/17/1997 (26),2
Donte Jackson,CB,5-10,180,11/8/1995 (28),6
Duece Watts,WR,6-1,196,12/23/1999 (24),1
Dylan Cook,OT,6-6,305,1/11/1998 (26),2
Elandon Roberts,OLB,6-1,238,4/22/1994 (30),9
George Pickens,WR,6-3,200,3/4/2001 (23),3
Grayland Arnold,SAF,5-10,187,9/4/1997 (26),5
Isaac Seumalo,OG,6-4,303,10/29/1993 (30),9
Isaiahh Loudermilk,DE,6-7,293,10/10/1997 (26),4
J PlumleeJohn,QB,6-0,200,1/2/2001 (23),R
Jack Colletto,FB,6-3,237,11/19/1998 (25),1
Jacob Copeland,WR,6-0,202,7/20/1999 (24),1
Jacob Slade,DT,6-4,305,2/23/2000 (24),1
Jacoby Windmon,LB,6-2,250,8/20/2001 (22),R
Jalen Elliott,SAF,6-0,205,7/7/1998 (26),2
James Daniels,OG,6-4,327,9/13/1997 (26),7
Jaray Jenkins,WR,6-2,200,1/4/2000 (24),1
Jaylen Warren,RB,5-8,215,11/1/1998 (25),3
Jeremiah Moon,LB,6-5,247,8/18/1998 (25),2
Joey Fisher,OT,6-4,296,11/11/1997 (26),1
Joey Porter Jr.,CB,6-2,194,7/26/2000 (23),2
Jonathan Marshall,DT,6-3,310,9/16/1997 (26),2
Jonathan Ward,RB,6-0,202,9/30/1997 (26),5
Josiah Scott,CB,5-9,185,4/5/1999 (25),4
Julius Welschof,LB,6-6,265,3/12/1997 (27),R
Justin Fields,QB,6-3,227,3/5/1999 (25),4
Kalon Barnes,CB,6-0,186,12/16/1998 (25),1
Keeanu Benton,DT,6-4,309,7/17/2001 (22),2
Kyle Allen,QB,6-3,210,3/8/1996 (28),6
Kyron Johnson,LB,6-0,235,7/24/1998 (25),3
La'Mical Perine,RB,5-11,216,1/30/1998 (26),3
Larry Ogunjobi,DT,6-3,305,6/3/1994 (30),8
Logan Lee,DT,6-5,286,6/12/2000 (24),R
Mark Robinson,LB,5-11,235,8/14/1999 (24),3
Marquez Callaway,WR,6-2,204,3/27/1998 (26),4
Mason McCormick,OG,6-5,315,5/25/2000 (24),R
Matthew Wright,K,5-11,174,3/22/1996 (28),3
Miles Killebrew,DB,6-2,222,5/10/1993 (31),9
Minkah Fitzpatrick,FS,6-1,207,11/17/1996 (27),7
Montravius Adams,DT,6-4,304,7/24/1995 (28),8
MyCole Pruitt,TE,6-2,258,3/24/1992 (32),9
Najee Harris,RB,6-1,242,3/9/1998 (26),4
Nate Herbig,OG,6-4,334,7/10/1998 (26),6
Nathan Meadors,DB,5-9,194,2/13/1997 (27),1
Nick Herbig,LB,6-2,240,11/21/2001 (22),2
Pat Freiermuth,TE,6-5,258,10/25/1998 (25),4
Patrick Queen,LB,6-0,232,8/13/1999 (24),5
Payton Wilson,LB,6-4,242,4/21/2000 (24),R
Quez Watkins,WR,6-0,193,6/9/1998 (26),5
Rodney Williams,TE,6-4,235,4/10/2000 (24),2
Roman Wilson,WR,5-10,186,6/19/2001 (23),R
Russell Wilson,QB,5-11,206,11/29/1988 (35),13
Ryan McCollum,C,6-5,300,3/4/1998 (26),2
Ryan Watts,DB,6-3,212,11/7/2001 (22),R
Scott Miller,WR,5-9,174,7/31/1997 (26),6
Spencer Anderson,OG,6-5,305,6/7/2000 (24),2
T.J. Watt,OLB,6-4,252,10/11/1994 (29),8
Thomas Graham Jr.,CB,5-10,196,6/26/1999 (25),3
Troy Fautanu,OT,6-4,317,10/11/2000 (23),R
Tyler Beach,OG,6-6,290,6/14/1999 (25),R
Tyler Murray,LB,6-1,227,2/15/1999 (25),1
Van Jefferson,WR,6-1,200,7/26/1996 (27),5
Willington Previlon,DT,6-5,287,5/19/1997 (27),1
Zach Frazier,C,6-3,310,8/29/2001 (22),R
