Alex Barrett,SF,DE,6-2,250,3/6/1994 (30),(30),2
Ambry Thomas,SF,CB,6-0,190,9/9/1999 (24),(24),4
Austin Bryant,SF,DE,6-5,250,11/12/1996 (27),(27),5
Ben Bartch,SF,OG,6-6,315,7/22/1998 (25),(25),5
Brandon Aiyuk,SF,WR,6-0,200,3/17/1998 (26),(26),5
Brandon Allen,SF,QB,6-2,209,9/5/1992 (31),(31),8
Brandon Parker,SF,OT,6-8,320,10/21/1995 (28),(28),7
Brayden Willis,SF,TE,6-4,240,11/11/1999 (24),(24),2
Briason Mays,SF,C,6-4,295,—,,R
Brock Purdy,SF,QB,6-1,220,12/27/1999 (24),(24),3
Cameron Latu,SF,TE,6-5,244,2/24/2000 (24),(24),2
Charvarius Ward,SF,CB,6-1,196,5/16/1996 (28),(28),7
Chase Lucas,SF,CB,5-11,184,3/4/1997 (27),(27),3
Chris Conley,SF,WR,6-3,205,10/25/1992 (31),(31),10
Chris Hubbard,SF,OT,6-4,295,4/23/1991 (33),(33),11
Christian McCaffrey,SF,RB,5-11,210,6/7/1996 (28),(28),8
Cody Schrader,SF,RB,5-8,202,9/8/1999 (24),(24),R
Colton McKivitz,SF,OT,6-6,301,8/9/1996 (27),(27),5
Curtis Robinson,SF,LB,6-3,235,6/2/1998 (26),(26),3
Danny Gray,SF,WR,6-0,200,4/1/1999 (25),(25),3
Darrell Luter Jr.,SF,CB,6-0,190,4/24/2000 (24),(24),2
De'Vondre Campbell,SF,OLB,6-3,232,7/1/1993 (31),(31),9
Dee Winters,SF,LB,5-11,227,10/17/2000 (23),(23),2
Deebo Samuel,SF,WR,6-0,215,1/15/1996 (28),(28),6
Demetrius Flannigan-Fowles,SF,LB,6-2,223,9/4/1996 (27),(27),5
Deommodore Lenoir,SF,CB,5-10,200,10/6/1999 (24),(24),4
Dominick Puni,SF,OT,6-5,313,2/24/2000 (24),(24),R
Drake Jackson,SF,DE,6-4,273,4/12/2001 (23),(23),3
Drake Nugent,SF,C,6-1,298,2/9/2001 (23),(23),R
Dre Greenlaw,SF,LB,6-0,230,5/25/1997 (27),(27),6
Elijah Mitchell,SF,RB,5-10,200,5/2/1998 (26),(26),4
Eric Saubert,SF,TE,6-5,248,5/9/1994 (30),(30),7
Erik Harris,SF,FS,6-2,225,4/2/1990 (34),(34),8
Evan Anderson,SF,DL,6-3,326,2/14/2002 (22),(22),R
Fred Warner,SF,MLB,6-3,230,11/19/1996 (27),(27),7
George Kittle,SF,TE,6-4,250,10/9/1993 (30),(30),8
George Odum,SF,DB,6-1,202,11/3/1993 (30),(30),7
Isaac Alarcon,SF,OT,6-7,320,7/27/1998 (25),(25),1
Isaac Guerendo,SF,RB,6-0,221,6/28/2000 (24),(24),R
Isaac Yiadom,SF,CB,6-1,188,2/20/1996 (28),(28),7
Jacob Cowing,SF,WR,5-9,170,2/4/2001 (23),(23),R
Jake Brendel,SF,C,6-4,299,9/10/1992 (31),(31),8
Jake Moody,SF,K,6-1,210,11/23/1999 (24),(24),2
Jake Tonges,SF,TE,6-4,240,7/8/1999 (25),(25),2
Jalen Graham,SF,LB,6-3,220,1/11/2000 (24),(24),2
Jarrett Kingston,SF,OG,6-4,305,12/2/1999 (24),(24),R
Jauan Jennings,SF,WR,6-3,212,7/10/1997 (27),(27),4
Javon Hargrave,SF,NT,6-2,305,2/7/1993 (31),(31),9
Jaylen Mahoney,SF,SAF,5-11,200,—,,R
Jaylon Moore,SF,OT,6-4,311,1/9/1998 (26),(26),4
Ji'Ayir Brown,SF,SAF,5-11,202,1/25/2000 (24),(24),2
Jon Feliciano,SF,OG,6-4,325,2/10/1992 (32),(32),10
Jordan Elliott,SF,DT,6-4,302,11/23/1997 (26),(26),5
Jordan Mason,SF,RB,5-11,223,5/24/1999 (25),(25),3
Joshua Dobbs,SF,QB,6-3,220,1/26/1995 (29),(29),8
Kalia Davis,SF,DT,6-2,310,10/2/1998 (25),(25),3
Kemon Hall,SF,DB,5-11,190,6/2/1997 (27),(27),3
