Andrew Hayes,TB,CB,6-0,195,5/17/2001,23,R,AHayesTB
Anthony Nelson,TB,LB,6-7,271,3/4/1997,27,6,ANelsonTB
Antoine Winfield Jr,TB,SAF,5-9,203,8/16/1998,25,5,AWinfieldTB
Antonio Grier,TB,LB,6-1,230,1/18/2000,24,R,AGrierTB
Avery Jones,TB,C,6-4,307,10/20/1999,24,R,AJonesTB
Baker Mayfield,TB,QB,6-1,215,4/14/1995,29,7,BMayfieldTB
Ben Bredeson,TB,OG,6-5,315,2/20/1998,26,5,BBredesonTB
Brandon Walton,TB,OT,6-5,300,3/18/1998,26,3,BWaltonTB
Bryce Hall,TB,CB,6-1,202,11/5/1997,26,5,BHallTB
Bucky Irving,TB,RB,5-10,194,8/19/2002,21,R,BIrvingTB
C.J. Brewer,TB,DT,6-2,290,11/22/1997,26,1,CBrewerTB
Cade Otton,TB,TE,6-5,247,4/15/1999,25,3,COttonTB
Calijah Kancey,TB,DT,6-0,280,3/1/2001,23,2,CKanceyTB
Cephus Johnson III,TB,WR,6-5,220,9/21/1999,24,1,CJohnsonTB
Chase Edmonds,TB,RB,5-9,201,4/13/1996,28,7,CEdmondsTB
Chase McLaughlin,TB,K,6-0,190,4/9/1996,28,6,CMcLaughlinTB
Chris Braswell,TB,LB,6-3,255,10/25/2001,22,R,CBraswellTB
Chris Godwin,TB,WR,6-1,209,2/27/1996,28,8,CGodwinTB
Chris McDonald,TB,CB,5-10,192,11/9/1999,24,R,CMcDonaldTB
Christian Izien,TB,DB,5-10,200,6/8/2000,24,2,CIzienTB
Cody Mauch,TB,OG,6-6,303,1/15/1999,25,2,CMauchTB
Cody Thompson,TB,WR,6-2,205,1/11/1996,28,3,CThompsonTB
DJ Williams,TB,RB,6-0,225,11/15/1999,24,R,DWilliamsTB
Daniel Grzesiak,TB,LB,6-1,245,11/19/2000,23,R,DGrzesiakTB
David Wells,TB,TE,6-6,260,5/2/1995,29,4,DWellsTB
Devin Culp,TB,TE,6-4,237,2/2/2000,24,R,DCulpTB
Earnest Brown IV,TB,DE,6-5,270,1/8/1999,25,2,EBrownTB
Elijah Klein,TB,OG,6-4,319,4/8/2000,24,R,EKleinTB
Eric Banks,TB,DT,6-5,274,1/30/1998,26,2,EBanksTB
Evan Deckers,TB,LS,6-3,252,2/23/1999,25,1,EDeckersTB
Graham Barton,TB,C,6-5,314,6/1/2002,22,R,GBartonTB
Greg Gaines,TB,DT,6-1,312,5/6/1996,28,6,GGainesTB
JJ Russell,TB,ILB,6-1,225,10/12/1998,25,3,JRussellTB
Jake Camarda,TB,P,6-1,193,4/20/1999,25,3,JCamardaTB
Jalen McMillan,TB,WR,6-1,192,12/7/2001,22,R,JMcMillanTB
Jamel Dean,TB,DB,6-1,206,10/15/1996,27,6,JDeanTB
Joe Tryon-Shoyinka,TB,LB,6-5,259,4/30/1999,25,4,JTryon-ShoyinkaTB
John Wolford,TB,QB,6-1,218,10/16/1995,28,5,JWolfordTB
Jordan Whitehead,TB,FS,5-10,198,3/18/1997,27,7,JWhiteheadTB
Jose Ramirez,TB,LB,6-2,252,5/9/1999,25,1,JRamirezTB
Josh Hayes,TB,DB,6-0,190,4/24/1999,25,2,JHayesTB
Judge Culpepper,TB,DT,6-4,293,11/24/1999,24,R,JCulpepperTB
Justin Skule,TB,OT,6-6,315,11/23/1996,27,5,JSkuleTB
K.J. Britt,TB,LB,6-0,235,6/4/1999,25,4,KBrittTB
Kaevon Merriweather,TB,SAF,6-0,212,12/20/1999,24,2,KMerriweatherTB
Kalen DeLoach,TB,LB,6-1,212,11/28/2000,23,R,KDeLoachTB
Kameron Johnson,TB,WR,5-10,170,3/17/2002,22,R,KJohnsonTB
Keenan Isaac,TB,DB,6-3,190,2/17/2000,24,1,KIsaacTB
Ko Kieft,TB,TE,6-5,265,1/20/1998,26,3,KKieftTB
Kyle Trask,TB,QB,6-5,236,3/6/1998,26,4,KTraskTB
Latreal Jones,TB,WR,6-1,195,1/13/1999,25,R,LJonesTB
Lavonte David,TB,OLB,6-1,233,1/23/1990,34,13,LDavidTB
Logan Hall,TB,DE,6-6,283,4/22/2000,24,3,LHallTB
Lorenz Metz,TB,OL,6-9,310,3/7/1997,27,R,LMetzTB
Luke Goedeke,TB,OT,6-5,312,11/21/1998,25,3,LGoedekeTB
Luke Haggard,TB,OL,6-7,305,1/3/2000,24,1,LHaggardTB
Lwal Uguak,TB,DE,6-4,269,3/30/2000,24,R,LUguakTB
Marcus Banks,TB,DB,6-0,190,10/8/2000,23,R,MBanksTB
Markees Watts,TB,LB,6-1,240,12/7/1999,24,2,MWattsTB
Mike Evans,TB,WR,6-5,231,8/21/1993,30,11,MEvansTB
Mike Greene,TB,DT,6-3,293,5/3/1999,25,2,MGreeneTB
Payne Durham,TB,TE,6-5,255,6/15/2000,24,2,PDurhamTB
Rachaad White,TB,RB,6-0,214,1/12/1999,25,3,RWhiteTB
Rakim Jarrett,TB,WR,6-0,192,1/24/2001,23,2,RJarrettTB
Raleigh Webb,TB,WR,6-2,204,12/28/1997,26,2,RWebbTB
Ramon Jefferson,TB,RB,5-10,215,1/10/2000,24,R,RJeffersonTB
Randy Gregory,TB,LB,6-5,255,11/23/1992,31,7,RGregoryTB
Rashad Wisdom,TB,SAF,5-9,210,6/6/2001,23,R,RWisdomTB
Robert Hainsey,TB,C,6-4,306,8/12/1998,25,4,RHainseyTB
Rodarius Williams,TB,CB,6-0,195,9/12/1996,27,3,RWilliamsTB
Ryan Miller,TB,WR,6-2,221,2/20/2000,24,1,RMillerTB
Sean Tucker,TB,RB,5-10,205,10/25/2001,22,2,STuckerTB
Shaun Peterson Jr.,TB,LB,6-3,240,10/22/1999,24,R,SPetersonTB
Silas Dzansi,TB,OT,6-5,335,6/13/1998,26,1,SDzansiTB
SirVocea Dennis,TB,LB,6-0,230,3/9/2000,24,2,SDennisTB
Sterling Shepard,TB,WR,5-10,196,2/10/1993,31,9,SShepardTB
Sua Opeta,TB,OG,6-4,305,8/15/1996,27,5,SOpetaTB
Tanner Knue,TB,WR,5-11,178,11/26/1999,24,R,TKnueTB
Tanner Taula,TB,TE,6-6,255,12/6/1998,25,1,TTaulaTB
Tavierre Thomas,TB,CB,5-10,205,3/11/1996,28,7,TThomasTB
Trey Palmer,TB,WR,6-1,190,4/2/2001,23,2,TPalmerTB
Tristan Wirfs,TB,OT,6-5,320,1/24/1999,25,5,TWirfsTB
Tykee Smith,TB,DB,5-10,202,2/18/2001,23,R,TSmithTB
Tyrek Funderburk,TB,CB,6-0,185,11/28/2000,23,R,TFunderburkTB
Vi Jones,TB,LB,6-2,225,5/5/1998,26,2,VJonesTB
Vita Vea,TB,DT,6-4,347,2/5/1995,29,7,VVeaTB
William Gholston,TB,DT,6-6,281,7/31/1991,32,12,WGholstonTB
Xavier Delgado,TB,OL,6-4,329,6/20/2000,24,R,XDelgadoTB
