Amani Hooker,TEN,SAF,5-11,210,6/14/1998,26,6,AHookerTEN
Andrew Rupcich,TEN,OT,6-6,318,4/1/1999,25,1,ARupcichTEN
Anthony Kendall,TEN,CB,5-10,188,12/17/1999,24,2,AKendallTEN
Arden Key,TEN,LB,6-5,240,5/3/1996,28,7,AKeyTEN
Brayden Narveson,TEN,K,5-11,215,—,22,R,BNarvesonTEN
Brian Dooley,TEN,OL,6-5,318,—,22,R,BDooleyTEN
Bryce Oliver,TEN,WR,6-1,214,—,22,R,BOliverTEN
Caleb Farley,TEN,CB,6-2,197,11/2/1998,25,4,CFarleyTEN
Caleb Murphy,TEN,LB,6-3,254,12/15/1999,24,2,CMurphyTEN
Calvin Ridley,TEN,WR,6-1,190,12/20/1994,29,6,CRidleyTEN
Cedric Gray,TEN,LB,6-2,235,10/30/2002,21,R,CGrayTEN
Chance Campbell,TEN,LB,6-2,232,10/8/1999,24,3,CCampbellTEN
Chidobe Awuzie,TEN,CB,5-11,202,5/24/1995,29,8,CAwuzieTEN
Chigoziem Okonkwo,TEN,TE,6-3,238,9/8/1999,24,3,COkonkwoTEN
Cole Spencer,TEN,OG,6-3,307,—,22,R,CSpencerTEN
Colton Dowell,TEN,WR,6-3,212,4/19/1999,25,2,CDowellTEN
Daniel Brunskill,TEN,OG,6-5,300,1/27/1994,30,6,DBrunskillTEN
David Martin-Robinson,TEN,TE,6-3,247,—,22,R,DMartin-RobinsonTEN
DeAndre Hopkins,TEN,WR,6-1,212,6/6/1992,32,11,DHopkinsTEN
Dillon Johnson,TEN,RB,5-11,217,6/15/2001,23,R,DJohnsonTEN
Dillon Radunz,TEN,OT,6-6,301,3/28/1998,26,4,DRadunzTEN
Elijah Molden,TEN,CB,5-10,191,1/30/1999,25,4,EMoldenTEN
Eric Garror,TEN,CB,5-8,174,3/31/2000,24,2,EGarrorTEN
Gabe Jeudy-Lally,TEN,CB,6-1,189,2/16/2001,23,R,GJeudy-LallyTEN
Garret Wallow,TEN,LB,6-2,230,1/25/1999,25,4,GWallowTEN
Geron Christian,TEN,OT,6-5,315,9/10/1996,27,7,GChristianTEN
Harold Landry,TEN,LB,6-2,252,6/5/1996,28,7,HLandryTEN
Hassan Haskins,TEN,RB,6-2,228,11/26/1999,24,3,HHaskinsTEN
Isaiah Iton,TEN,DE,6-2,277,—,22,R,IItonTEN
JC Latham,TEN,OT,6-6,342,2/8/2003,21,R,JLathamTEN
Jabari Small,TEN,RB,5-9,198,1/31/2002,22,R,JSmallTEN
Jack Gibbens,TEN,LB,6-3,242,11/24/1998,25,2,JGibbensTEN
Jaelyn Duncan,TEN,OT,6-6,306,7/8/2000,24,2,JDuncanTEN
Jamal Adams,TEN,SS,6-1,213,10/17/1995,28,7,JAdamsTEN
James Williams,TEN,LB,6-4,232,2/15/2003,21,R,JWilliamsTEN
Jarvis Brownlee Jr.,TEN,DB,5-10,194,7/13/2001,23,R,JBrownleeTEN
Jaylen Harrell,TEN,LB,6-4,247,5/1/2002,22,R,JHarrellTEN
Jeffery Simmons,TEN,DT,6-4,305,7/28/1997,26,6,JSimmonsTEN
Jha'Quan Jackson,TEN,WR,5-9,188,5/15/2000,24,R,JJacksonTEN
JoJo Domann,TEN,LB,6-1,230,7/28/1997,26,2,JDomannTEN
John Ojukwu,TEN,OT,6-5,309,1/9/1999,25,1,JOjukwuTEN
Josh Whyle,TEN,TE,6-7,248,9/8/1999,24,2,JWhyleTEN
Julius Chestnut,TEN,RB,5-11,228,10/26/2000,23,3,JChestnutTEN
Kearis Jackson,TEN,WR,5-11,196,12/9/1999,24,2,KJacksonTEN
Keaton Ellis,TEN,SAF,5-11,185,—,22,R,KEllisTEN
Kenneth Murray,TEN,LB,6-2,241,11/16/1998,25,5,KMurrayTEN
Keondre Coburn,TEN,DT,6-2,332,5/23/2000,24,2,KCoburnTEN
Khalid Duke,TEN,LB,6-3,246,2/27/2001,23,R,KDukeTEN
Kyle Philips,TEN,WR,5-11,189,6/17/1999,25,3,KPhilipsTEN
L'Jarius Sneed,TEN,SAF,6-1,192,1/21/1997,27,5,LSneedTEN
Lachavious Simmons,TEN,OG,6-5,315,9/26/1996,27,3,LSimmonsTEN
Leroy Watson,TEN,OT,6-5,311,6/10/1998,26,2,LWatsonTEN
Lloyd Cushenberry,TEN,C,6-4,315,11/22/1997,26,5,LCushenberryTEN
Luke Gifford,TEN,LB,6-3,242,8/28/1995,28,6,LGiffordTEN
Malik Willis,TEN,QB,6-1,219,5/25/1999,25,3,MWillisTEN
Marlon Davidson,TEN,DE,6-3,303,5/11/1998,26,4,MDavidsonTEN
Mason Kinsey,TEN,WR,5-11,200,8/29/1998,25,2,MKinseyTEN
Mason Rudolph,TEN,QB,6-5,235,6/17/1995,29,7,MRudolphTEN
Matthew Jackson,TEN,SAF,6-1,209,11/9/1998,25,2,MJacksonTEN
Mike Brown,TEN,DB,6-1,215,4/7/1999,25,2,MBrownTEN
Morgan Cox,TEN,LS,6-4,233,4/26/1986,38,15,MCoxTEN
Nicholas Petit-Frere,TEN,OT,6-5,315,9/15/1999,24,3,NPetit-FrereTEN
Nick Folk,TEN,K,6-1,225,11/5/1984,39,17,NFolkTEN
Nick Vannett,TEN,TE,6-6,257,3/6/1993,31,9,NVannettTEN
Nick Westbrook-Ikhine,TEN,WR,6-2,211,3/21/1997,27,5,NWestbrook-IkhineTEN
Otis Reese,TEN,LB,6-3,214,7/2/1998,26,2,OReeseTEN
Peter Skoronski,TEN,OG,6-4,313,7/31/2001,22,2,PSkoronskiTEN
