Andrew Hayes,TB,CB,6-0,195,5/17/2001,23,R
Anthony Nelson,TB,LB,6-7,271,3/4/1997,27,6
Antoine Winfield Jr,TB,SAF,5-9,203,8/16/1998,25,5
Antonio Grier,TB,LB,6-1,230,1/18/2000,24,R
Avery Jones,TB,C,6-4,307,10/20/1999,24,R
Baker Mayfield,TB,QB,6-1,215,4/14/1995,29,7
Ben Bredeson,TB,OG,6-5,315,2/20/1998,26,5
Brandon Walton,TB,OT,6-5,300,3/18/1998,26,3
Bryce Hall,TB,CB,6-1,202,11/5/1997,26,5
Bucky Irving,TB,RB,5-10,194,8/19/2002,21,R
C.J. Brewer,TB,DT,6-2,290,11/22/1997,26,1
Cade Otton,TB,TE,6-5,247,4/15/1999,25,3
Calijah Kancey,TB,DT,6-0,280,3/1/2001,23,2
Cephus Johnson III,TB,WR,6-5,220,9/21/1999,24,1
Chase Edmonds,TB,RB,5-9,201,4/13/1996,28,7
Chase McLaughlin,TB,K,6-0,190,4/9/1996,28,6
Chris Braswell,TB,LB,6-3,255,10/25/2001,22,R
Chris Godwin,TB,WR,6-1,209,2/27/1996,28,8
Chris McDonald,TB,CB,5-10,192,11/9/1999,24,R
Christian Izien,TB,DB,5-10,200,6/8/2000,24,2
Cody Mauch,TB,OG,6-6,303,1/15/1999,25,2
Cody Thompson,TB,WR,6-2,205,1/11/1996,28,3
DJ Williams,TB,RB,6-0,225,11/15/1999,24,R
Daniel Grzesiak,TB,LB,6-1,245,11/19/2000,23,R
David Wells,TB,TE,6-6,260,5/2/1995,29,4
Devin Culp,TB,TE,6-4,237,2/2/2000,24,R
Earnest Brown IV,TB,DE,6-5,270,1/8/1999,25,2
Elijah Klein,TB,OG,6-4,319,4/8/2000,24,R
Eric Banks,TB,DT,6-5,274,1/30/1998,26,2
Evan Deckers,TB,LS,6-3,252,2/23/1999,25,1
Graham Barton,TB,C,6-5,314,6/1/2002,22,R
Greg Gaines,TB,DT,6-1,312,5/6/1996,28,6
JJ Russell,TB,ILB,6-1,225,10/12/1998,25,3
Jake Camarda,TB,P,6-1,193,4/20/1999,25,3
Jalen McMillan,TB,WR,6-1,192,12/7/2001,22,R
Jamel Dean,TB,DB,6-1,206,10/15/1996,27,6
Joe Tryon-Shoyinka,TB,LB,6-5,259,4/30/1999,25,4
John Wolford,TB,QB,6-1,218,10/16/1995,28,5
Jordan Whitehead,TB,FS,5-10,198,3/18/1997,27,7
Jose Ramirez,TB,LB,6-2,252,5/9/1999,25,1
Josh Hayes,TB,DB,6-0,190,4/24/1999,25,2
Judge Culpepper,TB,DT,6-4,293,11/24/1999,24,R
Justin Skule,TB,OT,6-6,315,11/23/1996,27,5
K.J. Britt,TB,LB,6-0,235,6/4/1999,25,4
Kaevon Merriweather,TB,SAF,6-0,212,12/20/1999,24,2
Kalen DeLoach,TB,LB,6-1,212,11/28/2000,23,R
Kameron Johnson,TB,WR,5-10,170,3/17/2002,22,R
Keenan Isaac,TB,DB,6-3,190,2/17/2000,24,1
Ko Kieft,TB,TE,6-5,265,1/20/1998,26,3
Kyle Trask,TB,QB,6-5,236,3/6/1998,26,4
Latreal Jones,TB,WR,6-1,195,1/13/1999,25,R
Lavonte David,TB,OLB,6-1,233,1/23/1990,34,13
Logan Hall,TB,DE,6-6,283,4/22/2000,24,3
Lorenz Metz,TB,OL,6-9,310,3/7/1997,27,R
Luke Goedeke,TB,OT,6-5,312,11/21/1998,25,3
Luke Haggard,TB,OL,6-7,305,1/3/2000,24,1
Lwal Uguak,TB,DE,6-4,269,3/30/2000,24,R
Marcus Banks,TB,DB,6-0,190,10/8/2000,23,R
Markees Watts,TB,LB,6-1,240,12/7/1999,24,2
Mike Evans,TB,WR,6-5,231,8/21/1993,30,11
Mike Greene,TB,DT,6-3,293,5/3/1999,25,2
Payne Durham,TB,TE,6-5,255,6/15/2000,24,2
Rachaad White,TB,RB,6-0,214,1/12/1999,25,3
Rakim Jarrett,TB,WR,6-0,192,1/24/2001,23,2
Raleigh Webb,TB,WR,6-2,204,12/28/1997,26,2
Ramon Jefferson,TB,RB,5-10,215,1/10/2000,24,R
Randy Gregory,TB,LB,6-5,255,11/23/1992,31,7
