Amani Hooker,TEN,SAF,5-11,210,6/14/1998,26,6
Andrew Rupcich,TEN,OT,6-6,318,4/1/1999,25,1
Anthony Kendall,TEN,CB,5-10,188,12/17/1999,24,2
Arden Key,TEN,LB,6-5,240,5/3/1996,28,7
Brayden Narveson,TEN,K,5-11,215,—,22,R
Brian Dooley,TEN,OL,6-5,318,—,22,R
Bryce Oliver,TEN,WR,6-1,214,—,22,R
Caleb Farley,TEN,CB,6-2,197,11/2/1998,25,4
Caleb Murphy,TEN,LB,6-3,254,12/15/1999,24,2
Calvin Ridley,TEN,WR,6-1,190,12/20/1994,29,6
Cedric Gray,TEN,LB,6-2,235,10/30/2002,21,R
Chance Campbell,TEN,LB,6-2,232,10/8/1999,24,3
Chidobe Awuzie,TEN,CB,5-11,202,5/24/1995,29,8
Chigoziem Okonkwo,TEN,TE,6-3,238,9/8/1999,24,3
Cole Spencer,TEN,OG,6-3,307,—,22,R
Colton Dowell,TEN,WR,6-3,212,4/19/1999,25,2
Daniel Brunskill,TEN,OG,6-5,300,1/27/1994,30,6
David Martin-Robinson,TEN,TE,6-3,247,—,22,R
DeAndre Hopkins,TEN,WR,6-1,212,6/6/1992,32,11
Dillon Johnson,TEN,RB,5-11,217,6/15/2001,23,R
Dillon Radunz,TEN,OT,6-6,301,3/28/1998,26,4
Elijah Molden,TEN,CB,5-10,191,1/30/1999,25,4
Eric Garror,TEN,CB,5-8,174,3/31/2000,24,2
Gabe Jeudy-Lally,TEN,CB,6-1,189,2/16/2001,23,R
Garret Wallow,TEN,LB,6-2,230,1/25/1999,25,4
Geron Christian,TEN,OT,6-5,315,9/10/1996,27,7
Harold Landry,TEN,LB,6-2,252,6/5/1996,28,7
Hassan Haskins,TEN,RB,6-2,228,11/26/1999,24,3
Isaiah Iton,TEN,DE,6-2,277,—,22,R
JC Latham,TEN,OT,6-6,342,2/8/2003,21,R
Jabari Small,TEN,RB,5-9,198,1/31/2002,22,R
Jack Gibbens,TEN,LB,6-3,242,11/24/1998,25,2
Jaelyn Duncan,TEN,OT,6-6,306,7/8/2000,24,2
Jamal Adams,TEN,SS,6-1,213,10/17/1995,28,6
James Williams,TEN,LB,6-4,232,2/15/2003,21,R
Jarvis Brownlee Jr.,TEN,DB,5-10,194,7/13/2001,22,R
Jaylen Harrell,TEN,LB,6-4,247,5/1/2002,22,R
Jeffery Simmons,TEN,DT,6-4,305,7/28/1997,26,6
Jha'Quan Jackson,TEN,WR,5-9,188,5/15/2000,24,R
JoJo Domann,TEN,LB,6-1,230,7/28/1997,26,2
John Ojukwu,TEN,OT,6-5,309,1/9/1999,25,1
Josh Whyle,TEN,TE,6-7,248,9/8/1999,24,2
Julius Chestnut,TEN,RB,5-11,228,10/26/2000,23,3
Kearis Jackson,TEN,WR,5-11,196,12/9/1999,24,2
Keaton Ellis,TEN,SAF,5-11,185,—,22,R
Kenneth Murray,TEN,LB,6-2,241,11/16/1998,25,5
