A.J. Woods,WAS,DB,5-9,186,3/28/2001,23,R,AWoodsWAS
Alex Akingbulu,WAS,OT,6-5,300,12/28/1997,26,1,AAkingbuluWAS
Andre Jones,WAS,DE,6-5,258,10/25/1998,25,2,AJonesWAS
Andrew Wylie,WAS,OT,6-6,309,8/19/1994,29,7,AWylieWAS
Anthony Pittman,WAS,LB,6-3,224,11/24/1996,27,4,APittmanWAS
Armani Rogers,WAS,TE,6-5,225,12/4/1997,26,3,ARogersWAS
Austin Ekeler,WAS,RB,5-10,200,5/17/1995,29,8,AEkelerWAS
Austin Jones,WAS,RB,5-10,200,2/7/2001,23,R,AJonesWAS
Ben Nikkel,WAS,DB,6-1,210,—,22,R,BNikkelWAS
Ben Sinnott,WAS,TE,6-4,247,6/14/2002,22,R,BSinnottWAS
Benjamin St-Juste,WAS,CB,6-3,200,9/8/1997,26,4,BSt-JusteWAS
Benning Potoa'e,WAS,DE,6-3,290,9/17/1996,27,1,BPotoa'eWAS
Bo Bauer,WAS,LB,6-3,253,—,22,R,BBauerWAS
Bobby Wagner,WAS,MLB,6-0,242,6/27/1990,34,13,BWagnerWAS
Braeden Daniels,WAS,OG,6-4,297,8/22/2000,23,2,BDanielsWAS
Brandon Coleman,WAS,OG,6-6,320,—,22,R,BColemanWAS
Brian Robinson Jr.,WAS,RB,6-1,228,3/22/1999,25,3,BRobinsonWAS
Brycen Tremayne,WAS,WR,6-4,212,11/18/1999,24,1,BTremayneWAS
Chigozie Anusiem,WAS,DB,6-1,200,—,22,R,CAnusiemWAS
Chris Paul,WAS,OG,6-4,324,11/19/1998,25,3,CPaulWAS
Chris Rodriguez Jr.,WAS,RB,5-11,224,9/26/1999,24,2,CRodriguezWAS
Christian Holmes,WAS,CB,6-1,205,11/14/1997,26,3,CHolmesWAS
Clelin Ferrell,WAS,DE,6-4,265,5/17/1997,27,6,CFerrellWAS
Cole Turner,WAS,TE,6-6,240,3/16/2000,24,3,CTurnerWAS
Colson Yankoff,WAS,TE,6-4,225,—,22,R,CYankoffWAS
Cornelius Lucas,WAS,OT,6-8,328,7/18/1991,32,10,CLucasWAS
Damiere Byrd,WAS,WR,5-9,175,1/27/1993,31,8,DByrdWAS
Dante Fowler,WAS,DE,6-3,261,8/3/1994,29,10,DFowlerWAS
Daron Payne,WAS,NT,6-3,320,5/27/1997,27,7,DPayneWAS
Darrick Forrest,WAS,SAF,5-11,200,5/22/1999,25,4,DForrestWAS
David Nwaogwugwu,WAS,OT,6-5,301,—,22,R,DNwaogwugwuWAS
Davion Davis,WAS,WR,5-11,195,10/23/1996,27,2,DDavisWAS
Dax Milne,WAS,WR,6-1,200,6/23/1999,25,4,DMilneWAS
Dominique Hampton,WAS,SAF,6-3,220,7/25/2000,23,R,DHamptonWAS
Dorance Armstrong,WAS,DE,6-4,255,6/10/1997,27,7,DArmstrongWAS
Dyami Brown,WAS,WR,6-0,195,11/1/1999,24,4,DBrownWAS
Efe Obada,WAS,DE,6-6,265,4/13/1992,32,7,EObadaWAS
Emmanuel Forbes,WAS,CB,6-0,180,1/13/2001,23,2,EForbesWAS
Frankie Luvu,WAS,LB,6-3,236,9/19/1996,27,7,FLuvuWAS
Haggai Ndubuisi,WAS,DL,6-6,298,10/15/2000,23,1,HNdubuisiWAS
Jahan Dotson,WAS,WR,5-11,182,3/22/2000,24,3,JDotsonWAS
Jalen Harris,WAS,DE,6-4,257,2/26/1999,25,2,JHarrisWAS
James Pierre,WAS,CB,6-2,185,9/16/1996,27,5,JPierreWAS
Jamin Davis,WAS,LB,6-4,234,12/12/1998,25,4,JDavisWAS
Jamison Crowder,WAS,WR,5-9,177,6/17/1993,31,10,JCrowderWAS
Jartavius Martin,WAS,CB,6-0,195,4/17/2000,24,2,JMartinWAS
Javontae Jean-Baptiste,WAS,DE,6-5,260,5/16/2000,24,R,JJean-BaptisteWAS
Jayden Daniels,WAS,QB,6-4,210,12/18/2000,23,R,JDanielsWAS
Jeff Driskel,WAS,QB,6-4,231,4/23/1993,31,8,JDriskelWAS
Jeremy Chinn,WAS,SAF,6-3,220,2/26/1998,26,5,JChinnWAS
Jeremy McNichols,WAS,RB,5-9,214,12/26/1995,28,4,JMcNicholsWAS
Jeremy Reaves,WAS,DB,5-11,200,8/29/1996,27,5,JReavesWAS
John Bates,WAS,TE,6-6,259,11/6/1997,26,4,JBatesWAS
John Ridgeway,WAS,DT,6-5,321,5/7/1999,25,3,JRidgewayWAS
Johnny Newton,WAS,DT,6-2,295,8/31/2002,21,R,JNewtonWAS
Jonathan Allen,WAS,DE,6-3,300,1/16/1995,29,8,JAllenWAS
Jordan Magee,WAS,LB,6-3,226,3/24/2001,23,R,JMageeWAS
Julian Good-Jones,WAS,OT,6-5,313,3/2/1997,27,2,JGood-JonesWAS
K KellyKyu,WAS,CB,6-0,193,5/22/2001,23,2,KKellyKyuWAS
K.J. Henry,WAS,DE,6-4,255,1/27/1999,25,2,KHenryWAS
