Jayden Daniels,QB,6-4,210,12/18/2000 (23),R
Jeff Driskel,QB,6-4,231,4/23/1993 (31),8
Sam Hartman,QB,6-1,209,7/29/1999 (24),R
Marcus Mariota,QB,6-4,222,10/30/1993 (30),10
Austin Ekeler,RB,5-10,200,5/17/1995 (29),8
Austin Jones,RB,5-10,200,2/7/2001 (23),R
Jeremy McNichols,RB,5-9,214,12/26/1995 (28),4
Brian Robinson Jr.,RB,6-1,228,3/22/1999 (25),3
Chris Rodriguez Jr.,RB,5-11,224,9/26/1999 (24),2
Michael Wiley,RB,5-10,209,—,R
Kazmeir Allen,WR,5-8,176,2/29/2000 (24),1
Dyami Brown,WR,6-0,195,11/1/1999 (24),4
Damiere Byrd,WR,5-9,175,1/27/1993 (31),8
Jamison Crowder,WR,5-9,177,6/17/1993 (31),10
Davion Davis,WR,5-11,195,10/23/1996 (27),2
Jahan Dotson,WR,5-11,182,3/22/2000 (24),3
Luke McCaffrey,WR,6-2,198,4/2/2001 (23),R
Terry McLaurin,WR,6-0,210,9/15/1995 (28),6
Dax Milne,WR,6-1,200,6/23/1999 (25),4
Marcus Rosemy-Jacksaint,WR,6-1,205,1/8/2002 (22),R
Mitchell Tinsley,WR,6-1,205,9/15/1999 (24),2
Brycen Tremayne,WR,6-4,212,11/18/1999 (24),1
Olamide Zaccheaus,WR,5-8,193,7/23/1997 (26),6
John Bates,TE,6-6,259,11/6/1997 (26),4
Zach Ertz,TE,6-5,250,11/10/1990 (33),12
Armani Rogers,TE,6-5,225,12/4/1997 (26),3
Ben Sinnott,TE,6-4,247,6/14/2002 (22),R
Cole Turner,TE,6-6,240,3/16/2000 (24),3
Colson Yankoff,TE,6-4,225,—,R
Tyler Biadasz,C,6-4,318,11/20/1997 (26),5
Ricky Stromberg,C,6-4,313,11/10/2000 (23),2
Alex Akingbulu,OT,6-5,300,12/28/1997 (26),1
Julian Good-Jones,OT,6-5,313,3/2/1997 (27),2
Cornelius Lucas,OT,6-8,328,7/18/1991 (32),10
David Nwaogwugwu,OT,6-5,301,—,R
Trent Scott,OT,6-5,320,1/25/1994 (30),7
Andrew Wylie,OT,6-6,309,8/19/1994 (29),7
Nick Allegretti,OG,6-4,320,4/21/1996 (28),6
Brandon Coleman,OG,6-6,320,—,R
Samuel Cosmi,OG,6-6,309,2/16/1999 (25),4
Braeden Daniels,OG,6-4,297,8/22/2000 (23),2
Michael Deiter,OG,6-6,310,9/3/1996 (27),6
Chris Paul,OG,6-4,324,11/19/1998 (25),3
Jonathan Allen,DE,6-3,300,1/16/1995 (29),8
Dorance Armstrong,DE,6-4,255,6/10/1997 (27),7
Clelin Ferrell,DE,6-4,265,5/17/1997 (27),6
Dante Fowler,DE,6-3,261,8/3/1994 (29),10
Jalen Harris,DE,6-4,257,2/26/1999 (25),2
K.J. Henry,DE,6-4,255,1/27/1999 (25),2
Javontae Jean-Baptiste,DE,6-5,260,5/16/2000 (24),R
Andre Jones,DE,6-5,258,10/25/1998 (25),2
Efe Obada,DE,6-6,265,4/13/1992 (32),7
Benning Potoa'e,DE,6-3,290,9/17/1996 (27),1
Phidarian Mathis,DT,6-4,312,4/26/1998 (26),3
Johnny Newton,DT,6-2,295,8/31/2002 (21),R
Norell Pollard,DT,6-1,260,—,R
John Ridgeway,DT,6-5,321,5/7/1999 (25),3
Daron Payne,NT,6-3,320,5/27/1997 (27),7
Haggai Ndubuisi,DL,6-6,298,10/15/2000 (23),1
Bobby Wagner,MLB,6-0,242,6/27/1990 (34),13
Bo Bauer,LB,6-3,253,—,R
Jamin Davis,LB,6-4,234,12/12/1998 (25),4
Keandre Jones,LB,6-3,220,9/24/1997 (26),2
Frankie Luvu,LB,6-3,236,9/19/1996 (27),7
Jordan Magee,LB,6-3,226,3/24/2001 (23),R
Anthony Pittman,LB,6-3,224,11/24/1996 (27),4
Mykal Walker,LB,6-3,230,8/28/1997 (26),5
Tariq Castro-Fields,CB,6-1,197,1/14/1999 (25),3
Michael Davis,CB,6-2,195,1/6/1995 (29),8
Emmanuel Forbes,CB,6-0,180,1/13/2001 (23),2
Christian Holmes,CB,6-1,205,11/14/1997 (26),3
Noah Igbinoghene,CB,5-11,197,11/27/1999 (24),5
K KellyKyu,CB,6-0,193,5/22/2001 (23),2
Jartavius Martin,CB,6-0,195,4/17/2000 (24),2
James Pierre,CB,6-2,185,9/16/1996 (27),5
Mike Sainristil,CB,5-10,182,10/3/2000 (23),R
Benjamin St-Juste,CB,6-3,200,9/8/1997 (26),4
Chigozie Anusiem,DB,6-1,200,—,R
Ben Nikkel,DB,6-1,210,—,R
Tyler Owens,DB,6-2,213,5/12/2001 (23),R
Jeremy Reaves,DB,5-11,200,8/29/1996 (27),5
Nick Whiteside,DB,6-1,200,5/1/2000 (24),1
A.J. Woods,DB,5-9,186,3/28/2001 (23),R
Percy Butler,SAF,6-0,191,5/5/2000 (24),3
Jeremy Chinn,SAF,6-3,220,2/26/1998 (26),5
Darrick Forrest,SAF,5-11,200,5/22/1999 (25),4
Dominique Hampton,SAF,6-3,220,7/25/2000 (23),R
Ramiz Ahmed,K,6-0,190,7/27/1995 (28),1
Tress Way,P,6-1,220,4/18/1990 (34),11
Tyler Ott,LS,6-3,253,2/28/1992 (32),10
