A.J. Terrell,ATL,"$12,344,000",ATerrellATL
Andrew Stueber,ATL,"$795,000",AStueberATL
Anthony Johnson,ATL,"$795,000",AJohnsonATL
Antonio Hamilton,ATL,"$1,152,500",AHamiltonATL
Arnold Ebiketie,ATL,"$2,405,098",AEbiketieATL
Arnold Tarpley III,ATL,"$795,000",ATarpleyATL
Austin Mack,ATL,"$927,000",AMackATL
Austin Stogner,ATL,"$797,333",AStognerATL
Avery Williams,ATL,"$1,115,038",AWilliamsATL
Barry Wesley,ATL,"$795,000",BWesleyATL
Bijan Robinson,ATL,"$4,990,578",BRobinsonATL
Bradlee Anae,ATL,"$985,000",BAnaeATL
Bradley Pinion,ATL,"$3,000,000",BPinionATL
Bralen Trice,ATL,"$1,078,134",BTriceATL
Brandon Dorlus,ATL,"$1,000,599",BDorlusATL
Carlos Washington Jr.,ATL,"$795,000",CWashingtonATL
Casey Washington,ATL,"$843,399",CWashingtonATL
Charlie Woerner,ATL,"$2,500,000",CWoernerATL
Chris Blair,ATL,"$795,000",CBlairATL
Chris Lindstrom,ATL,"$18,000,000",CLindstromATL
Clark Phillips III,ATL,"$1,108,383",CPhillipsATL
Dane Cruikshank,ATL,"$985,000",DCruikshankATL
Darnell Mooney,ATL,"$7,450,000",DMooneyATL
David Onyemata,ATL,"$12,500,000",DOnyemataATL
Daylen Baldwin,ATL,"$795,000",DBaldwinATL
DeAngelo Malone,ATL,"$1,426,249",DMaloneATL
DeMarcco Hellams,ATL,"$941,575",DHellamsATL
Dee Alford,ATL,"$988,500",DAlfordATL
Demone Harris,ATL,"$985,000",DHarrisATL
Donavan Mutin,ATL,"$795,000",DMutinATL
Drake London,ATL,"$5,873,038",DLondonATL
Drew Dalman,ATL,"$3,310,181",DDalmanATL
Dylan Drummond,ATL,"$795,000",DDrummondATL
Eddie Goldman,ATL,"$985,000",EGoldmanATL
Grady Jarrett,ATL,"$20,375,000",GJarrettATL
Harrison Hand,ATL,"$1,055,000",HHandATL
Isaiah Wooden,ATL,"$800,000",IWoodenATL
J.D. Bertrand,ATL,"$882,506",JBertrandATL
Jake Matthews,ATL,"$21,773,713",JMatthewsATL
James Smith-Williams,ATL,"$1,152,500",JSmith-WilliamsATL
Jaryd Jones-Smith,ATL,"$985,000",JJones-SmithATL
Jase McClellan,ATL,"$843,592",JMcClellanATL
Jayden Price,ATL,"$798,333",JPriceATL
Jessie Bates III,ATL,"$17,500,000",JBatesATL
John FitzPatrick,ATL,"$1,018,003",JFitzPatrickATL
John Leglue,ATL,"$915,000",JLeglueATL
John Paddock,ATL,"$796,666",JPaddockATL
Josh Ali,ATL,"$915,000",JAliATL
Jovaughn Gwyn,ATL,"$941,457",JGwynATL
Kaden Elliss,ATL,"$8,500,000",KEllissATL
Kaleb McGary,ATL,"$12,500,000",KMcGaryATL
Kehinde Oginni,ATL,"$795,000",KOginniATL
Kentavius Street,ATL,"$1,685,000",KStreetATL
Kevin King,ATL,"$985,000",KKingATL
KhaDarel Hodge,ATL,"$1,152,500",KHodgeATL
Kirk Cousins,ATL,"$25,000,000",KCousinsATL
Kyle Hinton,ATL,"$1,035,000",KHintonATL
Kyle Pitts,ATL,"$10,471,522",KPittsATL
Lacale London,ATL,"$915,000",LLondonATL
Liam McCullough,ATL,"$985,000",LMcCulloughATL
Lorenzo Carter,ATL,"$4,750,000",LCarterATL
Lukas Denis,ATL,"$795,000",LDenisATL
Matthew Bergeron,ATL,"$2,040,564",MBergeronATL
Micah Abernathy,ATL,"$985,000",MAbernathyATL
Michael Penix Jr.,ATL,"$4,160,479",MPenixATL
Mike Hughes,ATL,"$3,845,000",MHughesATL
Milo Eifler,ATL,"$985,000",MEiflerATL
Nate Landman,ATL,"$985,000",NLandmanATL
Natrone Brooks,ATL,"$795,000",NBrooksATL
Odieu Hiliare,ATL,"$795,000",OHiliareATL
Prince Emili,ATL,"$802,500",PEmiliATL
Ray-Ray McCloud,ATL,"$1,805,000",RMcCloudATL
Richie Grant,ATL,"$3,959,341",RGrantATL
Robert Burns,ATL,"$795,000",RBurnsATL
Rondale Moore,ATL,"$1,604,217",RMooreATL
Ross Dwelley,ATL,"$1,134,500",RDwelleyATL
Ruke Orhorhoro,ATL,"$1,802,932",ROrhorhoroATL
Ryan Coll,ATL,"$797,666",RCollATL
Ryan Neuzil,ATL,"$985,000",RNeuzilATL
Ryan Sanborn,ATL,"$795,500",RSanbornATL
Storm Norton,ATL,"$1,152,500",SNortonATL
Ta'Quon Graham,ATL,"$1,142,653",TGrahamATL
Taylor Heinicke,ATL,"$4,530,000",THeinickeATL
Tommy Togiai,ATL,"$1,055,000",TTogiaiATL
Trey Vaval,ATL,"$800,000",TVavalATL
Troy Andersen,ATL,"$1,664,611",TAndersenATL
Tyler Allgeier,ATL,"$1,068,472",TAllgeierATL
Tyler Vrabel,ATL,"$915,000",TVrabelATL
Younghoe Koo,ATL,"$5,250,000",YKooATL
Zach Harrison,ATL,"$1,265,556",ZHarrisonATL
Zion Logue,ATL,"$840,358",ZLogueATL
