Aaron Brewer,ARI,"$1,152,500"
Andre Baccellia,ARI,"$985,000"
Andre Chachere,ARI,"$1,055,000"
Austen Pleasants,ARI,"$795,000"
B.J. Ojulari,ARI,"$1,954,003"
Ben Stille,ARI,"$985,000"
Bernhard Seikovits,ARI,"$795,000"
Bilal Nichols,ARI,"$5,005,000"
Blake Gillikin,ARI,"$1,600,000"
Blake Whiteheart,ARI,"$915,000"
Bobby Price,ARI,"$1,060,294"
Budda Baker,ARI,"$19,025,000"
Cameron Thomas,ARI,"$1,403,002"
Carter O'Donnell,ARI,"$915,000"
Chris Moore,ARI,"$2,000,000"
Christian Jones,ARI,"$872,614"
Clayton Tune,ARI,"$1,002,656"
Dadrion Taylor-Demerson,ARI,"$1,006,711"
Dan Chisena,ARI,"$1,055,000"
Daniel Arias,ARI,"$795,000"
Dante Stills,ARI,"$948,333"
Darius Robinson,ARI,"$2,521,696"
Darren Hall,ARI,"$985,000"
DeeJay Dallas,ARI,"$2,083,333"
Dennis Daley,ARI,"$1,775,000"
Dennis Gardeck,ARI,"$3,766,668"
Desmond Ridder,ARI,"$1,192,542"
Divaad Wilson,ARI,"$915,000"
Elijah Higgins,ARI,"$915,000"
Elijah Jones,ARI,"$1,033,730"
Elijah Wilkinson,ARI,"$1,825,000"
Emari Demercado,ARI,"$920,000"
Evan Brown,ARI,"$2,335,000"
Garrett Williams,ARI,"$1,280,666"
Greg Dortch,ARI,"$985,000"
Hjalte Froholdt,ARI,"$3,785,000"
Isaiah Adams,ARI,"$1,086,323"
Jackson Barton,ARI,"$985,000"
Jaden Davis,ARI,"$823,024"
Jalen Thompson,ARI,"$12,467,750"
James Conner,ARI,"$8,930,000"
Jeff Smith,ARI,"$1,055,000"
Jesse Luketa,ARI,"$985,000"
Joe Shimko,ARI,"$796,666"
Joey Blount,ARI,"$985,000"
Jon Gaines,ARI,"$978,060"
Jonah Williams,ARI,"$6,610,000"
Justin Jones,ARI,"$6,555,000"
Kei'Trel Clark,ARI,"$967,150"
Keith Ismael,ARI,"$1,105,000"
Kelvin Beachum,ARI,"$2,577,500"
Khyiris Tonga,ARI,"$1,690,000"
Krys Barnes,ARI,"$1,148,529"
Kyler Murray,ARI,"$49,118,177"
Kyzir White,ARI,"$6,750,000"
L.J. Collier,ARI,"$1,018,382"
Mack Wilson,ARI,"$3,416,666"
Markus Bailey,ARI,"$985,000"
Marquis Hayes,ARI,"$795,000"
Marvin Harrison Jr.,ARI,"$6,431,771"
Matt Prater,ARI,"$4,750,000"
Max Melton,ARI,"$1,616,056"
Michael Carter,ARI,"$3,116,000"
Michael Ojemudia,ARI,"$1,055,000"
Michael Wilson,ARI,"$1,213,514"
Myles Murphy,ARI,"$808,333"
Naquan Jones,ARI,"$1,055,000"
Owen Pappoe,ARI,"$976,245"
Paris Johnson Jr.,ARI,"$6,375,559"
Phil Hoskins,ARI,"$1,055,000"
Roy Lopez,ARI,"$1,055,000"
Sean Murphy-Bunting,ARI,"$5,955,000"
Starling Thomas V,ARI,"$915,000"
Tejhaun Palmer,ARI,"$841,307"
Tip Reiman,ARI,"$1,052,711"
Tony Jones,ARI,"$1,055,000"
Travis Vokolek,ARI,"$915,000"
Trevor Nowaske,ARI,"$915,000"
Trey Benson,ARI,"$795,000"
Trey McBride,ARI,"$1,718,089"
Trystan Colon,ARI,"$1,705,882"
Tyreek Maddox-Williams,ARI,"$915,000"
Tyreke Smith,ARI,"$915,000"
Verone McKinley,ARI,"$915,000"
Victor Dimukeje,ARI,"$1,095,465"
Will Hernandez,ARI,"$5,325,000"
Xavier Thomas,ARI,"$888,223"
Xavier Weaver,ARI,"$805,000"
Zach Pascal,ARI,"$2,670,000"
Zaven Collins,ARI,"$4,674,172"
Zay Jones,ARI,"$2,090,000"
