A.J. Terrell,ATL,"$12,344,000"
Andrew Stueber,ATL,"$795,000"
Anthony Johnson,ATL,"$795,000"
Antonio Hamilton,ATL,"$1,152,500"
Arnold Ebiketie,ATL,"$2,405,098"
Arnold Tarpley III,ATL,"$795,000"
Austin Mack,ATL,"$927,000"
Austin Stogner,ATL,"$797,333"
Avery Williams,ATL,"$1,115,038"
Barry Wesley,ATL,"$795,000"
Bijan Robinson,ATL,"$4,990,578"
Bradlee Anae,ATL,"$985,000"
Bradley Pinion,ATL,"$3,000,000"
Bralen Trice,ATL,"$1,078,134"
Brandon Dorlus,ATL,"$1,000,599"
Carlos Washington Jr.,ATL,"$795,000"
Casey Washington,ATL,"$843,399"
Charlie Woerner,ATL,"$2,500,000"
Chris Blair,ATL,"$795,000"
Chris Lindstrom,ATL,"$18,000,000"
Clark Phillips III,ATL,"$1,108,383"
Dane Cruikshank,ATL,"$985,000"
Darnell Mooney,ATL,"$7,450,000"
David Onyemata,ATL,"$12,500,000"
Daylen Baldwin,ATL,"$795,000"
DeAngelo Malone,ATL,"$1,426,249"
DeMarcco Hellams,ATL,"$941,575"
Dee Alford,ATL,"$988,500"
Demone Harris,ATL,"$985,000"
Donavan Mutin,ATL,"$795,000"
Drake London,ATL,"$5,873,038"
Drew Dalman,ATL,"$3,310,181"
Dylan Drummond,ATL,"$795,000"
Eddie Goldman,ATL,"$985,000"
Grady Jarrett,ATL,"$20,375,000"
Harrison Hand,ATL,"$1,055,000"
Isaiah Wooden,ATL,"$800,000"
J.D. Bertrand,ATL,"$882,506"
Jake Matthews,ATL,"$21,773,713"
James Smith-Williams,ATL,"$1,152,500"
Jaryd Jones-Smith,ATL,"$985,000"
Jase McClellan,ATL,"$843,592"
Jayden Price,ATL,"$798,333"
Jessie Bates III,ATL,"$17,500,000"
John FitzPatrick,ATL,"$1,018,003"
John Leglue,ATL,"$915,000"
John Paddock,ATL,"$796,666"
Josh Ali,ATL,"$915,000"
Jovaughn Gwyn,ATL,"$941,457"
Kaden Elliss,ATL,"$8,500,000"
Kaleb McGary,ATL,"$12,500,000"
Kehinde Oginni,ATL,"$795,000"
Kentavius Street,ATL,"$1,685,000"
Kevin King,ATL,"$985,000"
KhaDarel Hodge,ATL,"$1,152,500"
Kirk Cousins,ATL,"$25,000,000"
Kyle Hinton,ATL,"$1,035,000"
Kyle Pitts,ATL,"$10,471,522"
Lacale London,ATL,"$915,000"
Liam McCullough,ATL,"$985,000"
Lorenzo Carter,ATL,"$4,750,000"
Lukas Denis,ATL,"$795,000"
Matthew Bergeron,ATL,"$2,040,564"
Micah Abernathy,ATL,"$985,000"
Michael Penix Jr.,ATL,"$4,160,479"
Mike Hughes,ATL,"$3,845,000"
Milo Eifler,ATL,"$985,000"
Nate Landman,ATL,"$985,000"
Natrone Brooks,ATL,"$795,000"
Odieu Hiliare,ATL,"$795,000"
Prince Emili,ATL,"$802,500"
Ray-Ray McCloud,ATL,"$1,805,000"
Richie Grant,ATL,"$3,959,341"
Robert Burns,ATL,"$795,000"
Rondale Moore,ATL,"$1,604,217"
Ross Dwelley,ATL,"$1,134,500"
Ruke Orhorhoro,ATL,"$1,802,932"
Ryan Coll,ATL,"$797,666"
Ryan Neuzil,ATL,"$985,000"
Ryan Sanborn,ATL,"$795,500"
Storm Norton,ATL,"$1,152,500"
Ta'Quon Graham,ATL,"$1,142,653"
Taylor Heinicke,ATL,"$4,530,000"
Tommy Togiai,ATL,"$1,055,000"
Trey Vaval,ATL,"$800,000"
Troy Andersen,ATL,"$1,664,611"
Tyler Allgeier,ATL,"$1,068,472"
Tyler Vrabel,ATL,"$915,000"
Younghoe Koo,ATL,"$5,250,000"
Zach Harrison,ATL,"$1,265,556"
Zion Logue,ATL,"$840,358"
