A.J. Epenesa,BUF,"$3,960,000"
Alec Anderson,BUF,"$919,250"
Andy Isabella,BUF,"$993,000"
Austin Johnson,BUF,"$2,276,666"
Baylon Spector,BUF,"$1,010,932"
Branson Deen,BUF,"$798,333"
Bryan Thompson,BUF,"$799,500"
Cameron Lewis,BUF,"$1,481,500"
Casey Toohill,BUF,"$1,015,000"
Chase Claypool,BUF,"$1,085,000"
Christian Benford,BUF,"$1,033,570"
Cole Bishop,BUF,"$1,190,545"
Connor McGovern,BUF,"$4,160,000"
Curtis Samuel,BUF,"$3,405,000"
DaQuan Jones,BUF,"$4,500,000"
Daequan Hardy,BUF,"$829,597"
Dalton Kincaid,BUF,"$3,051,600"
Damar Hamlin,BUF,"$1,095,119"
Darrynton Evans,BUF,"$1,055,000"
David Edwards,BUF,"$2,295,000"
David Ugwoegbu,BUF,"$801,666"
Dawson Knox,BUF,"$7,728,000"
Dawuane Smoot,BUF,"$1,468,000"
DeShawn Williams,BUF,"$1,015,000"
DeWayne Carter,BUF,"$1,021,463"
Dee Delaney,BUF,"$985,000"
Deion Jones,BUF,"$985,000"
Dion Dawkins,BUF,"$11,509,833"
Dorian Williams,BUF,"$1,223,365"
Ed Oliver,BUF,"$9,725,000"
Edefuan Ulofoshio,BUF,"$873,506"
Eli Ankou,BUF,"$992,500"
Frank Gore Jr.,BUF,"$800,000"
Gable Steveson,BUF,"$795,000"
Gregory Rousseau,BUF,"$3,693,515"
Gunner Britton,BUF,"$800,000"
Ja'Marcus Ingram,BUF,"$918,750"
Jack Browning,BUF,"$798,333"
James Cook,BUF,"$1,590,563"
Javon Solomon,BUF,"$858,569"
Joe Andreessen,BUF,"$795,833"
Josh Allen,BUF,"$30,356,281"
Justin Shorter,BUF,"$875,987"
K.J. Hamler,BUF,"$1,055,000"
Kaiir Elam,BUF,"$3,733,858"
Kameron Cline,BUF,"$919,500"
Keaton Bills,BUF,"$803,333"
Kendall Williamson,BUF,"$797,500"
Keni-H Lovely,BUF,"$799,333"
Keon Coleman,BUF,"$1,831,683"
Kevin Jarvis,BUF,"$799,500"
Khalil Shakir,BUF,"$1,071,788"
Kingsley Jonathan,BUF,"$986,750"
Kyron Brown,BUF,"$994,000"
La'el Collins,BUF,"$1,580,000"
Lawrence Keys,BUF,"$798,333"
Mack Hollins,BUF,"$2,480,000"
Marquez Valdes-Scantling,BUF,"$1,350,000"
Matt Milano,BUF,"$12,437,000"
Mike Edwards,BUF,"$799,333"
Mike Edwards,BUF,"$2,800,000"
Mitchell Trubisky,BUF,"$2,000,000"
Nicholas Morrow,BUF,"$1,500,000"
O'Cyrus Torrence,BUF,"$1,413,859"
Quintin Morris,BUF,"$985,000"
Rasul Douglas,BUF,"$3,348,529"
Ray Davis,BUF,"$973,297"
Reggie Gilliam,BUF,"$2,232,334"
Reid Ferguson,BUF,"$1,212,500"
Richard Gouraige,BUF,"$799,500"
Rondell Bothroyd,BUF,"$798,333"
Ryan Van Demark,BUF,"$919,500"
Sam Martin,BUF,"$2,050,000"
Sedrick Van Pran-Granger,BUF,"$883,813"
Shane Buechele,BUF,"$1,025,000"
Shayne Simon,BUF,"$795,000"
Spencer Brown,BUF,"$3,585,036"
Taron Johnson,BUF,"$8,447,500"
Taylor Rapp,BUF,"$2,841,666"
Te'Cory Couch,BUF,"$801,666"
Terrel Bernard,BUF,"$1,399,872"
Travis Clayton,BUF,"$825,396"
Tre' McKitty,BUF,"$1,059,000"
Ty Johnson,BUF,"$1,152,500"
Tylan Grable,BUF,"$837,478"
Tyler Bass,BUF,"$4,420,000"
Tyrell Shavers,BUF,"$799,500"
Von Miller,BUF,"$15,154,000"
Will Clapp,BUF,"$1,152,500"
Xavier Johnson,BUF,"$798,333"
Zach Davidson,BUF,"$799,500"
