Adrian Colbert,CHI,"$985,000",AColbertCHI
Amen Ogbongbemiga,CHI,"$2,070,588",AOgbongbemigaCHI
Andrew Billings,CHI,"$3,500,000",ABillingsCHI
Austin Booker,CHI,"$882,284",ABookerCHI
Austin Reed,CHI,"$796,666",AReedCHI
Aviante Collins,CHI,"$985,000",ACollinsCHI
Bill Murray,CHI,"$915,000",BMurrayCHI
Braxton Jones,CHI,"$1,059,887",BJonesCHI
Brenden Bates,CHI,"$798,333",BBatesCHI
Brett Rypien,CHI,"$985,000",BRypienCHI
Byron Cowart,CHI,"$985,000",BCowartCHI
Cairo Santos,CHI,"$4,260,000",CSantosCHI
Caleb Williams,CHI,"$795,000",CWilliamsCHI
Cameron Lyons,CHI,"$795,000",CLyonsCHI
Carl Jones Jr.,CHI,"$801,666",CJonesCHI
Cole Kmet,CHI,"$11,600,000",CKmetCHI
Coleman Shelton,CHI,"$3,500,000",CSheltonCHI
Collin Johnson,CHI,"$1,055,000",CJohnsonCHI
Corliss Waitman,CHI,"$985,000",CWaitmanCHI
D'Andre Swift,CHI,"$5,803,333",DSwiftCHI
D.J. Moore,CHI,"$16,050,000",DMooreCHI
Daniel Hardy,CHI,"$915,000",DHardyCHI
Dante Pettis,CHI,"$985,000",DPettisCHI
Darnell Wright,CHI,"$4,765,516",DWrightCHI
Dashaun Mallory,CHI,"$795,000",DMalloryCHI
DeAndre Carter,CHI,"$1,060,000",DCarterCHI
DeMarcus Walker,CHI,"$8,666,666",DWalkerCHI
Dominique Robinson,CHI,"$1,053,288",DRobinsonCHI
Doug Kramer,CHI,"$915,000",DKramerCHI
Douglas Coleman III,CHI,"$795,000",DColemanCHI
Elijah Hicks,CHI,"$1,004,253",EHicksCHI
Freddie Swain,CHI,"$1,055,000",FSwainCHI
Gerald Everett,CHI,"$5,460,000",GEverettCHI
Gervon Dexter,CHI,"$1,528,121",GDexterCHI
Greg Stroman,CHI,"$1,055,000",GStromanCHI
Ian Wheeler,CHI,"$797,500",IWheelerCHI
Ja'Tyre Carter,CHI,"$1,012,328",JCarterCHI
Jack Sanborn,CHI,"$987,500",JSanbornCHI
Jacob Martin,CHI,"$1,152,500",JMartinCHI
Jake Curhan,CHI,"$1,055,000",JCurhanCHI
Jamree Kromah,CHI,"$805,000",JKromahCHI
Jaquan Brisker,CHI,"$2,006,057",JBriskerCHI
Jaylon Johnson,CHI,"$13,000,000",JJohnsonCHI
Jaylon Jones,CHI,"$985,834",JJonesCHI
Jerome Carvin,CHI,"$795,000",JCarvinCHI
John Jackson,CHI,"$795,000",JJacksonCHI
Jonathan Owens,CHI,"$1,875,000",JOwensCHI
Josh Blackwell,CHI,"$985,000",JBlackwellCHI
Keenan Allen,CHI,"$23,100,000",KAllenCHI
Keith Randolph,CHI,"$801,666",KRandolphCHI
Kevin Byard,CHI,"$6,470,000",KByardCHI
Khalid Kareem,CHI,"$985,000",KKareemCHI
Khalil Herbert,CHI,"$1,087,676",KHerbertCHI
Khari Blasingame,CHI,"$1,600,000",KBlasingameCHI
Kiran Amegadjie,CHI,"$1,075,331",KAmegadjieCHI
Kyler Gordon,CHI,"$2,368,072",KGordonCHI
Larry Borom,CHI,"$3,199,269",LBoromCHI
Leon Jones,CHI,"$795,000",LJonesCHI
Marcedes Lewis,CHI,"$2,000,000",MLewisCHI
Matt Pryor,CHI,"$1,035,000",MPryorCHI
Micah Baskerville,CHI,"$915,000",MBaskervilleCHI
Michael Dwumfour,CHI,"$985,000",MDwumfourCHI
Montez Sweat,CHI,"$25,085,294",MSweatCHI
Nate Davis,CHI,"$11,352,941",NDavisCHI
Noah Sewell,CHI,"$996,237",NSewellCHI
Nsimba Webster,CHI,"$1,055,000",NWebsterCHI
Patrick Scales,CHI,"$1,152,500",PScalesCHI
Paul Moala,CHI,"$795,000",PMoalaCHI
Peter Leblanc,CHI,"$795,833",PLeblancCHI
Quindell Johnson,CHI,"$915,000",QJohnsonCHI
Reddy Steward,CHI,"$799,166",RStewardCHI
Rome Odunze,CHI,"$795,000",ROdunzeCHI
Roschon Johnson,CHI,"$1,107,172",RJohnsonCHI
Ryan Bates,CHI,"$4,000,000",RBatesCHI
Stephen Carlson,CHI,"$985,000",SCarlsonCHI
T.J. Edwards,CHI,"$7,500,000",TEdwardsCHI
Tarvarius Moore,CHI,"$985,000",TMooreCHI
Terell Smith,CHI,"$983,971",TSmithCHI
Teven Jenkins,CHI,"$2,668,861",TJenkinsCHI
Theo Benedet,CHI,"$801,666",TBenedetCHI
Tommy Sweeney,CHI,"$985,000",TSweeneyCHI
Tory Taylor,CHI,"$981,975",TTaylorCHI
Travis Homer,CHI,"$2,110,294",THomerCHI
Tremaine Edmunds,CHI,"$22,437,500",TEdmundsCHI
Tyler Scott,CHI,"$1,080,862",TScottCHI
Tyrique Stevenson,CHI,"$1,465,796",TStevensonCHI
Tyson Bagent,CHI,"$923,333",TBagentCHI
Velus Jones Jr.,CHI,"$1,474,343",VJonesCHI
Zacch Pickens,CHI,"$1,309,951",ZPickensCHI
