Aaron Casey,CIN,"$800,000",ACaseyCIN
Akeem Davis-Gaither,CIN,"$2,544,382",ADavis-GaitherCIN
Alex Cappa,CIN,"$9,250,000",ACappaCIN
Allan George,CIN,"$915,000",AGeorgeCIN
Amarius Mims,CIN,"$795,000",AMimsCIN
Andrei Iosivas,CIN,"$954,848",AIosivasCIN
Austin McNamara,CIN,"$800,000",AMcNamaraCIN
B.J. Hill,CIN,"$10,833,334",BHillCIN
Brad Robbins,CIN,"$948,333",BRobbinsCIN
Cal Adomitis,CIN,"$985,000",CAdomitisCIN
Cam Grandy,CIN,"$796,666",CGrandyCIN
Cam Taylor-Britt,CIN,"$1,623,472",CTaylor-BrittCIN
Cameron Sample,CIN,"$1,252,037",CSampleCIN
Cedric Johnson,CIN,"$829,597",CJohnsonCIN
Charlie Jones,CIN,"$1,084,694",CJonesCIN
Chase Brown,CIN,"$986,539",CBrownCIN
Chris Evans,CIN,"$1,098,222",CEvansCIN
Cody Ford,CIN,"$1,350,000",CFordCIN
Cole Burgess,CIN,"$800,000",CBurgessCIN
Cordell Volson,CIN,"$1,149,220",CVolsonCIN
D'Ante Smith,CIN,"$1,179,836",DSmithCIN
D.J. Ivey,CIN,"$935,164",DIveyCIN
D.J. Turner,CIN,"$1,400,009",DTurnerCIN
Daijahn Anthony,CIN,"$824,446",DAnthonyCIN
Daxton Hill,CIN,"$3,181,914",DHillCIN
Devin Cochran,CIN,"$795,000",DCochranCIN
Devin Harper,CIN,"$985,000",DHarperCIN
Devonnsha Maxwell,CIN,"$803,333",DMaxwellCIN
Domenique Davis,CIN,"$795,000",DDavisCIN
Drew Sample,CIN,"$4,900,000",DSampleCIN
Elijah Collins,CIN,"$797,666",ECollinsCIN
Eric Miller,CIN,"$796,666",EMillerCIN
Erick All,CIN,"$993,276",EAllCIN
Evan McPherson,CIN,"$1,140,929",EMcPhersonCIN
Geno Stone,CIN,"$6,025,000",GStoneCIN
Germaine Pratt,CIN,"$7,133,333",GPrattCIN
Ja'Marr Chase,CIN,"$9,806,250",JChaseCIN
Jackson Carman,CIN,"$2,370,442",JCarmanCIN
Jake Browning,CIN,"$915,000",JBrowningCIN
Jalen Davis,CIN,"$1,225,000",JDavisCIN
Jaxson Kirkland,CIN,"$795,000",JKirklandCIN
Jay Tufele,CIN,"$1,055,000",JTufeleCIN
Jeffrey Gunter,CIN,"$915,000",JGunterCIN
Jermaine Burton,CIN,"$1,058,345",JBurtonCIN
Joe Bachie,CIN,"$1,135,000",JBachieCIN
Joe Burrow,CIN,"$29,551,112",JBurrowCIN
Jordan Battle,CIN,"$1,210,231",JBattleCIN
Joseph Ossai,CIN,"$1,652,196",JOssaiCIN
Josh Newton,CIN,"$879,319",JNewtonCIN
Justin Blazek,CIN,"$795,333",JBlazekCIN
Kendric Pryor,CIN,"$915,000",KPryorCIN
Kris Jenkins Jr.,CIN,"$1,429,175",KJenkinsCIN
Kwamie Lassiter II,CIN,"$795,000",KLassiterCIN
Lance Robinson,CIN,"$797,333",LRobinsonCIN
Logan Wilson,CIN,"$9,050,000",LWilsonCIN
Logan Woodside,CIN,"$985,000",LWoodsideCIN
Maema Njongmeta,CIN,"$800,000",MNjongmetaCIN
Matt Lee,CIN,"$820,438",MLeeCIN
McKinnley Jackson,CIN,"$1,017,511",MJacksonCIN
Michael Dowell,CIN,"$797,333",MDowellCIN
Mike Gesicki,CIN,"$2,500,000",MGesickiCIN
Mike Hilton,CIN,"$7,450,000",MHiltonCIN
Myles Murphy,CIN,"$2,860,740",MMurphyCIN
Nathan Gilliam,CIN,"$795,000",NGilliamCIN
Noah Cain,CIN,"$797,500",NCainCIN
Orlando Brown Jr.,CIN,"$16,398,000",OBrownCIN
P.J. Jules,CIN,"$796,666",PJulesCIN
Rocky Lombardi,CIN,"$798,333",RLombardiCIN
Sam Hubbard,CIN,"$10,120,588",SHubbardCIN
Shaka Heyward,CIN,"$795,000",SHeywardCIN
Shedrick Jackson,CIN,"$915,000",SJacksonCIN
Sheldon Rankins,CIN,"$11,941,177",SRankinsCIN
Tanner Hudson,CIN,"$1,152,500",THudsonCIN
Tanner McLachlan,CIN,"$840,764",TMcLachlanCIN
Ted Karras,CIN,"$7,100,000",TKarrasCIN
Tee Higgins,CIN,"$21,816,000",THigginsCIN
Travis Bell,CIN,"$915,000",TBellCIN
Trayveon Williams,CIN,"$1,152,500",TWilliamsCIN
Tre Mosley,CIN,"$796,000",TMosleyCIN
Trent Brown,CIN,"$4,397,059",TBrownCIN
Trenton Irwin,CIN,"$1,492,647",TIrwinCIN
Trey Hendrickson,CIN,"$20,166,666",THendricksonCIN
Trey Hill,CIN,"$1,103,089",THillCIN
Tycen Anderson,CIN,"$1,061,521",TAndersonCIN
Vonn Bell,CIN,"$1,210,000",VBellCIN
Zachary Carter,CIN,"$1,385,437",ZCarterCIN
Zack Moss,CIN,"$2,972,059",ZMossCIN
