Ahmarean Brown,CLE,"$801,666",ABrownCLE
Aidan Robbins,CLE,"$798,333",ARobbinsCLE
Alex Wright,CLE,"$1,443,702",AWrightCLE
Amari Cooper,CLE,"$23,776,000",ACooperCLE
Brady Breeze,CLE,"$915,000",BBreezeCLE
Brian Allen,CLE,"$985,000",BAllenCLE
Cade York,CLE,"$985,000",CYorkCLE
Caleb Johnson,CLE,"$795,000",CJohnsonCLE
Cameron Mitchell,CLE,"$999,307",CMitchellCLE
Cedric Tillman,CLE,"$1,275,105",CTillmanCLE
Charley Hughlett,CLE,"$1,383,000",CHughlettCLE
Charlie Thomas,CLE,"$915,000",CThomasCLE
Chris Edmonds,CLE,"$798,333",CEdmondsCLE
Chris Williams,CLE,"$985,000",CWilliamsCLE
Corey Bojorquez,CLE,"$1,562,500",CBojorquezCLE
D'Anthony Bell,CLE,"$987,500",DBellCLE
D'Onta Foreman,CLE,"$1,152,500",DForemanCLE
Dalvin Tomlinson,CLE,"$6,502,000",DTomlinsonCLE
David Bell,CLE,"$1,375,883",DBellCLE
David Njoku,CLE,"$9,645,000",DNjokuCLE
Dawand Jones,CLE,"$1,113,084",DJonesCLE
Denzel Ward,CLE,"$12,138,918",DWardCLE
Deshaun Watson,CLE,"$63,774,678",DWatsonCLE
Devin Bush,CLE,"$1,500,000",DBushCLE
Dorian Thompson-Robinson,CLE,"$1,000,567",DThompson-RobinsonCLE
Dustin Hopkins,CLE,"$3,540,441",DHopkinsCLE
DyShawn Gales-Cozart,CLE,"$795,000",DGales-CozartCLE
Elijah Moore,CLE,"$3,116,000",EMooreCLE
Ethan Pocic,CLE,"$3,764,000",EPocicCLE
Germain Ifedi,CLE,"$985,000",GIfediCLE
Giovanni Ricci,CLE,"$1,105,000",GRicciCLE
Grant Delpit,CLE,"$3,676,000",GDelpitCLE
Greg Newsome II,CLE,"$4,056,422",GNewsomeCLE
Hakeem Adeniji,CLE,"$985,000",HAdenijiCLE
Isaiah McGuire,CLE,"$1,092,982",IMcGuireCLE
Isaiah Thomas,CLE,"$915,000",IThomasCLE
Jack Conklin,CLE,"$10,560,407",JConklinCLE
Jaelon Darden,CLE,"$985,000",JDardenCLE
Jalen Camp,CLE,"$985,000",JCampCLE
Jamari Thrash,CLE,"$876,352",JThrashCLE
Jameis Winston,CLE,"$1,768,000",JWinstonCLE
James Hudson,CLE,"$1,253,104",JHudsonCLE
James Proche,CLE,"$985,000",JProcheCLE
Javion Cohen,CLE,"$805,000",JCohenCLE
Jedrick Wills,CLE,"$4,192,352",JWillsCLE
Jeremiah Owusu-Koramoah,CLE,"$2,060,617",JOwusu-KoramoahCLE
Jerome Ford,CLE,"$1,065,537",JFordCLE
Jerry Jeudy,CLE,"$4,700,000",JJeudyCLE
Joel Bitonio,CLE,"$12,135,000",JBitonioCLE
John Kelly,CLE,"$1,055,000",JKellyCLE
Jordan Akins,CLE,"$2,315,000",JAkinsCLE
Jordan Hicks,CLE,"$1,868,000",JHicksCLE
Jowon Briggs,CLE,"$817,141",JBriggsCLE
Juan Thornhill,CLE,"$3,784,000",JThornhillCLE
Justin Hardee,CLE,"$1,152,500",JHardeeCLE
Kahlef Hailassie,CLE,"$915,000",KHailassieCLE
Lorenzo Thompson,CLE,"$803,333",LThompsonCLE
Luke Wypler,CLE,"$959,993",LWyplerCLE
Martin Emerson,CLE,"$1,492,170",MEmersonCLE
Matt Landers,CLE,"$795,000",MLandersCLE
Maurice Hurst,CLE,"$1,740,000",MHurstCLE
Michael Dunn,CLE,"$1,152,500",MDunnCLE
Michael Hall Jr.,CLE,"$1,285,423",MHallCLE
Michael Woods,CLE,"$1,027,073",MWoodsCLE
Mohamoud Diabate,CLE,"$923,333",MDiabateCLE
Myles Garrett,CLE,"$20,168,895",MGarrettCLE
Myles Harden,CLE,"$822,583",MHardenCLE
Nathaniel Watson,CLE,"$835,681",NWatsonCLE
Nick Chubb,CLE,"$6,275,000",NChubbCLE
Nyheim Hines,CLE,"$1,495,000",NHinesCLE
Ogbonnia Okoronkwo,CLE,"$4,030,000",OOkoronkwoCLE
Pierre Strong Jr.,CLE,"$985,000",PStrongCLE
Quinton Jefferson,CLE,"$1,980,000",QJeffersonCLE
Rodney McLeod,CLE,"$1,152,500",RMcLeodCLE
Ronnie Hickman,CLE,"$921,666",RHickmanCLE
Roy Mbaeteka,CLE,"$795,000",RMbaetekaCLE
Sam Kamara,CLE,"$985,000",SKamaraCLE
Shelby Harris,CLE,"$2,276,000",SHarrisCLE
Siaki Ika,CLE,"$1,205,473",SIkaCLE
Tony Brown,CLE,"$985,000",TBrownCLE
Tony Fields II,CLE,"$1,137,438",TFieldsCLE
Treyton Welch,CLE,"$800,000",TWelchCLE
Tyler Huntley,CLE,"$1,152,500",THuntleyCLE
Vincent Gray,CLE,"$795,000",VGrayCLE
Winston Reid,CLE,"$800,000",WReidCLE
Wyatt Davis,CLE,"$985,000",WDavisCLE
Wyatt Teller,CLE,"$11,610,300",WTellerCLE
Za'Darius Smith,CLE,"$5,235,000",ZSmithCLE
Zaire Mitchell-Paden,CLE,"$795,000",ZMitchell-PadenCLE
Zak Zinter,CLE,"$1,042,680",ZZinterCLE
