A'Shawn Robinson,CAR,"$3,290,000"
Adam Thielen,CAR,"$9,917,000"
Alex Cook,CAR,"$915,000"
Amare Barno,CAR,"$1,031,352"
Andrew Raym,CAR,"$800,000"
Andy Dalton,CAR,"$4,967,000"
Austin Corbett,CAR,"$10,133,000"
Badara Traore,CAR,"$795,000"
Brady Christensen,CAR,"$3,394,778"
Bryce Young,CAR,"$8,626,153"
Cade Mays,CAR,"$1,028,267"
Cam Gill,CAR,"$1,055,000"
Cam Sims,CAR,"$985,000"
Chandler Wooten,CAR,"$985,000"
Chandler Zavala,CAR,"$1,107,934"
Chau Smith-Wade,CAR,"$875,996"
Christian Duffie,CAR,"$797,166"
Chuba Hubbard,CAR,"$3,294,293"
Claudin Cherelus,CAR,"$915,000"
Clayton Isbell,CAR,"$797,666"
D'Shawn Jamison,CAR,"$915,000"
D.J. Johnson,CAR,"$1,250,679"
D.J. Wonnum,CAR,"$4,125,000"
Daewood Davis,CAR,"$795,000"
Damien Lewis,CAR,"$4,900,000"
Dane Jackson,CAR,"$2,650,000"
David Moore,CAR,"$985,000"
Demani Richardson,CAR,"$803,333"
Derrick Brown,CAR,"$6,625,000"
Derrick Mclendon II,CAR,"$796,666"
Dicaprio Bootle,CAR,"$1,055,000"
Diontae Johnson,CAR,"$10,000,000"
Eddy Pineiro,CAR,"$2,545,000"
Eku Leota,CAR,"$915,000"
Harrison Mevis,CAR,"$796,000"
Ian Thomas,CAR,"$3,776,668"
Ihmir Smith-Marsette,CAR,"$1,410,000"
Ikem Ekwonu,CAR,"$7,518,559"
J.D. DiRenzo,CAR,"$915,000"
J.J. Jansen,CAR,"$1,152,500"
Ja'Tavion Sanders,CAR,"$1,013,559"
Jack Plummer,CAR,"$798,333"
Jackson Mitchell,CAR,"$798,333"
Jaden Crumedy,CAR,"$839,106"
Jaden Shirden,CAR,"$796,666"
Jadeveon Clowney,CAR,"$6,000,000"
Jalen Coker,CAR,"$803,333"
Jammie Robinson,CAR,"$997,383"
Jaycee Horn,CAR,"$6,717,501"
Jeremiah Crawford,CAR,"$796,666"
Johnny Hekker,CAR,"$2,733,668"
Jonathan Mingo,CAR,"$2,012,865"
Jonathon Brooks,CAR,"$1,530,378"
Jordan Fuller,CAR,"$3,250,000"
Jordan Matthews,CAR,"$985,000"
Josey Jewell,CAR,"$3,483,333"
Junior Aho,CAR,"$795,000"
K'Lavon Chaisson,CAR,"$2,500,000"
Kenny Dyson Jr.,CAR,"$797,666"
LaBryan Ray,CAR,"$915,000"
Lamar Jackson,CAR,"$985,000"
Luiji Vilain,CAR,"$985,000"
Michael Barrett,CAR,"$818,575"
Mike Boone,CAR,"$985,000"
Mike Strachan,CAR,"$1,055,000"
Miles Sanders,CAR,"$7,695,000"
Nash Jensen,CAR,"$923,333"
Nick Scott,CAR,"$1,152,500"
Nick Thurman,CAR,"$985,000"
Popo Aumavae,CAR,"$800,000"
Raheem Blackshear,CAR,"$985,000"
Rashaad Penny,CAR,"$1,152,500"
Ricky Lee,CAR,"$916,666"
Robert Hunt,CAR,"$6,450,000"
Sam Franklin,CAR,"$1,125,000"
Sam Pinckney,CAR,"$797,666"
Shaq Thompson,CAR,"$3,190,000"
Shy Tuttle,CAR,"$8,306,666"
Stephen Sullivan,CAR,"$1,055,000"
T.J. Smith,CAR,"$915,000"
Tae Davis,CAR,"$1,152,500"
Taylor Moton,CAR,"$29,747,916"
Terrace Marshall Jr.,CAR,"$1,823,017"
Tommy Tremble,CAR,"$3,351,715"
Trevin Wallace,CAR,"$1,083,606"
Troy Hill,CAR,"$1,152,500"
Ulumoo Ale,CAR,"$795,000"
Willie Drew,CAR,"$798,333"
Xavier Legette,CAR,"$2,246,759"
Xavier Woods,CAR,"$7,759,168"
Yosuah Nijman,CAR,"$2,907,500"
