Adrian Colbert,CHI,"$985,000"
Amen Ogbongbemiga,CHI,"$2,070,588"
Andrew Billings,CHI,"$3,500,000"
Austin Booker,CHI,"$882,284"
Austin Reed,CHI,"$796,666"
Aviante Collins,CHI,"$985,000"
Bill Murray,CHI,"$915,000"
Braxton Jones,CHI,"$1,059,887"
Brenden Bates,CHI,"$798,333"
Brett Rypien,CHI,"$985,000"
Byron Cowart,CHI,"$985,000"
Cairo Santos,CHI,"$4,260,000"
Caleb Williams,CHI,"$795,000"
Cameron Lyons,CHI,"$795,000"
Carl Jones Jr.,CHI,"$801,666"
Cole Kmet,CHI,"$11,600,000"
Coleman Shelton,CHI,"$3,500,000"
Collin Johnson,CHI,"$1,055,000"
Corliss Waitman,CHI,"$985,000"
D'Andre Swift,CHI,"$5,803,333"
D.J. Moore,CHI,"$16,050,000"
Daniel Hardy,CHI,"$915,000"
Dante Pettis,CHI,"$985,000"
Darnell Wright,CHI,"$4,765,516"
Dashaun Mallory,CHI,"$795,000"
DeAndre Carter,CHI,"$1,060,000"
DeMarcus Walker,CHI,"$8,666,666"
Dominique Robinson,CHI,"$1,053,288"
Doug Kramer,CHI,"$915,000"
Douglas Coleman III,CHI,"$795,000"
Elijah Hicks,CHI,"$1,004,253"
Freddie Swain,CHI,"$1,055,000"
Gerald Everett,CHI,"$5,460,000"
Gervon Dexter,CHI,"$1,528,121"
Greg Stroman,CHI,"$1,055,000"
Ian Wheeler,CHI,"$797,500"
Ja'Tyre Carter,CHI,"$1,012,328"
Jack Sanborn,CHI,"$987,500"
Jacob Martin,CHI,"$1,152,500"
Jake Curhan,CHI,"$1,055,000"
Jamree Kromah,CHI,"$805,000"
Jaquan Brisker,CHI,"$2,006,057"
Jaylon Johnson,CHI,"$13,000,000"
Jaylon Jones,CHI,"$985,834"
Jerome Carvin,CHI,"$795,000"
John Jackson,CHI,"$795,000"
Jonathan Owens,CHI,"$1,875,000"
Josh Blackwell,CHI,"$985,000"
Keenan Allen,CHI,"$23,100,000"
Keith Randolph,CHI,"$801,666"
Kevin Byard,CHI,"$6,470,000"
Khalid Kareem,CHI,"$985,000"
Khalil Herbert,CHI,"$1,087,676"
Khari Blasingame,CHI,"$1,600,000"
Kiran Amegadjie,CHI,"$1,075,331"
Kyler Gordon,CHI,"$2,368,072"
Larry Borom,CHI,"$3,199,269"
Leon Jones,CHI,"$795,000"
Marcedes Lewis,CHI,"$2,000,000"
Matt Pryor,CHI,"$1,035,000"
Micah Baskerville,CHI,"$915,000"
Michael Dwumfour,CHI,"$985,000"
Montez Sweat,CHI,"$25,085,294"
Nate Davis,CHI,"$11,352,941"
Noah Sewell,CHI,"$996,237"
Nsimba Webster,CHI,"$1,055,000"
Patrick Scales,CHI,"$1,152,500"
Paul Moala,CHI,"$795,000"
Peter Leblanc,CHI,"$795,833"
Quindell Johnson,CHI,"$915,000"
Reddy Steward,CHI,"$799,166"
Rome Odunze,CHI,"$795,000"
Roschon Johnson,CHI,"$1,107,172"
Ryan Bates,CHI,"$4,000,000"
Stephen Carlson,CHI,"$985,000"
T.J. Edwards,CHI,"$7,500,000"
Tarvarius Moore,CHI,"$985,000"
Terell Smith,CHI,"$983,971"
Teven Jenkins,CHI,"$2,668,861"
Theo Benedet,CHI,"$801,666"
Tommy Sweeney,CHI,"$985,000"
Tory Taylor,CHI,"$981,975"
Travis Homer,CHI,"$2,110,294"
Tremaine Edmunds,CHI,"$22,437,500"
Tyler Scott,CHI,"$1,080,862"
Tyrique Stevenson,CHI,"$1,465,796"
Tyson Bagent,CHI,"$923,333"
Velus Jones Jr.,CHI,"$1,474,343"
Zacch Pickens,CHI,"$1,309,951"
