Aaron Casey,CIN,"$800,000"
Akeem Davis-Gaither,CIN,"$2,544,382"
Alex Cappa,CIN,"$9,250,000"
Allan George,CIN,"$915,000"
Amarius Mims,CIN,"$795,000"
Andrei Iosivas,CIN,"$954,848"
Austin McNamara,CIN,"$800,000"
B.J. Hill,CIN,"$10,833,334"
Brad Robbins,CIN,"$948,333"
Cal Adomitis,CIN,"$985,000"
Cam Grandy,CIN,"$796,666"
Cam Taylor-Britt,CIN,"$1,623,472"
Cameron Sample,CIN,"$1,252,037"
Cedric Johnson,CIN,"$829,597"
Charlie Jones,CIN,"$1,084,694"
Chase Brown,CIN,"$986,539"
Chris Evans,CIN,"$1,098,222"
Cody Ford,CIN,"$1,350,000"
Cole Burgess,CIN,"$800,000"
Cordell Volson,CIN,"$1,149,220"
D'Ante Smith,CIN,"$1,179,836"
D.J. Ivey,CIN,"$935,164"
D.J. Turner,CIN,"$1,400,009"
Daijahn Anthony,CIN,"$824,446"
Daxton Hill,CIN,"$3,181,914"
Devin Cochran,CIN,"$795,000"
Devin Harper,CIN,"$985,000"
Devonnsha Maxwell,CIN,"$803,333"
Domenique Davis,CIN,"$795,000"
Drew Sample,CIN,"$4,900,000"
Elijah Collins,CIN,"$797,666"
Eric Miller,CIN,"$796,666"
Erick All,CIN,"$993,276"
Evan McPherson,CIN,"$1,140,929"
Geno Stone,CIN,"$6,025,000"
Germaine Pratt,CIN,"$7,133,333"
Ja'Marr Chase,CIN,"$9,806,250"
Jackson Carman,CIN,"$2,370,442"
Jake Browning,CIN,"$915,000"
Jalen Davis,CIN,"$1,225,000"
Jaxson Kirkland,CIN,"$795,000"
Jay Tufele,CIN,"$1,055,000"
Jeffrey Gunter,CIN,"$915,000"
Jermaine Burton,CIN,"$1,058,345"
Joe Bachie,CIN,"$1,135,000"
Joe Burrow,CIN,"$29,551,112"
Jordan Battle,CIN,"$1,210,231"
Joseph Ossai,CIN,"$1,652,196"
Josh Newton,CIN,"$879,319"
Justin Blazek,CIN,"$795,333"
Kendric Pryor,CIN,"$915,000"
Kris Jenkins Jr.,CIN,"$1,429,175"
Kwamie Lassiter II,CIN,"$795,000"
Lance Robinson,CIN,"$797,333"
Logan Wilson,CIN,"$9,050,000"
Logan Woodside,CIN,"$985,000"
Maema Njongmeta,CIN,"$800,000"
Matt Lee,CIN,"$820,438"
McKinnley Jackson,CIN,"$1,017,511"
Michael Dowell,CIN,"$797,333"
Mike Gesicki,CIN,"$2,500,000"
Mike Hilton,CIN,"$7,450,000"
Myles Murphy,CIN,"$2,860,740"
Nathan Gilliam,CIN,"$795,000"
Noah Cain,CIN,"$797,500"
Orlando Brown Jr.,CIN,"$16,398,000"
P.J. Jules,CIN,"$796,666"
Rocky Lombardi,CIN,"$798,333"
Sam Hubbard,CIN,"$10,120,588"
Shaka Heyward,CIN,"$795,000"
Shedrick Jackson,CIN,"$915,000"
Sheldon Rankins,CIN,"$11,941,177"
Tanner Hudson,CIN,"$1,152,500"
Tanner McLachlan,CIN,"$840,764"
Ted Karras,CIN,"$7,100,000"
Tee Higgins,CIN,"$21,816,000"
Travis Bell,CIN,"$915,000"
Trayveon Williams,CIN,"$1,152,500"
Tre Mosley,CIN,"$796,000"
Trent Brown,CIN,"$4,397,059"
Trenton Irwin,CIN,"$1,492,647"
Trey Hendrickson,CIN,"$20,166,666"
Trey Hill,CIN,"$1,103,089"
Tycen Anderson,CIN,"$1,061,521"
Vonn Bell,CIN,"$1,210,000"
Zachary Carter,CIN,"$1,385,437"
Zack Moss,CIN,"$2,972,059"
