Ahmarean Brown,CLE,"$801,666"
Aidan Robbins,CLE,"$798,333"
Alex Wright,CLE,"$1,443,702"
Amari Cooper,CLE,"$23,776,000"
Brady Breeze,CLE,"$915,000"
Brian Allen,CLE,"$985,000"
Cade York,CLE,"$985,000"
Caleb Johnson,CLE,"$795,000"
Cameron Mitchell,CLE,"$999,307"
Cedric Tillman,CLE,"$1,275,105"
Charley Hughlett,CLE,"$1,383,000"
Charlie Thomas,CLE,"$915,000"
Chris Edmonds,CLE,"$798,333"
Chris Williams,CLE,"$985,000"
Corey Bojorquez,CLE,"$1,562,500"
D'Anthony Bell,CLE,"$987,500"
D'Onta Foreman,CLE,"$1,152,500"
Dalvin Tomlinson,CLE,"$6,502,000"
David Bell,CLE,"$1,375,883"
David Njoku,CLE,"$9,645,000"
Dawand Jones,CLE,"$1,113,084"
Denzel Ward,CLE,"$12,138,918"
Deshaun Watson,CLE,"$63,774,678"
Devin Bush,CLE,"$1,500,000"
Dorian Thompson-Robinson,CLE,"$1,000,567"
Dustin Hopkins,CLE,"$3,540,441"
DyShawn Gales-Cozart,CLE,"$795,000"
Elijah Moore,CLE,"$3,116,000"
Ethan Pocic,CLE,"$3,764,000"
Germain Ifedi,CLE,"$985,000"
Giovanni Ricci,CLE,"$1,105,000"
Grant Delpit,CLE,"$3,676,000"
Greg Newsome II,CLE,"$4,056,422"
Hakeem Adeniji,CLE,"$985,000"
Isaiah McGuire,CLE,"$1,092,982"
Isaiah Thomas,CLE,"$915,000"
Jack Conklin,CLE,"$10,560,407"
Jaelon Darden,CLE,"$985,000"
Jalen Camp,CLE,"$985,000"
Jamari Thrash,CLE,"$876,352"
Jameis Winston,CLE,"$1,768,000"
James Hudson,CLE,"$1,253,104"
James Proche,CLE,"$985,000"
Javion Cohen,CLE,"$805,000"
Jedrick Wills,CLE,"$4,192,352"
Jeremiah Owusu-Koramoah,CLE,"$2,060,617"
Jerome Ford,CLE,"$1,065,537"
Jerry Jeudy,CLE,"$4,700,000"
Joel Bitonio,CLE,"$12,135,000"
John Kelly,CLE,"$1,055,000"
Jordan Akins,CLE,"$2,315,000"
Jordan Hicks,CLE,"$1,868,000"
Jowon Briggs,CLE,"$817,141"
Juan Thornhill,CLE,"$3,784,000"
Justin Hardee,CLE,"$1,152,500"
Kahlef Hailassie,CLE,"$915,000"
Lorenzo Thompson,CLE,"$803,333"
Luke Wypler,CLE,"$959,993"
Martin Emerson,CLE,"$1,492,170"
Matt Landers,CLE,"$795,000"
Maurice Hurst,CLE,"$1,740,000"
Michael Dunn,CLE,"$1,152,500"
Michael Hall Jr.,CLE,"$1,285,423"
Michael Woods,CLE,"$1,027,073"
Mohamoud Diabate,CLE,"$923,333"
Myles Garrett,CLE,"$20,168,895"
Myles Harden,CLE,"$822,583"
Nathaniel Watson,CLE,"$835,681"
Nick Chubb,CLE,"$6,275,000"
Nyheim Hines,CLE,"$1,495,000"
Ogbonnia Okoronkwo,CLE,"$4,030,000"
Pierre Strong Jr.,CLE,"$985,000"
Quinton Jefferson,CLE,"$1,980,000"
Rodney McLeod,CLE,"$1,152,500"
Ronnie Hickman,CLE,"$921,666"
Roy Mbaeteka,CLE,"$795,000"
Sam Kamara,CLE,"$985,000"
Shelby Harris,CLE,"$2,276,000"
Siaki Ika,CLE,"$1,205,473"
Tony Brown,CLE,"$985,000"
Tony Fields II,CLE,"$1,137,438"
Treyton Welch,CLE,"$800,000"
Tyler Huntley,CLE,"$1,152,500"
Vincent Gray,CLE,"$795,000"
Winston Reid,CLE,"$800,000"
Wyatt Davis,CLE,"$985,000"
Wyatt Teller,CLE,"$11,610,300"
Za'Darius Smith,CLE,"$5,235,000"
Zaire Mitchell-Paden,CLE,"$795,000"
Zak Zinter,CLE,"$1,042,680"
