Alec Holler,DAL,"$795,000",AHollerDAL
Asim Richards,DAL,"$976,245",ARichardsDAL
Brandin Cooks,DAL,"$10,000,000",BCooksDAL
Brandon Aubrey,DAL,"$915,000",BAubreyDAL
Brevyn Spann-Ford,DAL,"$801,666",BSpann-FordDAL
Brock Hoffman,DAL,"$985,000",BHoffmanDAL
Brock Mogensen,DAL,"$796,000",BMogensenDAL
Bryan Anger,DAL,"$3,800,000",BAngerDAL
Buddy Johnson,DAL,"$915,000",BJohnsonDAL
Byron Vaughns,DAL,"$796,666",BVaughnsDAL
C.J. Goodwin,DAL,"$1,152,500",CGoodwinDAL
Caelen Carson,DAL,"$858,569",CCarsonDAL
Cam Johnson,DAL,"$798,333",CJohnsonDAL
Carl Davis,DAL,"$1,068,500",CDavisDAL
CeeDee Lamb,DAL,"$17,991,000",CLambDAL
Chauncey Golston,DAL,"$1,564,368",CGolstonDAL
Chuma Edoga,DAL,"$1,152,500",CEdogaDAL
Cooper Beebe,DAL,"$1,079,949",CBeebeDAL
Cooper Rush,DAL,"$2,875,000",CRushDAL
Corey Crooms,DAL,"$796,000",CCroomsDAL
DaRon Bland,DAL,"$1,061,197",DBlandDAL
Dak Prescott,DAL,"$55,132,647",DPrescottDAL
Dakoda Shepley,DAL,"$985,000",DShepleyDAL
Damien Wilson,DAL,"$985,000",DWilsonDAL
Damone Clark,DAL,"$1,045,639",DClarkDAL
David Durden,DAL,"$798,333",DDurdenDAL
DeMarvion Overshown,DAL,"$1,225,005",DOvershownDAL
Demarcus Lawrence,DAL,"$20,445,000",DLawrenceDAL
Denzel Daxon,DAL,"$797,000",DDaxonDAL
Deuce Vaughn,DAL,"$948,333",DVaughnDAL
Donovan Wilson,DAL,"$7,370,588",DWilsonDAL
Durrell Johnson,DAL,"$795,000",DJohnsonDAL
Earl Bostick Jr.,DAL,"$795,000",EBostickDAL
Emany Johnson,DAL,"$801,666",EJohnsonDAL
Eric Kendricks,DAL,"$2,941,176",EKendricksDAL
Eric Scott,DAL,"$969,577",EScottDAL
Ezekiel Elliott,DAL,"$2,000,000",EElliottDAL
Gareon Conley,DAL,"$1,055,000",GConleyDAL
Hunter Luepke,DAL,"$921,666",HLuepkeDAL
Israel Mukuamu,DAL,"$1,087,676",IMukuamuDAL
Jake Ferguson,DAL,"$1,161,220",JFergusonDAL
Jalen Brooks,DAL,"$935,589",JBrooksDAL
Jalen Moreno-Cropper,DAL,"$795,000",JMoreno-CropperDAL
Jalen Tolbert,DAL,"$1,400,651",JTolbertDAL
Jason Johnson,DAL,"$800,000",JJohnsonDAL
John Stephens,DAL,"$796,000",JStephensDAL
Josh Ball,DAL,"$1,039,836",JBallDAL
Josh Butler,DAL,"$795,000",JButlerDAL
Josh DeBerry,DAL,"$797,000",JDeBerryDAL
Jourdan Lewis,DAL,"$1,377,500",JLewisDAL
Juanyeh Thomas,DAL,"$915,000",JThomasDAL
Julius Wood,DAL,"$800,000",JWoodDAL
Justin Rogers,DAL,"$816,910",JRogersDAL
Kavontae Turpin,DAL,"$985,000",KTurpinDAL
Luke Schoonmaker,DAL,"$1,424,245",LSchoonmakerDAL
Malik Davis,DAL,"$985,000",MDavisDAL
Malik Hooker,DAL,"$3,985,294",MHookerDAL
Marist Liufau,DAL,"$1,034,821",MLiufauDAL
Markquese Bell,DAL,"$990,000",MBellDAL
Marshawn Kneeland,DAL,"$1,242,299",MKneelandDAL
Matt Waletzko,DAL,"$995,873",MWaletzkoDAL
Mazi Smith,DAL,"$3,016,976",MSmithDAL
Micah Parsons,DAL,"$5,434,479",MParsonsDAL
Nahshon Wright,DAL,"$1,265,154",NWrightDAL
Nathan Thomas,DAL,"$821,493",NThomasDAL
Nathaniel Peat,DAL,"$796,000",NPeatDAL
Osa Odighizuwa,DAL,"$3,380,762",OOdighizuwaDAL
Peyton Hendershot,DAL,"$990,000",PHendershotDAL
Princeton Fant,DAL,"$795,000",PFantDAL
Racey McMath,DAL,"$985,000",RMcMathDAL
Rico Dowdle,DAL,"$1,255,000",RDowdleDAL
Royce Freeman,DAL,"$1,134,500",RFreemanDAL
Ryan Flournoy,DAL,"$829,597",RFlournoyDAL
Sam Williams,DAL,"$1,697,524",SWilliamsDAL
Sheldrick Redwine,DAL,"$1,055,000",SRedwineDAL
Snoop Conner,DAL,"$915,000",SConnerDAL
T.J. Bass,DAL,"$918,333",TBassDAL
Terence Steele,DAL,"$11,000,000",TSteeleDAL
Trent Sieg,DAL,"$1,152,500",TSiegDAL
Trevon Diggs,DAL,"$14,117,647",TDiggsDAL
Trey Lance,DAL,"$5,310,717",TLanceDAL
Tyler Guyton,DAL,"$2,391,965",TGuytonDAL
Tyler Smith,DAL,"$3,651,577",TSmithDAL
Tyron Johnson,DAL,"$1,055,000",TJohnsonDAL
Tyrus Wheat,DAL,"$915,000",TWheatDAL
Viliami Fehoko,DAL,"$1,087,689",VFehokoDAL
Willie Harvey,DAL,"$915,000",WHarveyDAL
Zack Martin,DAL,"$15,500,000",ZMartinDAL
