Alec Holler,DAL,"$795,000"
Asim Richards,DAL,"$976,245"
Brandin Cooks,DAL,"$10,000,000"
Brandon Aubrey,DAL,"$915,000"
Brevyn Spann-Ford,DAL,"$801,666"
Brock Hoffman,DAL,"$985,000"
Brock Mogensen,DAL,"$796,000"
Bryan Anger,DAL,"$3,800,000"
Buddy Johnson,DAL,"$915,000"
Byron Vaughns,DAL,"$796,666"
C.J. Goodwin,DAL,"$1,152,500"
Caelen Carson,DAL,"$858,569"
Cam Johnson,DAL,"$798,333"
Carl Davis,DAL,"$1,068,500"
CeeDee Lamb,DAL,"$17,991,000"
Chauncey Golston,DAL,"$1,564,368"
Chuma Edoga,DAL,"$1,152,500"
Cooper Beebe,DAL,"$1,079,949"
Cooper Rush,DAL,"$2,875,000"
Corey Crooms,DAL,"$796,000"
DaRon Bland,DAL,"$1,061,197"
Dak Prescott,DAL,"$55,132,647"
Dakoda Shepley,DAL,"$985,000"
Damien Wilson,DAL,"$985,000"
Damone Clark,DAL,"$1,045,639"
David Durden,DAL,"$798,333"
DeMarvion Overshown,DAL,"$1,225,005"
Demarcus Lawrence,DAL,"$20,445,000"
Denzel Daxon,DAL,"$797,000"
Deuce Vaughn,DAL,"$948,333"
Donovan Wilson,DAL,"$7,370,588"
Durrell Johnson,DAL,"$795,000"
Earl Bostick Jr.,DAL,"$795,000"
Emany Johnson,DAL,"$801,666"
Eric Kendricks,DAL,"$2,941,176"
Eric Scott,DAL,"$969,577"
Ezekiel Elliott,DAL,"$2,000,000"
Gareon Conley,DAL,"$1,055,000"
Hunter Luepke,DAL,"$921,666"
Israel Mukuamu,DAL,"$1,087,676"
Jake Ferguson,DAL,"$1,161,220"
Jalen Brooks,DAL,"$935,589"
Jalen Moreno-Cropper,DAL,"$795,000"
Jalen Tolbert,DAL,"$1,400,651"
Jason Johnson,DAL,"$800,000"
John Stephens,DAL,"$796,000"
Josh Ball,DAL,"$1,039,836"
Josh Butler,DAL,"$795,000"
Josh DeBerry,DAL,"$797,000"
Jourdan Lewis,DAL,"$1,377,500"
Juanyeh Thomas,DAL,"$915,000"
Julius Wood,DAL,"$800,000"
Justin Rogers,DAL,"$816,910"
Kavontae Turpin,DAL,"$985,000"
Luke Schoonmaker,DAL,"$1,424,245"
Malik Davis,DAL,"$985,000"
Malik Hooker,DAL,"$3,985,294"
Marist Liufau,DAL,"$1,034,821"
Markquese Bell,DAL,"$990,000"
Marshawn Kneeland,DAL,"$1,242,299"
Matt Waletzko,DAL,"$995,873"
Mazi Smith,DAL,"$3,016,976"
Micah Parsons,DAL,"$5,434,479"
Nahshon Wright,DAL,"$1,265,154"
Nathan Thomas,DAL,"$821,493"
Nathaniel Peat,DAL,"$796,000"
Osa Odighizuwa,DAL,"$3,380,762"
Peyton Hendershot,DAL,"$990,000"
Princeton Fant,DAL,"$795,000"
Racey McMath,DAL,"$985,000"
Rico Dowdle,DAL,"$1,255,000"
Royce Freeman,DAL,"$1,134,500"
Ryan Flournoy,DAL,"$829,597"
Sam Williams,DAL,"$1,697,524"
Sheldrick Redwine,DAL,"$1,055,000"
Snoop Conner,DAL,"$915,000"
T.J. Bass,DAL,"$918,333"
Terence Steele,DAL,"$11,000,000"
Trent Sieg,DAL,"$1,152,500"
Trevon Diggs,DAL,"$14,117,647"
Trey Lance,DAL,"$5,310,717"
Tyler Guyton,DAL,"$2,391,965"
Tyler Smith,DAL,"$3,651,577"
Tyron Johnson,DAL,"$1,055,000"
Tyrus Wheat,DAL,"$915,000"
Viliami Fehoko,DAL,"$1,087,689"
Willie Harvey,DAL,"$915,000"
Zack Martin,DAL,"$15,500,000"
