A.J. Dillon,GB,"$1,292,500"
Alex McGough,GB,"$915,000"
Anders Carlson,GB,"$954,194"
Andre Dillard,GB,"$1,125,000"
Anthony Johnson Jr.,GB,"$935,941"
Arron Mosby,GB,"$915,000"
Ben Sims,GB,"$915,000"
Benny Sapp III,GB,"$915,000"
Bo Melton,GB,"$915,000"
Brenton Cox Jr.,GB,"$918,000"
Caleb Jones,GB,"$985,000"
Carrington Valentine,GB,"$940,165"
Christian Watson,GB,"$2,520,280"
Christian Young,GB,"$795,000"
Colby Wooden,GB,"$1,106,982"
Corey Ballentine,GB,"$2,061,175"
Daniel Whelan,GB,"$915,000"
Deslin Alexandre,GB,"$795,000"
Devonte Wyatt,GB,"$3,507,595"
Dimitri Stanley,GB,"$795,000"
Donovan Jennings,GB,"$798,333"
Dontayvion Wicks,GB,"$990,636"
Edgerrin Cooper,GB,"$1,563,440"
Elgton Jenkins,GB,"$14,429,412"
Ellis Merriweather,GB,"$795,000"
Emanuel Wilson,GB,"$915,000"
Eric Stokes,GB,"$3,794,482"
Eric Wilson,GB,"$1,152,500"
Evan Williams,GB,"$995,720"
Gemon Green,GB,"$795,000"
Grant DuBose,GB,"$795,000"
Greg Joseph,GB,"$1,152,500"
Henry Pearson,GB,"$795,000"
Isaiah McDuffie,GB,"$1,087,676"
Jacob Monk,GB,"$870,404"
Jaire Alexander,GB,"$23,494,589"
James Ester,GB,"$797,666"
Jarveon Howard,GB,"$798,333"
Javon Bullard,GB,"$1,219,297"
Jayden Reed,GB,"$1,631,995"
Joel Wilson,GB,"$795,000"
Jonathan Ford,GB,"$915,000"
Jordan Love,GB,"$12,757,731"
Jordan Morgan,GB,"$2,579,199"
Josh Jacobs,GB,"$5,307,353"
Josh Myers,GB,"$3,470,571"
Julian Hicks,GB,"$795,000"
Kadeem Telfort,GB,"$795,000"
Kalen King,GB,"$815,184"
Karl Brooks,GB,"$968,007"
Keisean Nixon,GB,"$3,991,666"
Kenneth Odumegwu,GB,"$795,000"
Kenny Clark,GB,"$27,490,000"
Keshawn Banks,GB,"$795,000"
Kingsley Enagbare,GB,"$1,045,639"
Kitan Oladapo,GB,"$858,569"
Kristian Welch,GB,"$1,062,059"
Lecitus Smith,GB,"$915,000"
Lukas Van Ness,GB,"$3,951,840"
Luke Musgrave,GB,"$1,926,305"
Luke Tenuta,GB,"$985,000"
Malik Heath,GB,"$918,000"
MarShawn Lloyd,GB,"$1,034,276"
Matt Orzech,GB,"$1,125,000"
Messiah Swinson,GB,"$798,333"
Michael Pratt,GB,"$816,735"
Peter Bowden,GB,"$796,666"
Preston Smith,GB,"$14,107,000"
Quay Walker,GB,"$3,774,994"
Ralen Goforth,GB,"$798,333"
Rashan Gary,GB,"$11,146,135"
Rasheed Walker,GB,"$1,005,219"
Robert Rochell,GB,"$1,055,000"
Romeo Doubs,GB,"$1,155,979"
Royce Newman,GB,"$3,240,836"
Samori Toure,GB,"$1,004,253"
Sean Clifford,GB,"$996,045"
Sean Rhyan,GB,"$1,378,273"
Spencer Waege,GB,"$795,000"
Tedarrell Slaton,GB,"$3,186,130"
Travis Glover,GB,"$837,845"
Tucker Kraft,GB,"$1,258,621"
Ty'Ron Hopper,GB,"$1,032,368"
Tyler Coyle,GB,"$795,000"
Tyler Davis,GB,"$1,075,000"
Xavier McKinney,GB,"$7,800,000"
Zach Tom,GB,"$1,111,084"
Zayne Anderson,GB,"$1,055,000"
Zyon Gilbert,GB,"$915,000"
