Ali Gaye,HOU,"$795,000",AGayeHOU
Andrew Beck,HOU,"$3,720,588",ABeckHOU
Azeez Al-Shaair,HOU,"$4,200,000",AAl-ShaairHOU
Bennett Skowronek,HOU,"$1,055,000",BSkowronekHOU
Blake Fisher,HOU,"$1,199,169",BFisherHOU
Brandon Hill,HOU,"$795,000",BHillHOU
Brevin Jordan,HOU,"$1,143,046",BJordanHOU
British Brooks,HOU,"$800,000",BBrooksHOU
C.J. Henderson,HOU,"$1,911,765",CHendersonHOU
C.J. Stroud,HOU,"$8,245,283",CStroudHOU
Cade Stover,HOU,"$979,734",CStoverHOU
Calen Bullock,HOU,"$1,064,909",CBullockHOU
Case Keenum,HOU,"$3,294,118",CKeenumHOU
Charlie Heck,HOU,"$1,791,177",CHeckHOU
Christian Harris,HOU,"$1,458,616",CHarrisHOU
D'Angelo Ross,HOU,"$995,000",DRossHOU
Dalton Keene,HOU,"$915,000",DKeeneHOU
Dalton Schultz,HOU,"$7,941,176",DSchultzHOU
Dameon Pierce,HOU,"$1,188,858",DPierceHOU
Danielle Hunter,HOU,"$13,700,000",DHunterHOU
Dare Ogunbowale,HOU,"$1,441,176",DOgunbowaleHOU
David Sharpe,HOU,"$1,225,000",DSharpeHOU
Davis Mills,HOU,"$3,405,473",DMillsHOU
Del'Shawn Phillips,HOU,"$2,600,000",DPhillipsHOU
Denico Autry,HOU,"$6,500,000",DAutryHOU
Derek Barnett,HOU,"$1,964,706",DBarnettHOU
Derek Stingley Jr.,HOU,"$9,452,050",DStingleyHOU
Desmond King,HOU,"$1,717,647",DKingHOU
Dieter Eiselen,HOU,"$990,000",DEiselenHOU
Dylan Horton,HOU,"$1,115,261",DHortonHOU
Eric Murray,HOU,"$1,620,588",EMurrayHOU
Folorunso Fatukasi,HOU,"$3,012,254",FFatukasiHOU
Henry To'oTo'o,HOU,"$976,245",HTo'oTo'oHOU
J.J. Taylor,HOU,"$985,000",JTaylorHOU
Jacob Phillips,HOU,"$1,100,000",JPhillipsHOU
Jadon Janke,HOU,"$801,666",JJankeHOU
Jake Hansen,HOU,"$987,500",JHansenHOU
Jalen Pitre,HOU,"$2,442,119",JPitreHOU
Jamal Hill,HOU,"$842,348",JHillHOU
Jared Wayne,HOU,"$795,000",JWayneHOU
Jarrett Patterson,HOU,"$957,494",JPattersonHOU
Jawhar Jordan,HOU,"$836,360",JJordanHOU
Jaxon Janke,HOU,"$798,333",JJankeHOU
Jaylon Thomas,HOU,"$795,000",JThomasHOU
Jeff Okudah,HOU,"$4,661,765",JOkudahHOU
Jerry Hughes,HOU,"$650,000",JHughesHOU
Jimmie Ward,HOU,"$7,794,118",JWardHOU
Joe Mixon,HOU,"$5,500,000",JMixonHOU
John Metchie III,HOU,"$2,200,957",JMetchieHOU
Johnny Johnson III,HOU,"$795,000",JJohnsonHOU
Jon Weeks,HOU,"$1,152,500",JWeeksHOU
Juice Scruggs,HOU,"$1,386,161",JScruggsHOU
Ka'imi Fairbairn,HOU,"$4,382,891",KFairbairnHOU
Kamari Lassiter,HOU,"$1,639,054",KLassiterHOU
Kendrick Green,HOU,"$1,324,878",KGreenHOU
Kenyon Green,HOU,"$4,350,929",KGreenHOU
Khalil Davis,HOU,"$1,632,353",KDavisHOU
Kilian Zierer,HOU,"$798,333",KZiererHOU
Kris Boyd,HOU,"$1,538,235",KBoydHOU
Kurt Hinish,HOU,"$993,334",KHinishHOU
LaDarius Henderson,HOU,"$815,929",LHendersonHOU
Laremy Tunsil,HOU,"$25,855,882",LTunsilHOU
Lonnie Johnson Jr.,HOU,"$1,941,176",LJohnsonHOU
M.J. Stewart,HOU,"$3,367,647",MStewartHOU
Marcus Harris,HOU,"$816,370",MHarrisHOU
Mario Edwards Jr.,HOU,"$1,621,765",MEdwardsHOU
Max Tooley,HOU,"$803,333",MTooleyHOU
McTelvin Agim,HOU,"$985,000",MAgimHOU
Mike Ford,HOU,"$1,985,294",MFordHOU
Myles Bryant,HOU,"$2,000,000",MBryantHOU
Neville Hewitt,HOU,"$2,282,353",NHewittHOU
Nick Broeker,HOU,"$915,000",NBroekerHOU
Nico Collins,HOU,"$6,643,205",NCollinsHOU
Noah Brown,HOU,"$3,588,235",NBrownHOU
Pheldarius Payne,HOU,"$800,000",PPayneHOU
Robert Woods,HOU,"$9,705,882",RWoodsHOU
Shaquille Mason,HOU,"$5,868,000",SMasonHOU
Solomon Byrd,HOU,"$819,998",SByrdHOU
Stefon Diggs,HOU,"$5,876,000",SDiggsHOU
Steven Sims,HOU,"$1,242,647",SSimsHOU
Tank Dell,HOU,"$1,292,978",TDellHOU
Tarique Barnes,HOU,"$798,333",TBarnesHOU
Teagan Quitoriano,HOU,"$1,059,037",TQuitorianoHOU
Tim Boyle,HOU,"$985,000",TBoyleHOU
Tim Settle,HOU,"$2,500,000",TSettleHOU
Tommy Townsend,HOU,"$2,225,000",TTownsendHOU
Troy Hairston II,HOU,"$923,334",THairstonHOU
"Troy Pride, Jr.",HOU,"$915,000","TPride,HOU"
Tytus Howard,HOU,"$8,405,882",THowardHOU
Will Anderson Jr.,HOU,"$8,002,913",WAndersonHOU
Xavier Hutchinson,HOU,"$955,925",XHutchinsonHOU
