Ali Gaye,HOU,"$795,000"
Andrew Beck,HOU,"$3,720,588"
Azeez Al-Shaair,HOU,"$4,200,000"
Bennett Skowronek,HOU,"$1,055,000"
Blake Fisher,HOU,"$1,199,169"
Brandon Hill,HOU,"$795,000"
Brevin Jordan,HOU,"$1,143,046"
British Brooks,HOU,"$800,000"
C.J. Henderson,HOU,"$1,911,765"
C.J. Stroud,HOU,"$8,245,283"
Cade Stover,HOU,"$979,734"
Calen Bullock,HOU,"$1,064,909"
Case Keenum,HOU,"$3,294,118"
Charlie Heck,HOU,"$1,791,177"
Christian Harris,HOU,"$1,458,616"
D'Angelo Ross,HOU,"$995,000"
Dalton Keene,HOU,"$915,000"
Dalton Schultz,HOU,"$7,941,176"
Dameon Pierce,HOU,"$1,188,858"
Danielle Hunter,HOU,"$13,700,000"
Dare Ogunbowale,HOU,"$1,441,176"
David Sharpe,HOU,"$1,225,000"
Davis Mills,HOU,"$3,405,473"
Del'Shawn Phillips,HOU,"$2,600,000"
Denico Autry,HOU,"$6,500,000"
Derek Barnett,HOU,"$1,964,706"
Derek Stingley Jr.,HOU,"$9,452,050"
Desmond King,HOU,"$1,717,647"
Dieter Eiselen,HOU,"$990,000"
Dylan Horton,HOU,"$1,115,261"
Eric Murray,HOU,"$1,620,588"
Folorunso Fatukasi,HOU,"$3,012,254"
Henry To'oTo'o,HOU,"$976,245"
J.J. Taylor,HOU,"$985,000"
Jacob Phillips,HOU,"$1,100,000"
Jadon Janke,HOU,"$801,666"
Jake Hansen,HOU,"$987,500"
Jalen Pitre,HOU,"$2,442,119"
Jamal Hill,HOU,"$842,348"
Jared Wayne,HOU,"$795,000"
Jarrett Patterson,HOU,"$957,494"
Jawhar Jordan,HOU,"$836,360"
Jaxon Janke,HOU,"$798,333"
Jaylon Thomas,HOU,"$795,000"
Jeff Okudah,HOU,"$4,661,765"
Jerry Hughes,HOU,"$650,000"
Jimmie Ward,HOU,"$7,794,118"
Joe Mixon,HOU,"$5,500,000"
John Metchie III,HOU,"$2,200,957"
Johnny Johnson III,HOU,"$795,000"
Jon Weeks,HOU,"$1,152,500"
Juice Scruggs,HOU,"$1,386,161"
Ka'imi Fairbairn,HOU,"$4,382,891"
Kamari Lassiter,HOU,"$1,639,054"
Kendrick Green,HOU,"$1,324,878"
Kenyon Green,HOU,"$4,350,929"
Khalil Davis,HOU,"$1,632,353"
Kilian Zierer,HOU,"$798,333"
Kris Boyd,HOU,"$1,538,235"
Kurt Hinish,HOU,"$993,334"
LaDarius Henderson,HOU,"$815,929"
Laremy Tunsil,HOU,"$25,855,882"
Lonnie Johnson Jr.,HOU,"$1,941,176"
M.J. Stewart,HOU,"$3,367,647"
Marcus Harris,HOU,"$816,370"
Mario Edwards Jr.,HOU,"$1,621,765"
Max Tooley,HOU,"$803,333"
McTelvin Agim,HOU,"$985,000"
Mike Ford,HOU,"$1,985,294"
Myles Bryant,HOU,"$2,000,000"
Neville Hewitt,HOU,"$2,282,353"
Nick Broeker,HOU,"$915,000"
Nico Collins,HOU,"$6,643,205"
Noah Brown,HOU,"$3,588,235"
Pheldarius Payne,HOU,"$800,000"
Robert Woods,HOU,"$9,705,882"
Shaquille Mason,HOU,"$5,868,000"
Solomon Byrd,HOU,"$819,998"
Stefon Diggs,HOU,"$5,876,000"
Steven Sims,HOU,"$1,242,647"
Tank Dell,HOU,"$1,292,978"
Tarique Barnes,HOU,"$798,333"
Teagan Quitoriano,HOU,"$1,059,037"
Tim Boyle,HOU,"$985,000"
Tim Settle,HOU,"$2,500,000"
Tommy Townsend,HOU,"$2,225,000"
Troy Hairston II,HOU,"$923,334"
"Troy Pride, Jr.",HOU,"$915,000"
Tytus Howard,HOU,"$8,405,882"
Will Anderson Jr.,HOU,"$8,002,913"
Xavier Hutchinson,HOU,"$955,925"
