Adam Gotsis,JAC,"$1,565,000",AGotsisJAC
Amani Oruwariye,JAC,"$985,000",AOruwariyeJAC
Andre Carter,JAC,"$797,333",ACarterJAC
Andre Cisco,JAC,"$3,408,090",ACiscoJAC
Andrew Parker Jr.,JAC,"$800,000",AParkerJAC
Andrew Wingard,JAC,"$3,370,000",AWingardJAC
Anton Harrison,JAC,"$2,999,664",AHarrisonJAC
Antonio Johnson,JAC,"$990,458",AJohnsonJAC
Arik Armstead,JAC,"$4,426,471",AArmsteadJAC
Austin Trammell,JAC,"$985,000",ATrammellJAC
Blake Hance,JAC,"$1,355,000",BHanceJAC
Brandon Scherff,JAC,"$11,567,000",BScherffJAC
Brenton Strange,JAC,"$1,389,623",BStrangeJAC
Brevin Easton,JAC,"$796,666",BEastonJAC
Brian Thomas Jr.,JAC,"$2,665,450",BThomasJAC
C.J. Beathard,JAC,"$2,420,000",CBeathardJAC
Caleb Johnson,JAC,"$1,350,000",CJohnsonJAC
Cam Little,JAC,"$829,597",CLittleJAC
Cam Robinson,JAC,"$21,909,041",CRobinsonJAC
Chad Muma,JAC,"$1,479,850",CMumaJAC
Christian Braswell,JAC,"$956,899",CBraswellJAC
Christian Kirk,JAC,"$24,236,941",CKirkJAC
Cole Van Lanen,JAC,"$1,055,000",CVanJAC
Cooper Hodges,JAC,"$821,373",CHodgesJAC
D'Ernest Johnson,JAC,"$1,135,000",DJohnsonJAC
D.J. Coleman,JAC,"$795,000",DColemanJAC
Daniel Thomas,JAC,"$1,700,735",DThomasJAC
Darnell Savage Jr.,JAC,"$2,794,118",DSavageJAC
Darryl Williams,JAC,"$795,000",DWilliamsJAC
Davon Hamilton,JAC,"$5,655,294",DHamiltonJAC
De'Shaan Dixon,JAC,"$915,000",DDixonJAC
Deantre Prince,JAC,"$878,057",DPrinceJAC
Denzel Mims,JAC,"$1,055,000",DMimsJAC
Devin Duvernay,JAC,"$2,382,353",DDuvernayJAC
Devin Lloyd,JAC,"$3,528,166",DLloydJAC
Elijah Cooks,JAC,"$918,333",ECooksJAC
Erick Hallett,JAC,"$795,000",EHallettJAC
Esezi Otomewo,JAC,"$915,000",EOtomewoJAC
Evan Engram,JAC,"$7,000,000",EEngramJAC
Ezra Cleveland,JAC,"$3,591,176",EClevelandJAC
Foyesade Oluokun,JAC,"$15,750,668",FOluokunJAC
Gabriel Davis,JAC,"$4,700,000",GDavisJAC
Gregory Junior,JAC,"$985,000",GJuniorJAC
Jalen Jackson,JAC,"$795,833",JJacksonJAC
Jarrian Jones,JAC,"$1,017,511",JJonesJAC
Javon Foster,JAC,"$994,266",JFosterJAC
Jeremiah Ledbetter,JAC,"$1,850,000",JLedbetterJAC
Joe Scates,JAC,"$795,333",JScatesJAC
Jordan Jefferson,JAC,"$990,769",JJeffersonJAC
Josh Cephus,JAC,"$800,000",JCephusJAC
Josh Pederson,JAC,"$915,000",JPedersonJAC
Josh Proctor,JAC,"$800,000",JProctorJAC
Joshua Hines-Allen,JAC,"$11,150,000",JHines-AllenJAC
Josiah Deguara,JAC,"$1,152,500",JDeguaraJAC
Keaton Sutherland,JAC,"$985,000",KSutherlandJAC
Keilan Robinson,JAC,"$865,489",KRobinsonJAC
Logan Cooke,JAC,"$2,600,000",LCookeJAC
Lorenzo Lingard,JAC,"$796,000",LLingardJAC
Luke Farrell,JAC,"$1,144,505",LFarrellJAC
Luke Fortner,JAC,"$1,500,017",LFortnerJAC
Maason Smith,JAC,"$1,457,927",MSmithJAC
Mac Jones,JAC,"$2,785,410",MJonesJAC
Mitch Morse,JAC,"$2,650,000",MMorseJAC
Montaric Brown,JAC,"$1,013,995",MBrownJAC
Myles Cole,JAC,"$821,019",MColeJAC
Parker Washington,JAC,"$963,066",PWashingtonJAC
Patrick Murtagh,JAC,"$795,000",PMurtaghJAC
Riley Patterson,JAC,"$1,100,000",RPattersonJAC
Ronald Darby,JAC,"$3,500,000",RDarbyJAC
Ross Matiscik,JAC,"$1,285,000",RMatiscikJAC
Roy Robertson-Harris,JAC,"$4,800,000",RRobertson-HarrisJAC
Seth Williams,JAC,"$795,000",SWilliamsJAC
Shawn Bowman,JAC,"$796,000",SBowmanJAC
Steven Jones,JAC,"$797,500",SJonesJAC
Tank Bigsby,JAC,"$1,225,663",TBigsbyJAC
Terrell Edmunds,JAC,"$985,000",TEdmundsJAC
Tevaughn Campbell,JAC,"$985,000",TCampbellJAC
Tim Jones,JAC,"$985,000",TJonesJAC
Travis Etienne,JAC,"$4,103,945",TEtienneJAC
Travon Walker,JAC,"$10,192,534",TWalkerJAC
Tre Flowers,JAC,"$985,000",TFlowersJAC
Trevis Gipson,JAC,"$1,152,500",TGipsonJAC
Trevor Lawrence,JAC,"$15,029,725",TLawrenceJAC
Trey Kiser,JAC,"$796,666",TKiserJAC
Ty Summers,JAC,"$985,000",TSummersJAC
Tyler Lacy,JAC,"$1,086,780",TLacyJAC
Tyler Shatley,JAC,"$1,152,500",TShatleyJAC
Tyson Campbell,JAC,"$4,095,110",TCampbellJAC
Ventrell Miller,JAC,"$979,234",VMillerJAC
Walker Little,JAC,"$2,425,087",WLittleJAC
Yasir Abdullah,JAC,"$1,006,304",YAbdullahJAC
