Adam Gotsis,JAC,"$1,565,000"
Amani Oruwariye,JAC,"$985,000"
Andre Carter,JAC,"$797,333"
Andre Cisco,JAC,"$3,408,090"
Andrew Parker Jr.,JAC,"$800,000"
Andrew Wingard,JAC,"$3,370,000"
Anton Harrison,JAC,"$2,999,664"
Antonio Johnson,JAC,"$990,458"
Arik Armstead,JAC,"$4,426,471"
Austin Trammell,JAC,"$985,000"
Blake Hance,JAC,"$1,355,000"
Brandon Scherff,JAC,"$11,567,000"
Brenton Strange,JAC,"$1,389,623"
Brevin Easton,JAC,"$796,666"
Brian Thomas Jr.,JAC,"$2,665,450"
C.J. Beathard,JAC,"$2,420,000"
Caleb Johnson,JAC,"$1,350,000"
Cam Little,JAC,"$829,597"
Cam Robinson,JAC,"$21,909,041"
Chad Muma,JAC,"$1,479,850"
Christian Braswell,JAC,"$956,899"
Christian Kirk,JAC,"$24,236,941"
Cole Van Lanen,JAC,"$1,055,000"
Cooper Hodges,JAC,"$821,373"
D'Ernest Johnson,JAC,"$1,135,000"
D.J. Coleman,JAC,"$795,000"
Daniel Thomas,JAC,"$1,700,735"
Darnell Savage Jr.,JAC,"$2,794,118"
Darryl Williams,JAC,"$795,000"
Davon Hamilton,JAC,"$5,655,294"
De'Shaan Dixon,JAC,"$915,000"
Deantre Prince,JAC,"$878,057"
Denzel Mims,JAC,"$1,055,000"
Devin Duvernay,JAC,"$2,382,353"
Devin Lloyd,JAC,"$3,528,166"
Elijah Cooks,JAC,"$918,333"
Erick Hallett,JAC,"$795,000"
Esezi Otomewo,JAC,"$915,000"
Evan Engram,JAC,"$7,000,000"
Ezra Cleveland,JAC,"$3,591,176"
Foyesade Oluokun,JAC,"$15,750,668"
Gabriel Davis,JAC,"$4,700,000"
Gregory Junior,JAC,"$985,000"
Jalen Jackson,JAC,"$795,833"
Jarrian Jones,JAC,"$1,017,511"
Javon Foster,JAC,"$994,266"
Jeremiah Ledbetter,JAC,"$1,850,000"
Joe Scates,JAC,"$795,333"
Jordan Jefferson,JAC,"$990,769"
Josh Cephus,JAC,"$800,000"
Josh Pederson,JAC,"$915,000"
Josh Proctor,JAC,"$800,000"
Joshua Hines-Allen,JAC,"$11,150,000"
Josiah Deguara,JAC,"$1,152,500"
Keaton Sutherland,JAC,"$985,000"
Keilan Robinson,JAC,"$865,489"
Logan Cooke,JAC,"$2,600,000"
Lorenzo Lingard,JAC,"$796,000"
Luke Farrell,JAC,"$1,144,505"
Luke Fortner,JAC,"$1,500,017"
Maason Smith,JAC,"$1,457,927"
Mac Jones,JAC,"$2,785,410"
Mitch Morse,JAC,"$2,650,000"
Montaric Brown,JAC,"$1,013,995"
Myles Cole,JAC,"$821,019"
Parker Washington,JAC,"$963,066"
Patrick Murtagh,JAC,"$795,000"
Riley Patterson,JAC,"$1,100,000"
Ronald Darby,JAC,"$3,500,000"
Ross Matiscik,JAC,"$1,285,000"
Roy Robertson-Harris,JAC,"$4,800,000"
Seth Williams,JAC,"$795,000"
Shawn Bowman,JAC,"$796,000"
Steven Jones,JAC,"$797,500"
Tank Bigsby,JAC,"$1,225,663"
Terrell Edmunds,JAC,"$985,000"
Tevaughn Campbell,JAC,"$985,000"
Tim Jones,JAC,"$985,000"
Travis Etienne,JAC,"$4,103,945"
Travon Walker,JAC,"$10,192,534"
Tre Flowers,JAC,"$985,000"
Trevis Gipson,JAC,"$1,152,500"
Trevor Lawrence,JAC,"$15,029,725"
Trey Kiser,JAC,"$796,666"
Ty Summers,JAC,"$985,000"
Tyler Lacy,JAC,"$1,086,780"
Tyler Shatley,JAC,"$1,152,500"
Tyson Campbell,JAC,"$4,095,110"
Ventrell Miller,JAC,"$979,234"
Walker Little,JAC,"$2,425,087"
Yasir Abdullah,JAC,"$1,006,304"
