Alex Gubner,KC,"$795,000",AGubnerKC
B.J. Thompson,KC,"$982,912",BThompsonKC
Baylor Cupp,KC,"$797,500",BCuppKC
Bryan Cook,KC,"$1,594,675",BCookKC
C.J. Hanson,KC,"$816,196",CHansonKC
Cam Jones,KC,"$920,000",CJonesKC
Carson Steele,KC,"$795,000",CSteeleKC
Carson Wentz,KC,"$2,742,647",CWentzKC
Chamarri Conner,KC,"$1,102,841",CConnerKC
Charles Omenihu,KC,"$10,970,000",COmenihuKC
Chris Jones,KC,"$7,350,000",CJonesKC
Chris Oladokun,KC,"$805,000",COladokunKC
Christian Roland-Wallace,KC,"$796,666",CRoland-WallaceKC
Chukwuebuka Godrick,KC,"$795,000",CGodrickKC
Clyde Edwards-Helaire,KC,"$1,667,647",CEdwards-HelaireKC
Cole Christiansen,KC,"$985,000",CChristiansenKC
Cornell Powell,KC,"$915,000",CPowellKC
Creed Humphrey,KC,"$5,241,856",CHumphreyKC
Curtis Jacobs,KC,"$811,666",CJacobsKC
D.J. Miller,KC,"$795,833",DMillerKC
Deneric Prince,KC,"$915,000",DPrinceKC
Deon Bush,KC,"$985,000",DBushKC
Derrick Nnadi,KC,"$2,000,000",DNnadiKC
Drue Tranquill,KC,"$3,000,000",DTranquillKC
Ekow Boye-Doe,KC,"$915,000",EBoye-DoeKC
Emani Bailey,KC,"$798,333",EBaileyKC
Ethan Driskell,KC,"$808,333",EDriskellKC
Fabien Lovett,KC,"$798,333",FLovettKC
Felix Anudike-Uzomah,KC,"$2,685,868",FAnudike-UzomahKC
George Karlaftis,KC,"$3,255,130",GKarlaftisKC
Gerrit Prince,KC,"$795,000",GPrinceKC
Griffin McDowell,KC,"$796,000",GMcDowellKC
Harrison Butker,KC,"$4,823,797",HButkerKC
Hunter Nourzad,KC,"$874,879",HNourzadKC
Ian Book,KC,"$985,000",IBookKC
Irv Smith Jr.,KC,"$1,152,500",ISmithKC
Isiah Pacheco,KC,"$1,004,777",IPachecoKC
Jaaron Hayek,KC,"$795,000",JHayekKC
Jack Cochrane,KC,"$985,000",JCochraneKC
Jaden Hicks,KC,"$927,177",JHicksKC
James Winchester,KC,"$1,152,500",JWinchesterKC
Jared Wiley,KC,"$967,155",JWileyKC
Jawaan Taylor,KC,"$24,725,000",JTaylorKC
Jaylen Watson,KC,"$1,006,342",JWatsonKC
Joe Thuney,KC,"$26,971,713",JThuneyKC
Joshua Williams,KC,"$1,151,565",JWilliamsKC
Justin Reid,KC,"$14,250,000",JReidKC
Justin Watson,KC,"$2,920,000",JWatsonKC
Justyn Ross,KC,"$915,000",JRossKC
Kadarius Toney,KC,"$2,530,842",KToneyKC
Kamal Hadden,KC,"$829,597",KHaddenKC
Keaontay Ingram,KC,"$985,000",KIngramKC
Keith Taylor,KC,"$985,000",KTaylorKC
Kelvin Joseph,KC,"$1,055,000",KJosephKC
Kingsley Suamataia,KC,"$1,167,546",KSuamataiaKC
Leo Chenal,KC,"$1,375,883",LChenalKC
Louis Rees-Zammit,KC,"$801,666",LRees-ZammitKC
Lucas Niang,KC,"$1,321,668",LNiangKC
Luquay Washington,KC,"$795,000",LWashingtonKC
Malik Herring,KC,"$985,000",MHerringKC
Marquise Brown,KC,"$6,955,882",MBrownKC
Matt Araiza,KC,"$795,000",MAraizaKC
Matt Dickerson,KC,"$985,000",MDickersonKC
McKade Mettauer,KC,"$795,333",MMettauerKC
Mecole Hardman,KC,"$985,000",MHardmanKC
Mike Caliendo,KC,"$915,000",MCaliendoKC
Mike Danna,KC,"$4,666,666",MDannaKC
Mike Pennel,KC,"$985,000",MPennelKC
Miles Battle,KC,"$796,666",MBattleKC
Montrell Washington,KC,"$985,000",MWashingtonKC
Nazeeh Johnson,KC,"$915,000",NJohnsonKC
Neil Farrell Jr.,KC,"$985,000",NFarrellKC
Nic Jones,KC,"$934,446",NJonesKC
Nick Bolton,KC,"$3,516,734",NBoltonKC
Nick Torres,KC,"$795,000",NTorresKC
Nikko Remigio,KC,"$800,000",NRemigioKC
Noah Gray,KC,"$3,194,445",NGrayKC
Patrick Mahomes,KC,"$37,008,269",PMahomesKC
Phillip Brooks,KC,"$795,000",PBrooksKC
Rashee Rice,KC,"$1,476,186",RRiceKC
Skyy Moore,KC,"$1,759,229",SMooreKC
Swayze Bozeman,KC,"$796,666",SBozemanKC
Tershawn Wharton,KC,"$1,292,500",TWhartonKC
Travis Kelce,KC,"$19,551,944",TKelceKC
Trent McDuffie,KC,"$3,816,132",TMcDuffieKC
Trey Dean,KC,"$795,000",TDeanKC
Trey Smith,KC,"$3,398,676",TSmithKC
Truman Jones,KC,"$795,000",TJonesKC
Wanya Morris,KC,"$1,220,080",WMorrisKC
Xavier Worthy,KC,"$2,507,321",XWorthyKC
