A.J. Finley,LAC,"$915,000",AFinleyLAC
Akeem Dent,LAC,"$796,666",ADentLAC
Alex Leatherwood,LAC,"$985,000",ALeatherwoodLAC
Alohi Gilman,LAC,"$3,375,000",AGilmanLAC
Andrew Farmer,LAC,"$915,000",AFarmerLAC
Asante Samuel Jr.,LAC,"$4,019,263",ASamuelLAC
Ben Mason,LAC,"$795,000",BMasonLAC
Bradley Bozeman,LAC,"$1,125,000",BBozemanLAC
Brenden Jaimes,LAC,"$1,134,449",BJaimesLAC
Brenden Rice,LAC,"$823,648",BRiceLAC
Brent Laing,LAC,"$795,000",BLaingLAC
Bucky Williams,LAC,"$795,833",BWilliamsLAC
Bud Dupree,LAC,"$2,345,000",BDupreeLAC
C.J. Okoye,LAC,"$795,000",COkoyeLAC
Cam Hart,LAC,"$885,982",CHartLAC
Cameron Dicker,LAC,"$985,000",CDickerLAC
Casey Bauman,LAC,"$798,333",CBaumanLAC
Chris Collins,LAC,"$795,000",CCollinsLAC
Chris Rumph II,LAC,"$1,243,385",CRumphLAC
Chris Wilcox,LAC,"$795,000",CWilcoxLAC
Christopher Hinton,LAC,"$985,000",CHintonLAC
Cornelius Johnson,LAC,"$815,184",CJohnsonLAC
D.J. Chark,LAC,"$2,890,000",DCharkLAC
Daiyan Henley,LAC,"$1,231,915",DHenleyLAC
Deane Leonard,LAC,"$1,009,916",DLeonardLAC
Denzel Perryman,LAC,"$2,175,000",DPerrymanLAC
Derius Davis,LAC,"$1,092,982",DDavisLAC
Derwin James,LAC,"$19,856,494",DJamesLAC
Donald Parham,LAC,"$1,325,000",DParhamLAC
Easton Stick,LAC,"$1,292,500",EStickLAC
Elijah Dotson,LAC,"$915,000",EDotsonLAC
Foster Sarell,LAC,"$985,000",FSarellLAC
Gus Edwards,LAC,"$2,250,000",GEdwardsLAC
Hayden Hurst,LAC,"$1,125,000",HHurstLAC
Isaiah Spiller,LAC,"$1,169,238",ISpillerLAC
J.K. Dobbins,LAC,"$1,130,000",JDobbinsLAC
J.K. Scott,LAC,"$2,510,000",JScottLAC
J.T. Woods,LAC,"$1,439,029",JWoodsLAC
Ja'Sir Taylor,LAC,"$1,018,003",JTaylorLAC
Jaelen Gill,LAC,"$796,000",JGillLAC
Jalyn Phillips,LAC,"$797,166",JPhillipsLAC
Jamaree Salyer,LAC,"$1,028,983",JSalyerLAC
Jaret Patterson,LAC,"$985,000",JPattersonLAC
Jaylen Johnson,LAC,"$796,333",JJohnsonLAC
Jeremiah Jean-Baptiste,LAC,"$796,333",JJean-BaptisteLAC
Jerrod Clark,LAC,"$795,000",JClarkLAC
Joe Alt,LAC,"$6,029,262",JAltLAC
Joey Bosa,LAC,"$26,111,666",JBosaLAC
Jordan McFadden,LAC,"$993,035",JMcFaddenLAC
Josh Harris,LAC,"$1,460,000",JHarrisLAC
Josh Palmer,LAC,"$3,370,919",JPalmerLAC
Junior Colson,LAC,"$1,095,819",JColsonLAC
Justin Eboigbe,LAC,"$1,004,753",JEboigbeLAC
Justin Herbert,LAC,"$19,345,675",JHerbertLAC
Karsen Barnhart,LAC,"$800,000",KBarnhartLAC
Khalil Mack,LAC,"$25,395,000",KMackLAC
Kimani Vidal,LAC,"$846,859",KVidalLAC
Kristian Fulton,LAC,"$2,885,000",KFultonLAC
Ladd McConkey,LAC,"$1,817,306",LMcConkeyLAC
Leon Johnson,LAC,"$800,000",LJohnsonLAC
Luke Benson,LAC,"$797,000",LBensonLAC
Matt Hankins,LAC,"$795,000",MHankinsLAC
Max Duggan,LAC,"$795,000",MDugganLAC
Micheal Mason,LAC,"$798,333",MMasonLAC
Morgan Fox,LAC,"$4,750,000",MFoxLAC
Nick Niemann,LAC,"$1,108,502",NNiemannLAC
Otito Ogbonnia,LAC,"$1,064,722",OOgbonniaLAC
Poona Ford,LAC,"$1,790,000",PFordLAC
Praise Olatoke,LAC,"$795,000",POlatokeLAC
Quentin Johnston,LAC,"$3,224,724",QJohnstonLAC
Rashawn Slater,LAC,"$5,291,923",RSlaterLAC
Robert Kennedy,LAC,"$796,666",RKennedyLAC
Savion Jackson,LAC,"$796,666",SJacksonLAC
Scott Matlock,LAC,"$958,073",SMatlockLAC
Shane Lee,LAC,"$795,666",SLeeLAC
Simi Fehoko,LAC,"$1,055,000",SFehokoLAC
Stone Smartt,LAC,"$986,668",SSmarttLAC
Tarheeb Still,LAC,"$888,930",TStillLAC
Thomas Harper,LAC,"$798,333",THarperLAC
Tony Jefferson,LAC,"$985,000",TJeffersonLAC
Tre'Mon Morris-Brash,LAC,"$796,666",TMorris-BrashLAC
Trey Pipkins,LAC,"$8,750,000",TPipkinsLAC
Troy Dye,LAC,"$1,790,000",TDyeLAC
Tuli Tuipulotu,LAC,"$1,493,496",TTuipulotuLAC
Ty Shelby,LAC,"$795,000",TShelbyLAC
Tyler Mclellan,LAC,"$798,333",TMclellanLAC
Will Dissly,LAC,"$2,625,000",WDisslyLAC
Willis Patrick,LAC,"$800,833",WPatrickLAC
Zach Heins,LAC,"$796,666",ZHeinsLAC
Zamari Walton,LAC,"$800,000",ZWaltonLAC
Zion Johnson,LAC,"$4,021,822",ZJohnsonLAC
