A.J. Arcuri,LAR,"$915,000",AArcuriLAR
Aaron Donald,LAR,"$25,043,334",ADonaldLAR
Alaric Jackson,LAR,"$4,890,000",AJacksonLAR
Alex Ward,LAR,"$916,666",AWardLAR
Anthony Goodlow,LAR,"$801,666",AGoodlowLAR
Beaux Limmer,LAR,"$829,597",BLimmerLAR
Blake Corum,LAR,"$1,047,957",BCorumLAR
Blake Larson,LAR,"$797,500",BLarsonLAR
Bobby Brown III,LAR,"$1,244,133",BBrownLAR
Boston Scott,LAR,"$1,085,000",BScottLAR
Braden Fiske,LAR,"$1,710,931",BFiskeLAR
Brennan Jackson,LAR,"$877,342",BJacksonLAR
Byron Young,LAR,"$1,262,554",BYoungLAR
Cam Lampkin,LAR,"$796,666",CLampkinLAR
Cameron McCutcheon,LAR,"$795,000",CMcCutcheonLAR
Charles Woods,LAR,"$795,666",CWoodsLAR
Christian Rozeboom,LAR,"$1,400,000",CRozeboomLAR
Cobie Durant,LAR,"$1,111,084",CDurantLAR
Colby Parkinson,LAR,"$3,583,333",CParkinsonLAR
Cooper Kupp,LAR,"$29,780,000",CKuppLAR
Cory Durden,LAR,"$915,000",CDurdenLAR
Darious Williams,LAR,"$4,666,666",DWilliamsLAR
David Olajiga,LAR,"$796,000",DOlajigaLAR
Davis Allen,LAR,"$976,245",DAllenLAR
Demarcus Robinson,LAR,"$4,000,000",DRobinsonLAR
Derion Kendrick,LAR,"$1,018,003",DKendrickLAR
Desjuan Johnson,LAR,"$934,446",DJohnsonLAR
Drake Stoops,LAR,"$797,666",DStoopsLAR
Dresser Winn,LAR,"$795,000",DWinnLAR
Eli Neal,LAR,"$798,000",ENealLAR
Ernest Jones,LAR,"$3,326,154",EJonesLAR
Ethan Evans,LAR,"$942,000",EEvansLAR
Grant Miller,LAR,"$795,000",GMillerLAR
Hunter Long,LAR,"$1,337,550",HLongLAR
J.J. Laap,LAR,"$795,666",JLaapLAR
Jake Hummel,LAR,"$986,668",JHummelLAR
Jared Verse,LAR,"$2,751,699",JVerseLAR
Jason Taylor II,LAR,"$939,508",JTaylorLAR
Jaylen Mccollough,LAR,"$800,000",JMccolloughLAR
Jimmy Garoppolo,LAR,"$3,178,750",JGaroppoloLAR
John Johnson,LAR,"$1,152,500",JJohnsonLAR
Jonah Jackson,LAR,"$13,666,665",JJacksonLAR
Jordan Whittington,LAR,"$829,597",JWhittingtonLAR
Joseph Noteboom,LAR,"$11,617,647",JNoteboomLAR
Josh Wallace,LAR,"$815,000",JWallaceLAR
Joshua Karty,LAR,"$829,597",JKartyLAR
Justin Dedich,LAR,"$797,500",JDedichLAR
K.T. Leveston,LAR,"$815,184",KLevestonLAR
Kamren Curl,LAR,"$4,235,294",KCurlLAR
Kamren Kinchens,LAR,"$1,017,511",KKinchensLAR
Keir Thomas,LAR,"$985,000",KThomasLAR
Kenny Logan,LAR,"$798,333",KLoganLAR
Kevin Dotson,LAR,"$12,666,666",KDotsonLAR
Kobie Turner,LAR,"$1,225,334",KTurnerLAR
Kyren Williams,LAR,"$1,062,602",KWilliamsLAR
Larrell Murchison,LAR,"$1,035,000",LMurchisonLAR
Logan Bruss,LAR,"$795,000",LBrussLAR
Matt Stafford,LAR,"$49,500,000",MStaffordLAR
Michael Hoecht,LAR,"$2,985,000",MHoechtLAR
Mike McAllister,LAR,"$795,000",MMcAllisterLAR
Miller Forristall,LAR,"$985,000",MForristallLAR
Neal Johnson,LAR,"$798,333",NJohnsonLAR
Nick Hampton,LAR,"$989,777",NHamptonLAR
Nikola Kalinic,LAR,"$915,000",NKalinicLAR
Ochaun Mathis,LAR,"$960,617",OMathisLAR
Olakunle Fatukasi,LAR,"$915,000",OFatukasiLAR
Omar Speights,LAR,"$798,000",OSpeightsLAR
Puka Nacua,LAR,"$976,245",PNacuaLAR
Quentin Lake,LAR,"$1,018,003",QLakeLAR
Rob Havenstein,LAR,"$14,703,294",RHavensteinLAR
Ronnie Rivers,LAR,"$985,000",RRiversLAR
Russ Yeast,LAR,"$1,004,253",RYeastLAR
Sam Wiglusz,LAR,"$796,000",SWigluszLAR
Shaun Jolly,LAR,"$985,000",SJollyLAR
Stetson Bennett,LAR,"$969,783",SBennettLAR
Steve Avila,LAR,"$2,102,888",SAvilaLAR
Tanner Brown,LAR,"$795,000",TBrownLAR
Tanner Ingle,LAR,"$795,000",TIngleLAR
Tre Tomlinson,LAR,"$964,963",TTomlinsonLAR
Tre'Davious White,LAR,"$3,485,294",TWhiteLAR
Troy Reeder,LAR,"$985,000",TReederLAR
Tuli Letuligasenoa,LAR,"$798,333",TLetuligasenoaLAR
Tutu Atwell,LAR,"$1,880,040",TAtwellLAR
Tyler Davis,LAR,"$840,638",TDavisLAR
Tyler Higbee,LAR,"$12,608,639",THigbeeLAR
Tyler Johnson,LAR,"$1,130,000",TJohnsonLAR
Warren McClendon,LAR,"$976,245",WMcClendonLAR
Xavier Smith,LAR,"$795,000",XSmithLAR
Zach Evans,LAR,"$948,333",ZEvansLAR
Zach VanValkenburg,LAR,"$915,000",ZVanValkenburgLAR
Zachary Thomas,LAR,"$985,000",ZThomasLAR
