A.J. Finley,LAC,"$915,000"
Akeem Dent,LAC,"$796,666"
Alex Leatherwood,LAC,"$985,000"
Alohi Gilman,LAC,"$3,375,000"
Andrew Farmer,LAC,"$915,000"
Asante Samuel Jr.,LAC,"$4,019,263"
Ben Mason,LAC,"$795,000"
Bradley Bozeman,LAC,"$1,125,000"
Brenden Jaimes,LAC,"$1,134,449"
Brenden Rice,LAC,"$823,648"
Brent Laing,LAC,"$795,000"
Bucky Williams,LAC,"$795,833"
Bud Dupree,LAC,"$2,345,000"
C.J. Okoye,LAC,"$795,000"
Cam Hart,LAC,"$885,982"
Cameron Dicker,LAC,"$985,000"
Casey Bauman,LAC,"$798,333"
Chris Collins,LAC,"$795,000"
Chris Rumph II,LAC,"$1,243,385"
Chris Wilcox,LAC,"$795,000"
Christopher Hinton,LAC,"$985,000"
Cornelius Johnson,LAC,"$815,184"
D.J. Chark,LAC,"$2,890,000"
Daiyan Henley,LAC,"$1,231,915"
Deane Leonard,LAC,"$1,009,916"
Denzel Perryman,LAC,"$2,175,000"
Derius Davis,LAC,"$1,092,982"
Derwin James,LAC,"$19,856,494"
Donald Parham,LAC,"$1,325,000"
Easton Stick,LAC,"$1,292,500"
Elijah Dotson,LAC,"$915,000"
Foster Sarell,LAC,"$985,000"
Gus Edwards,LAC,"$2,250,000"
Hayden Hurst,LAC,"$1,125,000"
Isaiah Spiller,LAC,"$1,169,238"
J.K. Dobbins,LAC,"$1,130,000"
J.K. Scott,LAC,"$2,510,000"
J.T. Woods,LAC,"$1,439,029"
Ja'Sir Taylor,LAC,"$1,018,003"
Jaelen Gill,LAC,"$796,000"
Jalyn Phillips,LAC,"$797,166"
Jamaree Salyer,LAC,"$1,028,983"
Jaret Patterson,LAC,"$985,000"
Jaylen Johnson,LAC,"$796,333"
Jeremiah Jean-Baptiste,LAC,"$796,333"
Jerrod Clark,LAC,"$795,000"
Joe Alt,LAC,"$6,029,262"
Joey Bosa,LAC,"$26,111,666"
Jordan McFadden,LAC,"$993,035"
Josh Harris,LAC,"$1,460,000"
Josh Palmer,LAC,"$3,370,919"
Junior Colson,LAC,"$1,095,819"
Justin Eboigbe,LAC,"$1,004,753"
Justin Herbert,LAC,"$19,345,675"
Karsen Barnhart,LAC,"$800,000"
Khalil Mack,LAC,"$25,395,000"
Kimani Vidal,LAC,"$846,859"
Kristian Fulton,LAC,"$2,885,000"
Ladd McConkey,LAC,"$1,817,306"
Leon Johnson,LAC,"$800,000"
Luke Benson,LAC,"$797,000"
Matt Hankins,LAC,"$795,000"
Max Duggan,LAC,"$795,000"
Micheal Mason,LAC,"$798,333"
Morgan Fox,LAC,"$4,750,000"
Nick Niemann,LAC,"$1,108,502"
Otito Ogbonnia,LAC,"$1,064,722"
Poona Ford,LAC,"$1,790,000"
Praise Olatoke,LAC,"$795,000"
Quentin Johnston,LAC,"$3,224,724"
Rashawn Slater,LAC,"$5,291,923"
Robert Kennedy,LAC,"$796,666"
Savion Jackson,LAC,"$796,666"
Scott Matlock,LAC,"$958,073"
Shane Lee,LAC,"$795,666"
Simi Fehoko,LAC,"$1,055,000"
Stone Smartt,LAC,"$986,668"
Tarheeb Still,LAC,"$888,930"
Thomas Harper,LAC,"$798,333"
Tony Jefferson,LAC,"$985,000"
Tre'Mon Morris-Brash,LAC,"$796,666"
Trey Pipkins,LAC,"$8,750,000"
Troy Dye,LAC,"$1,790,000"
Tuli Tuipulotu,LAC,"$1,493,496"
Ty Shelby,LAC,"$795,000"
Tyler Mclellan,LAC,"$798,333"
Will Dissly,LAC,"$2,625,000"
Willis Patrick,LAC,"$800,833"
Zach Heins,LAC,"$796,666"
Zamari Walton,LAC,"$800,000"
Zion Johnson,LAC,"$4,021,822"
