A.J. Arcuri,LAR,"$915,000"
Aaron Donald,LAR,"$25,043,334"
Alaric Jackson,LAR,"$4,890,000"
Alex Ward,LAR,"$916,666"
Anthony Goodlow,LAR,"$801,666"
Beaux Limmer,LAR,"$829,597"
Blake Corum,LAR,"$1,047,957"
Blake Larson,LAR,"$797,500"
Bobby Brown III,LAR,"$1,244,133"
Boston Scott,LAR,"$1,085,000"
Braden Fiske,LAR,"$1,710,931"
Brennan Jackson,LAR,"$877,342"
Byron Young,LAR,"$1,262,554"
Cam Lampkin,LAR,"$796,666"
Cameron McCutcheon,LAR,"$795,000"
Charles Woods,LAR,"$795,666"
Christian Rozeboom,LAR,"$1,400,000"
Cobie Durant,LAR,"$1,111,084"
Colby Parkinson,LAR,"$3,583,333"
Cooper Kupp,LAR,"$29,780,000"
Cory Durden,LAR,"$915,000"
Darious Williams,LAR,"$4,666,666"
David Olajiga,LAR,"$796,000"
Davis Allen,LAR,"$976,245"
Demarcus Robinson,LAR,"$4,000,000"
Derion Kendrick,LAR,"$1,018,003"
Desjuan Johnson,LAR,"$934,446"
Drake Stoops,LAR,"$797,666"
Dresser Winn,LAR,"$795,000"
Eli Neal,LAR,"$798,000"
Ernest Jones,LAR,"$3,326,154"
Ethan Evans,LAR,"$942,000"
Grant Miller,LAR,"$795,000"
Hunter Long,LAR,"$1,337,550"
J.J. Laap,LAR,"$795,666"
Jake Hummel,LAR,"$986,668"
Jared Verse,LAR,"$2,751,699"
Jason Taylor II,LAR,"$939,508"
Jaylen Mccollough,LAR,"$800,000"
Jimmy Garoppolo,LAR,"$3,178,750"
John Johnson,LAR,"$1,152,500"
Jonah Jackson,LAR,"$13,666,665"
Jordan Whittington,LAR,"$829,597"
Joseph Noteboom,LAR,"$11,617,647"
Josh Wallace,LAR,"$815,000"
Joshua Karty,LAR,"$829,597"
Justin Dedich,LAR,"$797,500"
K.T. Leveston,LAR,"$815,184"
Kamren Curl,LAR,"$4,235,294"
Kamren Kinchens,LAR,"$1,017,511"
Keir Thomas,LAR,"$985,000"
Kenny Logan,LAR,"$798,333"
Kevin Dotson,LAR,"$12,666,666"
Kobie Turner,LAR,"$1,225,334"
Kyren Williams,LAR,"$1,062,602"
Larrell Murchison,LAR,"$1,035,000"
Logan Bruss,LAR,"$795,000"
Matt Stafford,LAR,"$49,500,000"
Michael Hoecht,LAR,"$2,985,000"
Mike McAllister,LAR,"$795,000"
Miller Forristall,LAR,"$985,000"
Neal Johnson,LAR,"$798,333"
Nick Hampton,LAR,"$989,777"
Nikola Kalinic,LAR,"$915,000"
Ochaun Mathis,LAR,"$960,617"
Olakunle Fatukasi,LAR,"$915,000"
Omar Speights,LAR,"$798,000"
Puka Nacua,LAR,"$976,245"
Quentin Lake,LAR,"$1,018,003"
Rob Havenstein,LAR,"$14,703,294"
Ronnie Rivers,LAR,"$985,000"
Russ Yeast,LAR,"$1,004,253"
Sam Wiglusz,LAR,"$796,000"
Shaun Jolly,LAR,"$985,000"
Stetson Bennett,LAR,"$969,783"
Steve Avila,LAR,"$2,102,888"
Tanner Brown,LAR,"$795,000"
Tanner Ingle,LAR,"$795,000"
Tre Tomlinson,LAR,"$964,963"
Tre'Davious White,LAR,"$3,485,294"
Troy Reeder,LAR,"$985,000"
Tuli Letuligasenoa,LAR,"$798,333"
Tutu Atwell,LAR,"$1,880,040"
Tyler Davis,LAR,"$840,638"
Tyler Higbee,LAR,"$12,608,639"
Tyler Johnson,LAR,"$1,130,000"
Warren McClendon,LAR,"$976,245"
Xavier Smith,LAR,"$795,000"
Zach Evans,LAR,"$948,333"
Zach VanValkenburg,LAR,"$915,000"
Zachary Thomas,LAR,"$985,000"
