Aaron Brewer,MIA,"$2,528,000",ABrewerMIA
Alec Ingold,MIA,"$3,130,000",AIngoldMIA
Andrew Meyer,MIA,"$800,000",AMeyerMIA
Anthony Schwartz,MIA,"$985,000",ASchwartzMIA
Anthony Walker Jr.,MIA,"$1,152,500",AWalkerMIA
Austin Jackson,MIA,"$4,577,113",AJacksonMIA
Bayron Matos,MIA,"$802,500",BMatosMIA
Benito Jones,MIA,"$1,790,000",BJonesMIA
Blake Ferguson,MIA,"$1,262,500",BFergusonMIA
Bradley Chubb,MIA,"$15,851,488",BChubbMIA
Brandon Pili,MIA,"$915,000",BPiliMIA
Braxton Berrios,MIA,"$2,132,353",BBerriosMIA
Braylon Sanders,MIA,"$915,000",BSandersMIA
Calais Campbell,MIA,"$2,000,000",CCampbellMIA
Cam Brown,MIA,"$1,152,500",CBrownMIA
Cam Smith,MIA,"$1,597,371",CSmithMIA
Cameron Goode,MIA,"$915,000",CGoodeMIA
Channing Tindall,MIA,"$1,375,883",CTindallMIA
Chasen Hines,MIA,"$915,000",CHinesMIA
Chop Robinson,MIA,"$2,722,950",CRobinsonMIA
Christopher Brooks,MIA,"$915,666",CBrooksMIA
Da'Shawn Hand,MIA,"$1,152,500",DHandMIA
David Long Jr.,MIA,"$6,710,000",DLongMIA
Devon Achane,MIA,"$1,235,784",DAchaneMIA
Duke Riley,MIA,"$3,085,000",DRileyMIA
Durham Smythe,MIA,"$3,316,960",DSmytheMIA
Elijah Campbell,MIA,"$1,475,000",ECampbellMIA
Erik Ezukanma,MIA,"$1,166,248",EEzukanmaMIA
Ethan Bonner,MIA,"$915,000",EBonnerMIA
Gavin Hardison,MIA,"$796,666",GHardisonMIA
Grayson Murphy,MIA,"$798,333",GMurphyMIA
Hayden Rucci,MIA,"$795,500",HRucciMIA
Ireland Brown,MIA,"$795,000",IBrownMIA
Isaiah Johnson,MIA,"$800,833",IJohnsonMIA
Isaiah Mack,MIA,"$985,000",IMackMIA
Isaiah Wynn,MIA,"$1,585,000",IWynnMIA
Jack Driscoll,MIA,"$1,790,000",JDriscollMIA
Jaelan Phillips,MIA,"$4,460,338",JPhillipsMIA
Jake Bailey,MIA,"$1,675,000",JBaileyMIA
Jalen Ramsey,MIA,"$7,955,000",JRamseyMIA
Jason Maitre,MIA,"$795,000",JMaitreMIA
Jason Sanders,MIA,"$4,506,500",JSandersMIA
Jaylen Waddle,MIA,"$9,094,435",JWaddleMIA
Jaylen Wright,MIA,"$985,005",JWrightMIA
Je'Quan Burton,MIA,"$795,666",JBurtonMIA
Jeff Wilson,MIA,"$2,398,677",JWilsonMIA
Jevon Holland,MIA,"$4,290,801",JHollandMIA
Jody Fortson,MIA,"$1,025,000",JFortsonMIA
Jonathan Harris,MIA,"$1,790,000",JHarrisMIA
Jonnu Smith,MIA,"$2,110,000",JSmithMIA
Jordan Colbert,MIA,"$795,666",JColbertMIA
Jordan Poyer,MIA,"$1,985,294",JPoyerMIA
Jordyn Brooks,MIA,"$2,800,000",JBrooksMIA
Julian Hill,MIA,"$919,166",JHillMIA
Kader Kohou,MIA,"$995,000",KKohouMIA
Kendall Fuller,MIA,"$2,588,000",KFullerMIA
Kendall Lamm,MIA,"$2,500,000",KLammMIA
Kion Smith,MIA,"$985,000",KSmithMIA
Leonard Payne,MIA,"$796,666",LPayneMIA
Lester Cotton,MIA,"$1,125,000",LCottonMIA
Liam Eichenberg,MIA,"$4,163,178",LEichenbergMIA
Malik Washington,MIA,"$844,890",MWashingtonMIA
Marcus Maye,MIA,"$1,152,500",MMayeMIA
Mario Kendricks,MIA,"$795,000",MKendricksMIA
Mark Perry,MIA,"$800,000",MPerryMIA
Matt Jones,MIA,"$800,000",MJonesMIA
Mike White,MIA,"$5,210,000",MWhiteMIA
Mohamed Kamara,MIA,"$875,218",MKamaraMIA
Neville Gallimore,MIA,"$1,790,000",NGallimoreMIA
Nik Needham,MIA,"$1,152,500",NNeedhamMIA
Odell Beckham Jr.,MIA,"$2,105,000",OBeckhamMIA
Patrick McMorris,MIA,"$839,941",PMcMorrisMIA
Patrick Paul,MIA,"$1,256,672",PPaulMIA
Quinton Bell,MIA,"$985,000",QBellMIA
Raheem Mostert,MIA,"$3,401,177",RMostertMIA
River Cracraft,MIA,"$1,100,000",RCracraftMIA
Robert Jones,MIA,"$1,835,294",RJonesMIA
Ryan Hayes,MIA,"$915,000",RHayesMIA
Salvon Ahmed,MIA,"$1,063,824",SAhmedMIA
Shaquil Barrett,MIA,"$2,553,294",SBarrettMIA
Siran Neal,MIA,"$1,950,000",SNealMIA
Skylar Thompson,MIA,"$1,005,552",SThompsonMIA
Storm Duck,MIA,"$801,666",SDuckMIA
Tahj Washington,MIA,"$817,599",TWashingtonMIA
Tanner Conner,MIA,"$985,000",TConnerMIA
Teair Tart,MIA,"$1,152,500",TTartMIA
Terron Armstead,MIA,"$10,559,103",TArmsteadMIA
Tua Tagovailoa,MIA,"$23,171,000",TTagovailoaMIA
Tyreek Hill,MIA,"$31,323,750",THillMIA
Zach Sieler,MIA,"$6,312,000",ZSielerMIA
Zeke Vandenburgh,MIA,"$795,666",ZVandenburghMIA
